uniprot_id,protein,gene,description,OP_S06_Pre,OP_S11_Pre,OP_S12_Pre,OP_S17_Pre,O_S05_Pre,O_S06_Pre,O_S07_Pre,O_S10_Pre,O_S16_Pre,O_S17_Pre,O_S24_Pre,O_S28_Pre,O_S29_Pre,O_S32_Pre,O_S35_Pre,OP_S06_Post,OP_S11_Post,OP_S12_Post,OP_S17_Post,O_S05_Post,O_S06_Post,O_S07_Post,O_S10_Post,O_S16_Post,O_S17_Post,O_S24_Post,O_S28_Post,O_S29_Post,O_S32_Post,O_S35_Post,YP_S14_Pre,YP_S45_Pre,YP_S56_Pre,Y_S01_Pre,Y_S07_Pre,Y_S10_Pre,Y_S11_Pre,Y_S16_Pre,Y_S28_Pre,Y_S30_Pre,Y_S31_Pre,Y_S32_Pre,Y_S34_Pre,Y_S35_Pre,Y_S36_Pre,Y_S40_Pre,YP_S14_Post,YP_S45_Post,YP_S56_Post,Y_S01_Post,Y_S05_Post,Y_S10_Post,Y_S11_Post,Y_S16_Post,Y_S28_Post,Y_S30_Post,Y_S31_Post,Y_S32_Post,Y_S34_Post,Y_S35_Post,Y_S36_Post,Y_S40_Post
A0A0U1RRL7,MMPOS_HUMAN,MMP24OS,Protein MMP24OS,NA,16.519814329372068,16.929200585748344,17.11286669561685,16.05472672345627,17.26473337537808,15.129691742082242,NA,16.339496065983724,16.324401807095516,16.448378388973815,16.3368210383219,16.9356611005649,16.18815660854579,17.797398885787704,14.833178910942845,17.182687880313487,16.600395913257646,17.229975999610605,17.156859197298182,16.130584727155675,16.347360294309,NA,16.792349311929883,16.541296685311238,16.394005024056856,16.00403929851002,15.12281794222086,15.739398924258042,16.36456584136432,NA,NA,15.893149275907351,15.786189800478086,NA,NA,NA,NA,NA,16.30632739738635,16.461987247959396,16.490436263405687,NA,NA,15.778138004802425,16.045972668317116,15.870777223061985,NA,15.057371598764483,16.430708830729536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,16.573276748734642,17.044755752894165,17.1469058693449,17.03094214020172,16.696416070152168,16.995731699260663,16.82238282540044,16.873412191064237,16.670976740397176,17.379249388023478,17.128974091190845,16.914843674984322,16.9399133499958,17.182636169354478,16.839086046564436,17.0912731484199,16.802248935912367,17.57452053387053,NA,16.609870882334953,16.88986856436954,17.133282804122583,16.592275606708373,17.121161115479342,17.08274658075545,17.34859477647598,NA,17.3522017608711,16.798849163637374,17.25064688440055,NA,NA,17.235755944270416,NA,NA,16.99229215534779,17.730126297244528,17.32633180572853,NA,17.017465404308567,16.941589104424416,NA,NA,NA,NA,NA,16.801196648850418,NA,17.965141032955405,17.34438279119406,NA,17.14136703964372,17.035254543707996,NA,16.99815944757595,17.6948165048736,NA,18.01974862532365,NA,NA,16.709695795511806,17.47430838491067
A1L0T0,ILVBL_HUMAN,ILVBL,Acetolactate synthase-like protein,NA,15.872860241178739,16.973082253740063,17.81448514182148,NA,17.28155550553696,NA,NA,NA,16.792019235253342,17.30508361894578,NA,16.585976378235344,NA,16.52887344523498,NA,16.17256693798351,16.969323862301646,17.14626021025454,16.69120735839343,17.279325463199797,16.918130300903258,15.812085653345017,16.104605179080135,16.95063910086394,16.76773832723848,17.227643150966212,NA,16.828137572195743,16.803155350123827,16.212662505397955,NA,16.753268315185682,NA,NA,NA,NA,17.26805818196178,17.446347349261536,17.26816421061556,17.33483961862295,17.05022267700457,NA,17.680704731956695,17.053410975826438,17.14469579887869,16.824263157719663,16.961608248643763,16.985744494413606,17.37104859729466,NA,NA,17.11039280088116,17.126340348103053,16.170313851892054,17.71092022305837,17.38070591451412,16.94819120544895,17.358558550606077,18.03322807856365,17.332560391295008,17.738134346201214
A1L4K1,FSD2_HUMAN,FSD2,Fibronectin type III and SPRY domain-containing protein 2,17.800322311262203,17.694327514708668,16.93136177883352,18.171570364116505,17.543283866790247,17.90721833017924,17.89802815406261,17.277784598619167,17.912376624500407,17.850800538411452,16.31979469879244,18.45979379396425,17.989313962233407,17.43692431730436,17.634211212662986,17.418175197289106,17.9636310606534,17.589626752951325,17.919437542388096,17.76295541163806,17.875188996531822,18.154415671443186,17.33952964994464,17.96157261424781,17.66846019012769,18.021076545512482,18.03494449614845,17.426417655427393,18.001455862868287,17.64283868253368,18.072652647856298,18.86038762748695,18.138258712340505,18.663781386332882,NA,NA,NA,18.504802562762492,18.666725572666333,17.481419633991656,18.015735150244975,18.296532529780354,NA,18.115264740062983,18.424171498594088,17.776633703587013,18.096958462506777,18.33480765952275,18.181183091076555,18.49965393924635,NA,NA,18.875162799729043,18.85869741411898,18.522440082015912,17.971067555164396,18.241881510698253,18.081115060271802,18.564337831402295,18.117802195076496,18.1208078646995,17.610025028058335
A2RTX5,SYTC2_HUMAN,TARS3,"Threonine--tRNA ligase 2, cytoplasmic",NA,15.331233611537575,15.570731591736546,15.263988379009762,15.802051063135748,15.9937997619635,14.9972693009792,NA,15.325928995594403,15.804275448860574,14.573494408559041,15.59968150448156,15.744074684523268,15.944346769211686,16.02959899182342,15.120718778468323,15.692462595466036,15.324521745717133,16.00969348652664,15.893793383666027,15.612984580933356,15.856198521181398,15.042147246583763,15.297736879146022,15.721696979819026,15.724133886097258,15.269779562198405,15.178001272796159,15.331797932826948,15.154282217873362,NA,NA,16.40470842829027,NA,NA,NA,NA,14.858100429494296,14.848063950470593,15.357276411572142,NA,NA,NA,15.670610115749739,NA,NA,15.889332406487778,NA,15.244372332125907,15.855339377990079,NA,NA,15.238448768188853,15.50115341538752,NA,15.16521456667204,NA,15.394854528897254,NA,NA,NA,NA
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,NA,21.697560086451574,21.732292596151176,22.38917296008686,NA,22.458506038348283,NA,NA,21.53086929500874,21.4718194566208,20.935632470337172,NA,NA,21.841249594800892,21.74449499867637,20.872076945694392,22.053064845589937,21.79290473394396,21.42526268036695,21.4657998422546,21.7168192905104,21.53511571118238,21.41352976528611,20.815066400062356,22.056987410888603,NA,NA,20.841844680388704,21.437082011152793,21.426081308169277,NA,NA,21.356315805976877,NA,NA,NA,NA,21.3553183436471,NA,20.56585468945103,NA,NA,NA,NA,NA,NA,20.739624581122325,NA,NA,NA,NA,NA,21.07927459222005,21.517705570486683,NA,NA,NA,NA,NA,NA,NA,NA
A5YM72,CRNS1_HUMAN,CARNS1,Carnosine synthase 1,19.076675735031355,NA,20.66665042496193,20.844812495593267,18.853880435526587,19.510809077223787,19.231463499212033,NA,NA,19.933690159804602,19.442252167149796,19.29854227155685,NA,20.78814577964305,19.45365921427655,20.574744634179627,20.244236323111274,20.576914966804082,20.016635312902345,20.07463461428475,20.649100422623352,20.637817369481365,18.891985163025456,18.839750114184813,20.838364163848556,20.547879445325968,20.70262411937866,19.64717580404816,19.532248804375598,19.97461436119705,NA,20.456792868277546,20.54411423621047,NA,19.24371961787382,19.81251490579037,20.816582951652606,21.106062410670397,20.575475656299773,NA,19.6594493821551,19.27133788522396,19.78133958503123,NA,19.657064888983687,19.984650455400654,19.980181725068643,20.972278848022036,20.754109203780857,20.81642766674302,20.45119507118522,22.162724369874642,20.375300718198666,21.30715930117961,NA,20.61270443648205,21.095890850712895,20.556370308255104,20.805137575618698,20.45971939620696,20.510401421229968,21.39258479915793
A6NCE7,MP3B2_HUMAN,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,NA,20.510032762926603,20.787093963835975,20.176069823651957,20.482004693670085,20.92429851431081,20.12213478859308,20.601900896431808,20.812849517447194,20.74191978312646,20.154738641589248,NA,21.034189121228028,20.923551033177628,20.892822100571355,20.89575105195649,20.902874519336052,20.190406411454962,NA,20.155717790036523,20.922829329763015,NA,20.07700311620963,20.849454169282023,20.70642649986448,20.837330068424805,NA,20.740675428799918,21.167176012783127,20.804508042918325,NA,NA,20.665962891008075,NA,NA,20.665929244317834,NA,NA,NA,NA,NA,21.58903808275342,NA,21.570237269629686,NA,NA,20.568586385309416,NA,20.64615495440503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,23.604279309380427,22.97824494718948,22.74682652438285,23.311430282402398,22.529105928976495,23.21481614748516,22.941289300543065,22.823424340380544,23.18888511869498,23.084373396030575,23.094669478465,23.2143741787285,23.100091874665715,23.26333783598545,22.832639927098118,23.681760164859828,22.785872994701712,22.803570011671283,23.389290487549662,22.85204825890951,22.700246913802026,22.843996392325835,22.83713003698059,23.188261847716657,23.229478912588252,22.805793115169983,23.32400644139851,23.134229812608815,23.196813665468788,23.039600279459346,22.82556265465462,23.349577783548533,22.67576003782432,22.53814243159082,23.085842638563225,22.661031126151087,23.247755826482404,22.911176234357914,23.18654905515806,22.344358044562735,23.12217703097748,22.757065102888554,23.22634859779036,23.07171546584299,22.90899267491309,23.19473925300577,22.926563227595892,23.40639187405775,22.977252964634157,22.76452384387661,22.893101769483355,23.108307555016392,23.03297809334295,23.02704881328272,23.084039319490035,22.794649640750706,23.010474009569773,22.911508262967097,23.295380881269683,22.858522391684005,23.122631329158196,22.89704297697269
A6NNS2,DRS7C_HUMAN,DHRS7C,Dehydrogenase/reductase SDR family member 7C,21.339150049569906,21.831511259268858,21.675268599435036,21.239587168908656,21.7757001841642,21.291281703930764,22.00416503600969,21.65485928041606,21.82863333752572,21.515992006655004,20.902089292512482,21.93282615179424,21.328995489357904,21.822687140126217,21.445757299705203,21.779624905408838,21.07720720495878,21.683706145628,20.88212231780053,21.561615648884114,21.197753857820636,21.61198861223118,21.32125404516171,21.544990550914257,20.884220302449005,21.44786368959442,21.951809554382066,22.213910404310184,21.365800779588056,21.088240925020383,21.81417851142308,22.274674056682937,21.38224773142513,22.263228860146803,20.929429547513706,22.078540797036077,22.332420186056417,21.963752670700586,21.96277203748742,21.527957033465736,20.775830647586716,21.873130981375443,22.045849438761078,21.71633760345294,21.907123241296397,22.68336284918559,21.548400945659054,22.090537716669104,20.57953346729403,22.134763745360374,21.410674227941815,21.74248320286816,21.57439109299224,21.73720453398944,22.34955171952768,21.561126970072948,21.787506349131572,21.978866531251477,20.897608389799238,21.932813910163198,21.53606955895193,22.233786557654433
