gene,n_miss,pct_miss,mean_intensity,vote_kmeans,vote_logistic,vote_lefttail,n_mnar_votes,classification,imputation_reliable,group_miss_pval
MMP24OS,25,40.32258064516129,16.322906735899043,1,1,1,3,MNAR,TRUE,4.997501249375312e-4
ESYT2,18,29.03225806451613,17.098331165177516,1,1,1,3,MNAR,TRUE,4.997501249375312e-4
ILVBL,17,27.419354838709676,17.0022662256138,1,1,1,3,MNAR,TRUE,0.08845577211394302
FSD2,6,9.67741935483871,17.976966028844235,0,1,1,2,MNAR,TRUE,0.051974012993503245
TARS3,22,35.483870967741936,15.491210573111283,1,1,1,3,MNAR,TRUE,4.997501249375312e-4
VWA8,34,54.83870967741935,21.47361209635668,1,0,0,1,MAR,FALSE,NA
CARNS1,9,14.516129032258066,20.22661257014602,0,0,0,0,MAR,TRUE,NA
MAP1LC3B2,31,50,20.71365448426334,1,0,0,1,MAR,FALSE,NA
PGP,0,0,23.015275302127968,NA,NA,NA,NA,Complete,TRUE,NA
DHRS7C,0,0,21.64224919716279,NA,NA,NA,NA,Complete,TRUE,NA
SMTNL1,0,0,23.415900733680058,NA,NA,NA,NA,Complete,TRUE,NA
NUDT19,20,32.25806451612903,17.09822072861629,1,1,1,3,MNAR,TRUE,0.2938530734632684
NACA,0,0,23.676700924402894,NA,NA,NA,NA,Complete,TRUE,NA
SLC35A4,10,16.129032258064516,18.642144427044716,0,0,1,1,MAR,TRUE,NA
PDLIM1,0,0,22.35573246652498,NA,NA,NA,NA,Complete,TRUE,NA
MYO1C,12,19.35483870967742,18.51696111305153,0,0,1,1,MAR,TRUE,NA
FXYD1,6,9.67741935483871,19.839740222518383,0,0,0,0,MAR,TRUE,NA
STXBP3,10,16.129032258064516,18.28831392540244,0,1,1,2,MNAR,TRUE,0.12543728135932034
NDUFS8,0,0,22.652158433323613,NA,NA,NA,NA,Complete,TRUE,NA
PSMD11,0,0,21.814326331494183,NA,NA,NA,NA,Complete,TRUE,NA
PSMD12,0,0,20.5400178390757,NA,NA,NA,NA,Complete,TRUE,NA
PSMD9,0,0,18.06626928699169,NA,NA,NA,NA,Complete,TRUE,NA
PGRMC1,30,48.38709677419355,18.91983573998077,1,0,1,2,MNAR,TRUE,0.2563718140929535
CLIC1,1,1.6129032258064515,19.36113622918581,0,0,0,0,MAR,TRUE,NA
EIF3F,0,0,19.64848331315272,NA,NA,NA,NA,Complete,TRUE,NA
PDHX,0,0,23.423102974046106,NA,NA,NA,NA,Complete,TRUE,NA
DCTN6,33,53.2258064516129,15.851648718794934,1,1,1,3,MNAR,FALSE,0.06496751624187906
IPO5,0,0,21.664347487773032,NA,NA,NA,NA,Complete,TRUE,NA
EEF2K,12,19.35483870967742,16.35507340966682,1,1,1,3,MNAR,TRUE,0.01649175412293853
EML1,0,0,20.485666849968,NA,NA,NA,NA,Complete,TRUE,NA
DNM1L,0,0,20.235648856551407,NA,NA,NA,NA,Complete,TRUE,NA
RTCA,0,0,20.818279583226023,NA,NA,NA,NA,Complete,TRUE,NA
NDUFA4,0,0,26.116413014662196,NA,NA,NA,NA,Complete,TRUE,NA
PSMD14,0,0,20.663506678898425,NA,NA,NA,NA,Complete,TRUE,NA
BIN1,0,0,26.342706408141986,NA,NA,NA,NA,Complete,TRUE,NA
KPNA3,1,1.6129032258064515,21.013469042201347,0,0,0,0,MAR,TRUE,NA
DDX3X,0,0,19.580342341103787,NA,NA,NA,NA,Complete,TRUE,NA
KPNA4,0,0,22.95551193172343,NA,NA,NA,NA,Complete,TRUE,NA
CES2,10,16.129032258064516,20.52386433748361,0,0,0,0,MAR,TRUE,NA
FBP2,0,0,26.02274350483461,NA,NA,NA,NA,Complete,TRUE,NA
PDXK,1,1.6129032258064515,19.267523960905883,0,0,0,0,MAR,TRUE,NA
SDHD,1,1.6129032258064515,23.24022941532173,0,0,0,0,MAR,TRUE,NA
COX7A2L,29,46.774193548387096,16.51490204168833,1,1,1,3,MNAR,TRUE,0.00399800099950025
GAPDHS,24,38.70967741935484,19.680137412117432,1,0,0,1,MAR,TRUE,NA
HSPB6,0,0,27.08676097123112,NA,NA,NA,NA,Complete,TRUE,NA
NDUFAB1,0,0,23.44014097238817,NA,NA,NA,NA,Complete,TRUE,NA
IMPA2,0,0,22.349000339564174,NA,NA,NA,NA,Complete,TRUE,NA
PDCD5,0,0,20.868805406975408,NA,NA,NA,NA,Complete,TRUE,NA
PRMT5,1,1.6129032258064515,20.030749701047153,0,0,0,0,MAR,TRUE,NA
PSMA7,0,0,23.647217990672406,NA,NA,NA,NA,Complete,TRUE,NA
OPLAH,4,6.451612903225806,18.94512524218218,0,0,0,0,MAR,TRUE,NA
MGST3,0,0,24.549018043627623,NA,NA,NA,NA,Complete,TRUE,NA
RGS12,3,4.838709677419355,20.5353297775736,0,0,0,0,MAR,TRUE,NA
HAT1,18,29.03225806451613,18.90746114588252,0,0,1,1,MAR,TRUE,NA
UQCRQ,0,0,25.02529869085899,NA,NA,NA,NA,Complete,TRUE,NA
MYL12B,0,0,20.981670913798194,NA,NA,NA,NA,Complete,TRUE,NA
UQCR11,0,0,21.528693051066593,NA,NA,NA,NA,Complete,TRUE,NA
CASQ2,0,0,25.64879160783649,NA,NA,NA,NA,Complete,TRUE,NA
HGS,16,25.806451612903224,16.3499010490389,1,1,1,3,MNAR,TRUE,0.008995502248875561
HNRNPDL,0,0,18.643689955970057,NA,NA,NA,NA,Complete,TRUE,NA
XPO1,2,3.225806451612903,18.793595068441423,0,0,0,0,MAR,TRUE,NA
ATP2A1,0,0,28.3056883676577,NA,NA,NA,NA,Complete,TRUE,NA
SYNJ2,0,0,22.912083012135817,NA,NA,NA,NA,Complete,TRUE,NA
SYNM,0,0,21.197547344971472,NA,NA,NA,NA,Complete,TRUE,NA
ARPC1B,13,20.967741935483872,17.155284550604783,1,1,1,3,MNAR,TRUE,0.02848575712143928
ARPC2,39,62.903225806451616,16.83268869422138,1,1,1,3,MNAR,FALSE,4.997501249375312e-4
PGRMC2,0,0,21.238493941061485,NA,NA,NA,NA,Complete,TRUE,NA
PFDN6,0,0,20.451799981344372,NA,NA,NA,NA,Complete,TRUE,NA
NDUFA1,15,24.193548387096776,20.909054996080826,0,0,0,0,MAR,TRUE,NA
SURF4,2,3.225806451612903,24.398071527623188,0,0,0,0,MAR,TRUE,NA
MAPK13,40,64.51612903225806,19.483493686791622,1,0,0,1,MAR,FALSE,NA
TCAP,0,0,20.98587710548838,NA,NA,NA,NA,Complete,TRUE,NA
PMM2,3,4.838709677419355,17.933929247497673,0,1,0,1,MAR,TRUE,NA
EIF3D,5,8.064516129032258,18.86885196326757,0,0,0,0,MAR,TRUE,NA
EIF3H,14,22.58064516129032,15.830370100917165,1,1,1,3,MNAR,TRUE,0.004497751124437781
BCAT2,1,1.6129032258064515,20.963816288177544,0,0,0,0,MAR,TRUE,NA
