"uniprot_id","protein","gene","description","n_seq","Ensembl","Evidence","Protein_class","Subcellular_main","Interactions","O_S05_Pre","O_S06_Pre","O_S07_Pre","O_S10_Pre","O_S16_Pre","O_S17_Pre","O_S24_Pre","O_S28_Pre","O_S29_Pre","O_S32_Pre","O_S35_Pre","O_S05_Post","O_S06_Post","O_S07_Post","O_S10_Post","O_S16_Post","O_S17_Post","O_S24_Post","O_S28_Post","O_S29_Post","O_S32_Post","O_S35_Post","logFC_Baseline_arm","CI.L_Baseline_arm","CI.R_Baseline_arm","average_intensity_Baseline_arm","t_Baseline_arm","B_Baseline_arm","P.Value_Baseline_arm","adj.P.Val_Baseline_arm","sig.PVal_Baseline_arm","sig.FDR_Baseline_arm","logFC_Training_BRJ","CI.L_Training_BRJ","CI.R_Training_BRJ","average_intensity_Training_BRJ","t_Training_BRJ","B_Training_BRJ","P.Value_Training_BRJ","adj.P.Val_Training_BRJ","sig.PVal_Training_BRJ","sig.FDR_Training_BRJ","logFC_Training_PLA","CI.L_Training_PLA","CI.R_Training_PLA","average_intensity_Training_PLA","t_Training_PLA","B_Training_PLA","P.Value_Training_PLA","adj.P.Val_Training_PLA","sig.PVal_Training_PLA","sig.FDR_Training_PLA","logFC_Arm_x_Training","CI.L_Arm_x_Training","CI.R_Arm_x_Training","average_intensity_Arm_x_Training","t_Arm_x_Training","B_Arm_x_Training","P.Value_Arm_x_Training","adj.P.Val_Arm_x_Training","sig.PVal_Arm_x_Training","sig.FDR_Arm_x_Training"
"A0A0U1RRL7","MMPOS_HUMAN","MMP24OS","Protein MMP24OS",1,"ENSG00000126005","Evidence at protein level","Predicted intracellular proteins",NA,NA,16.0547267234563,17.2647333753781,15.1296917420822,NA,16.3394960659837,16.3244018070955,16.4483783889738,16.3368210383219,16.9356611005649,16.1881566085458,17.7973988857877,17.1568591972982,16.1305847271557,16.347360294309,NA,16.7923493119299,16.5412966853112,16.3940050240569,16.00403929851,15.1228179422209,15.739398924258,16.3645658413643,0.448847510222119,-0.360734422980213,1.25842944342445,16.3706371491302,1.15722135487937,-4.80919071214147,0.260947832522957,0.668918342381946,0,0,-0.207309796488282,-0.900433599237951,0.485814006261387,16.3706371491302,-0.624291524108754,-5.15544222985378,0.539561138906354,0.914373797414121,0,0,-0.245582427711531,-1.09448225036862,0.603317394945562,16.3706371491302,-0.603836376095678,-4.66515330895021,0.552806161950958,0.993245376463548,0,0,0.0382726312232471,-1.05765232735987,1.13419758980636,16.3706371491302,0.0728930176662404,-4.66104659525542,0.942622340111614,0.990192879028667,0,0
"A0FGR8","ESYT2_HUMAN","ESYT2","Extended synaptotagmin-2",6,"ENSG00000117868","Evidence at protein level","Plasma proteins, Predicted membrane proteins, Transporters","Plasma membrane, Cytosol",54,16.6964160701522,16.9957316992607,16.8223828254004,16.8734121910642,16.6709767403972,17.3792493880235,17.1289740911908,16.9148436749843,16.9399133499958,17.1826361693545,16.8390860465644,16.609870882335,16.8898685643695,17.1332828041226,16.5922756067084,17.1211611154793,17.0827465807555,17.348594776476,NA,17.3522017608711,16.7988491636374,17.2506468844005,0.0247774590982814,-0.308362306123376,0.357917224319939,16.9820533516925,0.154759984227027,-5.36893820242933,0.8785019567685,0.967158117543302,0,0,-0.00182548712921005,-0.305868582140564,0.302217607882144,16.9820533516925,-0.0124931517346464,-5.30913712127671,0.990151183530279,0.999066947481521,0,0,0.170242490252186,-0.18298463304865,0.523469613553021,16.9820533516925,1.00286460397707,-4.60663503360947,0.327447411805826,0.993245376463548,0,0,-0.172067977381396,-0.638127634785324,0.293991680022533,16.9820533516925,-0.768222329384311,-4.62586858100811,0.450986799270018,0.984534738947309,0,0
"A1L4K1","FSD2_HUMAN","FSD2","Fibronectin type III and SPRY domain-containing protein 2",1,"ENSG00000186628","Evidence at protein level","Predicted intracellular proteins","Cytosol",77,17.5432838667902,17.9072183301792,17.8980281540626,17.2777845986192,17.9123766245004,17.8508005384115,16.3197946987924,18.4597937939642,17.9893139622334,17.4369243173044,17.634211212663,17.7629554116381,17.8751889965318,18.1544156714432,17.3395296499446,17.9615726142478,17.6684601901277,18.0210765455125,18.0349444961485,17.4264176554274,18.0014558628683,17.6428386825337,0.125192773440407,-0.41281652036834,0.663202067249154,17.7326539033611,0.482830684360459,-5.28300131401175,0.634027769976806,0.878906805809344,0,0,0.104609478016457,-0.386409691447287,0.5956286474802,17.7326539033611,0.442056689623135,-5.23193999759544,0.662801207600142,0.938921934250379,0,0,0.206333762160863,-0.331550788404625,0.744218312726351,17.7326539033611,0.79595150078251,-4.65085307399812,0.434639855111759,0.993245376463548,0,0,-0.101724284144407,-0.830023408486803,0.62657484019799,17.7326539033611,-0.289814582526467,-4.66371505083317,0.774695894751312,0.984534738947309,0,0
"A2RTX5","SYTC2_HUMAN","TARS3","Threonine--tRNA ligase 2, cytoplasmic",5,"ENSG00000185418","Evidence at protein level","Enzymes, Predicted intracellular proteins","Cytosol",8,15.8020510631357,15.9937997619635,14.9972693009792,NA,15.3259289955944,15.8042754488606,14.573494408559,15.5996815044816,15.7440746845233,15.9443467692117,16.0295989918234,15.893793383666,15.6129845809334,15.8561985211814,15.0421472465838,15.297736879146,15.721696979819,15.7241338860973,15.2697795621984,15.1780012727962,15.3317979328269,15.1542822178734,0.595824399095054,0.123374517215725,1.06827428097438,15.518908256774,2.62416369722679,-3.01293051491439,0.0159272479258247,0.405351441176208,1,0,-0.314618176054099,-0.719276644879611,0.0900402927714133,15.518908256774,-1.6177952625831,-4.34128416547845,0.120767354226428,0.830363216238228,0,0,0.193209658434895,-0.27690904910299,0.663328365972781,15.518908256774,0.855164538460547,-4.63442236257132,0.402200317379065,0.993245376463548,0,0,-0.507827834488994,-1.12811815004236,0.112462481064376,15.518908256774,-1.70353038712311,-4.48904693182358,0.10336045842315,0.984534738947309,0,0
"A5YM72","CRNS1_HUMAN","CARNS1","Carnosine synthase 1",8,"ENSG00000172508","Evidence at protein level","Enzymes, Metabolic proteins, Predicted intracellular proteins","Mitochondria",1,18.8538804355266,19.5108090772238,19.231463499212,NA,NA,19.9336901598046,19.4422521671498,19.2985422715569,NA,20.788145779643,19.4536592142765,20.0746346142848,20.6491004226234,20.6378173694814,18.8919851630255,18.8397501141848,20.8383641638486,20.547879445326,20.7026241193787,19.6471758040482,19.5322488043756,19.9746143611971,0.410329550497224,-0.570201505133869,1.39086060612832,19.8341387887456,0.876491709378648,-4.9523938581484,0.39182121353327,0.759128889993823,0,0,0.295929736369018,-0.483042354890896,1.07490182762893,19.8341387887456,0.795688498366628,-5.03106338073593,0.436141660069585,0.901015540512408,0,0,0.806970253699145,-0.133152305904872,1.74709281330316,19.8341387887456,1.79783331205347,-4.42839267243885,0.0882779420084947,0.993245376463548,0,0,-0.511040517330127,-1.73195326852828,0.70987223386803,19.8341387887456,-0.876692065386779,-4.61155244697068,0.391715108483405,0.984534738947309,0,0
"A6NCE7","MP3B2_HUMAN","MAP1LC3B2","Microtubule-associated proteins 1A/1B light chain 3 beta 2",1,"ENSG00000258102","Evidence at protein level","Predicted intracellular proteins","Vesicles",1,20.4820046936701,20.9242985143108,20.1221347885931,20.6019008964318,20.8128495174472,20.7419197831265,20.1547386415892,NA,21.034189121228,20.9235510331776,20.8928221005714,20.1557177900365,20.922829329763,NA,20.0770031162096,20.849454169282,20.7064264998645,20.8373300684248,NA,20.7406754287999,21.1671760127831,20.8045080429183,0.318000078423388,-0.115811042803558,0.751811199650335,20.6816594499067,1.53533417507654,-4.44153075335259,0.141354420231154,0.575766694428009,0,0,-0.0285556329426768,-0.399963147967807,0.342851882082453,20.6816594499067,-0.161033960894085,-5.29882664753558,0.873783912860541,0.978997094166785,0,0,0.0634863887030939,-0.427820695927553,0.554793473333741,20.6816594499067,0.270647467998473,-4.68084464753536,0.789610168102036,0.993245376463548,0,0,-0.0920420216457707,-0.707936650316461,0.52385260702492,20.6816594499067,-0.313008480251577,-4.64986085721468,0.757718818763841,0.984534738947309,0,0
"A6NDG6","PGP_HUMAN","PGP","Glycerol-3-phosphate phosphatase",8,"ENSG00000184207","Evidence at protein level","Enzymes, Metabolic proteins, Predicted intracellular proteins","Nuclear bodies",3,22.5291059289765,23.2148161474852,22.9412893005431,22.8234243403805,23.188885118695,23.0843733960306,23.094669478465,23.2143741787285,23.1000918746657,23.2633378359854,22.8326399270981,22.8520482589095,22.700246913802,22.8439963923258,22.8371300369806,23.1882618477167,23.2294789125883,22.80579311517,23.3240064413985,23.1342298126088,23.1968136654688,23.0396002794593,-0.0159101088447677,-0.318783014834795,0.286962797145259,23.0199369637946,-0.108997893718786,-5.3739491705295,0.914200941911229,0.978232042314654,0,0,0.0155485872789747,-0.260871178073926,0.291968352631875,23.0199369637946,0.116715146982726,-5.30378571320621,0.908154041130959,0.981688278455094,0,0,-0.0457386748598125,-0.348541356507949,0.257064006788324,23.0199369637946,-0.313421828915282,-4.71281751164627,0.75693841868022,0.993245376463548,0,0,0.0612872621387872,-0.348709506983916,0.47128403126149,23.0199369637946,0.310166697403039,-4.66283605522809,0.759379049895081,0.984534738947309,0,0
"A6NNS2","DRS7C_HUMAN","DHRS7C","Dehydrogenase/reductase SDR family member 7C",6,"ENSG00000184544","Evidence at protein level","Enzymes, Predicted intracellular proteins, Predicted secreted proteins",NA,NA,21.7757001841642,21.2912817039308,22.0041650360097,21.6548592804161,21.8286333375257,21.515992006655,20.9020892925125,21.9328261517942,21.3289954893579,21.8226871401262,21.4457572997052,21.5616156488841,21.1977538578206,21.6119886122312,21.3212540451617,21.5449905509143,20.884220302449,21.4478636895944,21.9518095543821,22.2139104043102,21.3658007795881,21.0882409250204,0.0487548953331043,-0.359808582284579,0.457318372950788,21.5314743314797,0.247607654568328,-5.35353376878626,0.806754498991532,0.943762650310738,0,0,-0.339571601238433,-0.712450846563083,0.0333076440862176,21.5314743314797,-1.88959412956119,-4.01912180366617,0.0721807789948619,0.830363216238228,0,0,0.144778211117842,-0.263690536661785,0.553246958897469,21.5314743314797,0.735444241228287,-4.66139031672921,0.469905762256021,0.993245376463548,0,0,-0.484349812356275,-1.03741911136548,0.0687194866529339,21.5314743314797,-1.81712567137123,-4.45984315315514,0.0829674530356857,0.984534738947309,0,0
"A8MU46","SMTL1_HUMAN","SMTNL1","Smoothelin-like protein 1",4,"ENSG00000214872","Evidence at protein level","Predicted intracellular proteins",NA,NA,24.0375980590775,22.2856866018446,23.8501515552031,23.8523471132998,23.4036877899777,23.4840226193457,23.7087693550537,23.7300476320893,23.5011585367242,23.2257285335476,23.2934073625975,23.5466767610874,22.7421604007812,23.0551839814225,24.282441228656,22.9072432221154,22.8040347075039,23.4820437662248,22.8575969069342,23.9895238500178,24.0737908599678,23.8456882837361,-0.440139677408922,-1.04964649767387,0.169367142856028,23.452681323964,-1.49836400191418,-4.50369554902048,0.14837600368627,0.581293646704011,0,0,0.0315772114668853,-0.524694838315533,0.587849261249303,23.452681323964,0.117785523321979,-5.30368600286908,0.907315782170949,0.981434536207449,0,0,-0.195136891822933,-0.804502391373867,0.414228607728,23.452681323964,-0.66445702977394,-4.67277771777192,0.513363417952912,0.993245376463548,0,0,0.226714103289819,-0.598370683512175,1.05179889009181,23.452681323964,0.570145022543278,-4.6465286911386,0.574407221193641,0.984534738947309,0,0
"A8MXV4","NUD19_HUMAN","NUDT19","Nucleoside diphosphate-linked moiety X motif 19",4,"ENSG00000213965","Evidence at protein level","Predicted intracellular proteins","Cytosol",11,16.6120380624048,17.2121418013816,NA,16.1179352669288,NA,16.0440599858402,16.4336556096517,16.3345859483373,17.4055451629379,17.3967826909621,17.9516783625743,17.2547932517259,17.429441135077,16.5063171268971,16.8452081131853,16.8309708377878,17.1522610764629,17.0850345637488,16.7346012608903,NA,15.7772387285313,16.7285992849023,0.476252747059458,-0.290286795660538,1.24279228977946,16.8343625405383,1.30130560923876,-4.66162414106884,0.208870947492409,0.629563923368014,0,0,-0.180599362948975,-0.843248143751544,0.482049417853595,16.8343625405383,-0.570833144981985,-5.14745523413913,0.574870929773739,0.925013940341279,0,0,0.243794186521399,-0.529605766342113,1.01719413938491,16.8343625405383,0.660230488232436,-4.65826816108312,0.517111453328368,0.993245376463548,0,0,-0.424393549470373,-1.4428487000727,0.594061601131956,16.8343625405383,-0.872776887147489,-4.61267230068377,0.393791933765542,0.984534738947309,0,0
