contrast,type,sig.PVal,sig.FDR,pval_thresh,lfc_thresh,p_adj_method,sig.Pi,sig.FDR.05,sig.FDR.10
Training_Young,up,303,144,0.1,0,BH,44,80,144
Training_Young,down,300,117,0.1,0,BH,56,54,117
Training_Young,nonsig,1499,1841,0.1,0,BH,2013,1968,1841
Training_Old,up,180,0,0.1,0,BH,8,0,0
Training_Old,down,150,0,0.1,0,BH,10,0,0
Training_Old,nonsig,1782,2112,0.1,0,BH,2095,2112,2112
Aging,up,365,199,0.1,0,BH,80,134,199
Aging,down,375,205,0.1,0,BH,116,144,205
Aging,nonsig,1363,1699,0.1,0,BH,1917,1825,1699
Interaction,up,168,1,0.1,0,BH,29,1,1
Interaction,down,121,0,0.1,0,BH,5,0,0
Interaction,nonsig,1812,2100,0.1,0,BH,2079,2100,2100
Reversal,up,303,61,0.1,0,BH,110,29,61
Reversal,down,265,76,0.1,0,BH,70,38,76
Reversal,nonsig,1535,1966,0.1,0,BH,1933,2036,1966
