uniprot_id,protein,gene,description,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,pi_score,sig_pi
A0A0U1RRL7,MMPOS_HUMAN,MMP24OS,Protein MMP24OS,-0.21905595735127648,-0.6411371360129077,0.20302522131035466,16.322906735899043,-1.051525771619795,-5.164660555318515,0.299827421214911,0.8322638465093714,0.7680784011304529,0
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,0.10147610065568458,-0.11132106281972329,0.31427326413109247,17.098331165177516,0.9610328393759479,-5.258940145785042,0.3417814745296386,0.855652243325369,0.8967814531624217,0
A1L0T0,ILVBL_HUMAN,ILVBL,Acetolactate synthase-like protein,-0.12701873426115995,-0.46964443120134536,0.21560696267902546,17.0022662256138,-0.7466486014389415,-5.2880673513856795,0.45915474329480344,0.8827663660859664,0.9058628922622027,0
A1L4K1,FSD2_HUMAN,FSD2,Fibronectin type III and SPRY domain-containing protein 2,0.13004169643624763,-0.11063997266704514,0.37072336553954044,17.976966028844235,1.0823411494183166,-5.177346502918125,0.2837354657203367,0.8322638465093714,0.8488988780319937,0
A2RTX5,SYTC2_HUMAN,TARS3,"Threonine--tRNA ligase 2, cytoplasmic",-0.037708511330412975,-0.3124169579986597,0.23699993533783376,15.491210573111283,-0.2774169141404077,-5.636720747296726,0.7828869744775832,0.9646775321450733,0.9908126667985281,0
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,-0.2901009340025915,-0.6067131920719515,0.026511324066768482,21.47361209635668,-1.8767338140606926,-4.103160738163074,0.07099331499886831,0.5740511406005078,0.46423417789397153,0
A5YM72,CRNS1_HUMAN,CARNS1,Carnosine synthase 1,0.45218153853566534,0.028207814969548273,0.8761552621017824,20.22661257014602,2.1391450258538023,-3.6875296853773456,0.037044533588776365,0.4920632386131804,0.22532193675177728,0
A6NCE7,MP3B2_HUMAN,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,0.0324225420226405,-0.21217502436870558,0.2770201084139866,20.71365448426334,0.2703292588512515,-5.591936672957396,0.7886957263593046,0.9690083618794947,0.9923332501643409,0
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,-0.007727505641010879,-0.16179850297486942,0.14634349169284766,23.015275302127968,-0.10025777353534834,-5.697797758579318,0.9204629141148551,0.9938126471141085,0.9993597604393679,0
A6NNS2,DRS7C_HUMAN,DHRS7C,Dehydrogenase/reductase SDR family member 7C,-0.13148805313291234,-0.3902819524555118,0.1273058461896871,21.64224919716279,-1.0156214852877785,-5.239781196029736,0.3137535413112606,0.8409231970169827,0.8586326917475812,0
A8MU46,SMTL1_HUMAN,SMTNL1,Smoothelin-like protein 1,-0.14916015802417348,-0.5229963049531259,0.22467598890477897,23.415900733680058,-0.7975743192709684,-5.416080219337096,0.42815922411068863,0.8787874454050285,0.8811506968961705,0
A8MXV4,NUD19_HUMAN,NUDT19,Nucleoside diphosphate-linked moiety X motif 19,0.0768170257855445,-0.3307956292937129,0.4844296808648019,17.09822072861629,0.3803060360242035,-5.5447625583270135,0.7056325868294575,0.9496049149362232,0.9735724159727451,0
E9PAV3,NACAM_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",0.07663259259203414,-0.061479828178272106,0.2147450133623404,23.676700924402894,1.1091247588357267,-5.151653109442726,0.2716566141241144,0.8322638465093714,0.9049560898975599,0
L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,0.12478077091411066,-0.1425128549147054,0.3920743967429267,18.642144427044716,0.9367420871837994,-5.252460019565234,0.35321744692404966,0.855652243325369,0.8782220777463183,0
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,-0.12957904273229914,-0.485351608978373,0.2261935235137747,22.35573246652498,-0.7280512129513815,-5.463587125705759,0.4693208267112563,0.8869012694738848,0.9066285159232226,0
O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,-0.13875041395037613,-0.38606813903777193,0.1085673111370197,18.51696111305153,-1.1268156563761678,-5.1071825755704685,0.26519401501628137,0.8278052680817009,0.8318005962364393,0
O00168,PLM_HUMAN,FXYD1,Phospholemman,0.057277974182582625,-0.30988255441247486,0.4244385027776401,19.839740222518383,0.3125044610452459,-5.630090509699795,0.7558168964558298,0.9636490266952573,0.9840925611594059,0
O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,0.14024974599723095,-0.06471148000241159,0.34521097199687345,18.28831392540244,1.3730657817657543,-4.839130386829721,0.17561846518556035,0.7237452654912476,0.7835219350615436,0
O00217,NDUS8_HUMAN,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",-0.004518111573293737,-0.2807666570998321,0.27173043395324464,22.652158433323613,-0.032693135187432096,-5.701862703392591,0.9740242359702074,0.9954864063133828,0.9998810944723928,0
O00231,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,0.06377806361316019,-0.06770064691990335,0.19525677414622372,21.814326331494183,0.9696511394705991,-5.280368134332933,0.33598498651211506,0.8548593030677044,0.9328022793228445,0
O00232,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,-0.04838950294746169,-0.24671945024288836,0.14994044434796497,20.5400178390757,-0.4877109243344971,-5.594925200531092,0.6274734475433297,0.9255433365518797,0.977700280368742,0
O00233,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,0.06779432976802013,-0.10503568558726842,0.24062434512330869,18.06626928699169,0.7841042754755454,-5.425615657241076,0.4359620269805551,0.8796373263781408,0.9452717169774955,0
O00264,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,-0.1101355200660663,-0.653598499049122,0.4333274589169894,18.91983573998077,-0.4127694909174936,-5.392597124652829,0.6825238790938188,0.9411232628892083,0.9588054261969507,0
O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,0.21914685844981108,-0.005322923744407793,0.44361664064402995,19.36113622918581,1.9521734162084319,-4.034484492868748,0.05550786050023567,0.5457266217037436,0.5306757358146104,0
O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,-0.013389690004032673,-0.17976096387499993,0.15298158386693458,19.64848331315272,-0.16087620000421404,-5.690636066788499,0.8727135406855153,0.989448788709926,0.9981786823184217,0
O00330,ODPX_HUMAN,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",-0.09767398551174367,-0.24894097511422938,0.05359300409074205,23.423102974046106,-1.2907269082990003,-4.959401413448575,0.2015870038342443,0.7564660176718055,0.855192893360332,0
O00399,DCTN6_HUMAN,DCTN6,Dynactin subunit 6,0.10787874685483168,-0.16884357810532807,0.3846010718149914,15.851648718794934,0.7972622219069955,-5.227959966712641,0.43176724906241515,0.8790448592205058,0.9133793618935622,0
O00410,IPO5_HUMAN,IPO5,Importin-5,-0.00785855898109844,-0.12513788906108775,0.10942077109889087,21.664347487773032,-0.1339433200014631,-5.694228229538424,0.8938808861450702,0.9920527753748756,0.9991187937356216,0
O00418,EF2K_HUMAN,EEF2K,Eukaryotic elongation factor 2 kinase,-0.10877555236492142,-0.3987201572660862,0.18116905253624332,16.35507340966682,-0.7535118618582458,-5.432444276555089,0.45467258101910335,0.8815076258918112,0.9178379151318227,0
O00423,EMAL1_HUMAN,EML1,Echinoderm microtubule-associated protein-like 1,-0.07357776568646912,-0.2601889020758885,0.11303337070295025,20.485666849968,-0.788149595429786,-5.422768664040559,0.43360990972176716,0.8790448592205058,0.9403695761073968,0
O00429,DNM1L_HUMAN,DNM1L,Dynamin-1-like protein,-0.04900930737766984,-0.20866202458306285,0.11064340982772317,20.235648856551407,-0.6136233388496711,-5.532509277070237,0.541707299537095,0.9022036585020758,0.9704026900090609,0
O00442,RTCA_HUMAN,RTCA,RNA 3'-terminal phosphate cyclase,-0.22005183938501816,-0.406542474769451,-0.03356120400058532,20.818279583226023,-2.3586722275446372,-3.3026504803961014,0.021504270116777184,0.4373447950946092,0.4296046708544659,0
O00483,NDUA4_HUMAN,NDUFA4,Cytochrome c oxidase subunit NDUFA4,0.005938122588659667,-0.19562818979763483,0.20750443497495416,26.116413014662196,0.058888545461916506,-5.700777019847865,0.9532301259568206,0.9954864063133828,0.9997156107329438,0
O00487,PSDE_HUMAN,PSMD14,26S proteasome non-ATPase regulatory subunit 14,0.04964214843942827,-0.08704037422439342,0.18632467110324996,20.663506678898425,0.7260009718820011,-5.464923672916957,0.47056781563911354,0.8869012694738848,0.9632705074886662,0
O00499,BIN1_HUMAN,BIN1,Myc box-dependent-interacting protein 1,-0.01087390255694487,-0.13554876925127135,0.11380096413738161,26.342706408141986,-0.17434365373010705,-5.688593934514504,0.8621629839752605,0.9894155292205405,0.9983885809175301,0
O00505,IMA4_HUMAN,KPNA3,Importin subunit alpha-4,-1.322380843689075e-4,-0.23021536780591886,0.22995089163718105,21.013469042201347,-0.001149245477544547,-5.687841671186032,0.999086782101186,0.9995600586441045,0.9999998791826471,0
O00571,DDX3X_HUMAN,DDX3X,ATP-dependent RNA helicase DDX3X,0.06081844751190957,-0.20094042180865979,0.3225773168324789,19.580342341103787,0.4644441989414719,-5.604910758010434,0.6439550568213164,0.9354399355909564,0.973587281388526,0
O00629,IMA3_HUMAN,KPNA4,Importin subunit alpha-3,0.08516944528346926,-0.05116589747466063,0.22150478804159915,22.95551193172343,1.2487485105966738,-5.006291712911673,0.2164479138053289,0.76701005697458835,0.8777936162879824,0
O00748,EST2_HUMAN,CES2,Cocaine esterase,0.07895232576369438,-0.30750160757610767,0.4654062591034964,20.52386433748361,0.40994742893668745,-5.5983961204947965,0.683526937605281,0.9411232628892083,0.9704062233033752,0
O00757,F16P2_HUMAN,FBP2,"Fructose-1,6-bisphosphatase isozyme 2",-0.048187069352199075,-0.3616656562360277,0.26529151753162955,26.02274350483461,-0.3072714803118721,-5.659652579500203,0.7596656602519106,0.9636490266952573,0.9868418252752652,0
O00764,PDXK_HUMAN,PDXK,Pyridoxal kinase,-0.06752995448691479,-0.21428590657423288,0.0792259976004033,19.267523960905883,-0.9201142634293571,-5.322015659900487,0.3611345398880136,0.860596056115936,0.9335324301053863,0
O14521,DHSD_HUMAN,SDHD,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",-0.07536277026283855,-0.33983903843632873,0.18911349791065163,23.24022941532173,-0.5697852157860867,-5.555810524435954,0.5709142068500066,0.9083641106983361,0.9586377012821852,0
O14548,COX7R_HUMAN,COX7A2L,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",0.018310213868542036,-0.32683406180821445,0.3634544895452985,16.51490204168833,0.10792663836956726,-5.585490282463735,0.9147064378166195,0.9938126471141085,0.9983689376460242,0
O14556,G3PT_HUMAN,GAPDHS,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",0.04898343049021392,-0.5242388297122696,0.6222056906926975,19.680137412117432,0.17298259833083462,-5.5702470803309625,0.8635820177154214,0.9894155292205405,0.9928415212869761,0
O14558,HSPB6_HUMAN,HSPB6,Heat shock protein beta-6,0.27705007668680537,-0.0535210339943093,0.60762118736792,27.08676097123112,1.6753015745170214,-4.4630683968528375,0.09890796452214987,0.6353161094517655,0.5267793532402971,0
O14561,ACPM_HUMAN,NDUFAB1,"Acyl carrier protein, mitochondrial",-0.0871801984705236,-0.3674042837547178,0.19304388681367057,23.44014097238817,-0.621887764277832,-5.527919497762841,0.5362940691804658,0.9022036585020758,0.9471293596514168,0
