quadrant,gene
UU,VARS1
UU,MSN
UU,DYNC1H1
UU,GLRX3
UU,RPS11
UU,ALDH1B1
UU,FARSB
UU,DYNLT1
UU,CCT6A
UU,S100A4
UU,S100A13
UU,DYNC1LI1
UU,PSME1
UU,USP9X
UU,DYNC1I2
UU,CCT5
UU,FSCN1
UU,CBR1
UU,CAPN2
UU,PSME2
UU,EEF1D
UU,HSPB6
UU,CCT8
UU,DCTN2
UU,ABCE1
UU,CALU
UU,EEF1G
UU,S100A6
UU,CARNS1
UU,TUBB
UU,GLUD1
UU,DCTN1
UU,NACA
UU,QARS1
UU,PRKAG1
UU,USP5
UU,S100A11
UU,YWHAH
UU,YBX1
UU,HSPB1
UU,HPRT1
UU,TARS1
UU,EZR
UU,ACTR2
UU,HSPB7
UU,GBE1
UU,EHBP1L1
UU,CCT2
UU,TUBB6
UU,RAB6A
UU,NME2
UU,TUBB2A
UU,MAPT
UU,JPT2
UU,LGALS3
UU,RTCB
UU,TUBA1B
UU,PDIA3
UU,TXNDC5
UU,MARCKS
UU,DYSF
UU,TPM4
UU,CCT7
UU,ME2
UU,FLNA
UU,PADI2
UU,CCT4
UU,ANXA1
UU,FLNC
UU,PLIN3
UU,BCAP31
UU,GART
UU,SLC25A3
UU,ARHGAP1
UU,DNAJA2
UU,BOLA2
UU,HYOU1
UU,RABEP1
UU,DDX1
UU,KIF5B
UU,CANX
UU,CAMK2D
UU,VCL
UU,TCP1
UU,HSPB2
UU,CCT3
UU,GSN
UU,KPNA1
UU,DNAJA4
UU,LAP3
UU,AP2M1
UU,F13A1
UU,PRDX3
UU,AHCYL1
UU,TUFM
UU,ATP1A1
UU,ANXA2
UU,HSP90B1
UU,CSRP3
UU,IDH3B
UU,SERPINH1
UU,PRKDC
UU,RPS6
UU,SMPX
UU,CLTC
UU,APMAP
UU,MYBPH
UU,SSBP1
UU,ANKRD2
UU,SLC16A1
UU,IGHG2
UU,MTDH
UU,PPP1R14B
UU,UNC45B
UU,CLIC1
UU,KPNA4
UU,IGHG1
UU,EEF1B2
UU,AHCYL2
UU,FLNB
UU,HUWE1
UU,SEC23A
UU,ACTR1A
UU,PSMC2
UU,GYS1
UU,VAT1
UU,CRYAB
UU,ATIC
UU,TMEM43
UU,IDH3G
UU,PRDX5
UU,KLHL41
UU,EIF2B1
UU,HSPA5
UU,PSMC1
UU,ARPC1B
UU,HSP90AB1
UU,PHKG1
UU,RPS2
UU,GAPDH
UU,ACY1
UU,IDH3A
UU,NME1
UU,CAPNS1
UU,SARS1
UU,IQGAP1
UU,DHRS7
UU,SPTBN1
UU,GSR
UU,SAMHD1
UU,SPTAN1
UU,HSPB3
UU,ANXA4
UU,NAGK
UU,AP2A1
UU,IGKC
UU,BAG3
UU,CD99
UU,APOL2
UU,ARPC4
UU,TMEM63A
UU,HK1
UU,TLN1
UU,TIPRL
UU,TFG
UU,PAK2
UU,CALM1
UU,AP1B1
UU,CCDC124
UU,ETF1
UU,ERO1A
UU,GLIPR2
UU,RUVBL2
UU,SEPTIN7
UU,PSMD11
UU,FHL1
UU,PHKA1
DD,NT5C3A
DD,ACO1
DD,RCSD1
DD,RNF123
DD,RTN4
DD,PAFAH2
DD,DMAC2L
DD,GCSH
DD,CYB5R1
DD,CDH13
DD,PRKG1
DD,CKM
DD,TNMD
DD,NUTF2
DD,ATP2A2
DD,FUNDC2
DD,ADRM1
DD,TST
DD,FDX1
DD,AZGP1
DD,PIN4
DD,GSS
DD,MMAB
DD,TIMM10
DD,JCHAIN
DD,EIF4B
DD,PDHX
DD,SAR1A
DD,RAB12
DD,BCKDHA
DD,RBP4
DD,OTUB1
DD,VCAN
DD,NDUFA11
DD,HSPA1A
DD,PDLIM5
DD,OLA1
DD,ST13
DD,SNTB2
DD,SOD1
DD,GSK3A
DD,ETFRF1
DD,C6orf136
DD,RAB2A
DD,NAXE
DD,GLUL
DD,NLRX1
DD,CKB
DD,DCAF6
DD,PLIN5
DD,PDXK
DD,CMYA5
DD,DPYSL3
