gene,quadrant,sig_cat,pathway,logFC_Training_Young,logFC_Training_Old
CARNS1,Concordant Up,Tr.(Y),Amino Acid & Cofactor Metabolism,0.7762,0.4522
EZR,Concordant Up,Tr.(Y),Amino Acid & Cofactor Metabolism,0.6417,0.1965
HPRT1,Concordant Up,Both,Amino Acid & Cofactor Metabolism,0.5111,0.5562
ALDH1B1,Concordant Up,Tr.(Y),Carbohydrate & Energy Metabolism,1.2103,0.4062
GLRX3,Concordant Up,Tr.(Y),Circulatory System,0.5406,0.21560000000000001
HSPB7,Concordant Up,Tr.(Y),Circulatory System,0.4608,0.2009
FSCN1,Concordant Up,Both,Cytoskeleton & Motility,0.7069,0.6477
MSN,Concordant Up,Tr.(Y),Cytoskeleton & Motility,0.4734,0.2481
GLIPR2,Concordant Up,Tr.(O),Cytoskeleton & Motility,0.4475,0.6061
DYNLT1,Concordant Up,Tr.(Y),Cytoskeleton & Motility,0.4338,0.2537
DYNC1I2,Concordant Up,Tr.(Y),Cytoskeleton & Motility,0.3642,0.0888
DYNC1LI1,Concordant Up,Tr.(Y),DNA & Cell Cycle,0.6379,0.1031
S100A11,Concordant Up,Tr.(Y),DNA & Cell Cycle,0.5487,0.1921
TUBB6,Concordant Up,Tr.(Y),DNA & Cell Cycle,0.476,0.2364
DYNC1H1,Concordant Up,Tr.(Y),DNA & Cell Cycle,0.4089,0.1194
CCT6A,Concordant Up,Tr.(Y),DNA & Cell Cycle,0.3903,0.1662
S100A4,Concordant Up,Tr.(Y),Development,1.0177,0.4379
F13A1,Concordant Up,Tr.(Y),ECM & Adhesion,0.7349,0.1245
ANXA1,Concordant Up,Tr.(Y),Immune & Inflammation,0.578,0.2384
AKR1C3,Concordant Up,Tr.(Y),Lipid Metabolism,0.6502,0.0679
CBR1,Concordant Up,Tr.(Y),Lipid Metabolism,0.4026,0.2352
USP9X,Concordant Up,Tr.(Y),Mitochondria & Energy,0.4157,0.1189
MYBPH,Concordant Up,Both,Muscle & Contractile,1.1065,1.7188
JPT2,Concordant Up,Tr.(Y),Other,0.9004,0.4137
ABCE1,Concordant Up,Tr.(Y),Other,0.4522,0.1932
CALU,Concordant Up,Tr.(Y),Other,0.3905,0.307
SERPINH1,Concordant Up,Tr.(Y),Protein Homeostasis,0.9081,0.8145
UCHL1,Concordant Up,Tr.(Y),Protein Homeostasis,0.8561,0.1235
HSPB6,Concordant Up,Tr.(Y),Protein Homeostasis,0.6235,0.2771
PSME2,Concordant Up,Tr.(Y),Protein Homeostasis,0.6113,0.285
HSPB1,Concordant Up,Tr.(Y),Protein Homeostasis,0.5389,0.3767
PSME1,Concordant Up,Tr.(Y),Protein Homeostasis,0.3737,0.1158
CAPN2,Concordant Up,Tr.(Y),Protein Homeostasis,0.3495,0.2028
FARSB,Concordant Up,Tr.(Y),Translation & Ribosome,0.6082,0.123
VARS1,Concordant Up,Tr.(Y),Translation & Ribosome,0.5263,0.1541
RPS11,Concordant Up,Tr.(Y),Translation & Ribosome,0.4939,0.1917
TARS1,Concordant Up,Tr.(Y),Translation & Ribosome,0.4432,0.1533
FARSA,Concordant Up,Tr.(Y),Translation & Ribosome,0.4425,0.0445
S100A6,Concordant Up,Tr.(Y),Transport,1.1756,0.5323
S100A13,Concordant Up,Both,Transport,1.1136,0.661
CAMK2D,Concordant Up,Tr.(O),Transport,0.4068,0.5428
ARHGAP1,Concordant Up,Tr.(O),Transport,0.3879,0.472
ALDH6A1,Concordant Down,Tr.(O),Amino Acid & Cofactor Metabolism,-0.2034,-0.522
ASS1,Concordant Down,Tr.(O),Amino Acid & Cofactor Metabolism,-0.2453,-0.6467
SLC25A42,Concordant Down,Tr.(O),Amino Acid & Cofactor Metabolism,-0.3609,-0.7578
MGST3,Concordant Down,Tr.(Y),Amino Acid & Cofactor Metabolism,-0.4066,-0.1507
MT-CO3,Concordant Down,Tr.(Y),Carbohydrate & Energy Metabolism,-0.5272,-0.0731
COX7B,Concordant Down,Tr.(Y),Carbohydrate & Energy Metabolism,-0.5738,-0.0305
SORBS1,Concordant Down,Tr.(Y),Carbohydrate & Energy Metabolism,-0.8112,-0.301
FBN1,Concordant Down,Tr.(Y),Carbohydrate & Energy Metabolism,-0.8325,-0.3809
COL1A2,Concordant Down,Tr.(Y),Circulatory System,-1.2319,-0.0832
SYNE2,Concordant Down,Tr.(O),Cytoskeleton & Motility,-0.3883,-0.4309
IFT81,Concordant Down,Tr.(Y),Cytoskeleton & Motility,-1.462,-0.0875
NFIC,Concordant Down,Tr.(Y),DNA & Cell Cycle,-0.5053,-0.1295
H1-0,Concordant Down,Tr.(Y),DNA & Cell Cycle,-0.6721,-0.2361
MAOB,Concordant Down,Tr.(Y),Development,-0.4066,-0.1827
MYLK,Concordant Down,Both,ECM & Adhesion,-0.7641,-0.7395
COL4A2,Concordant Down,Tr.(Y),ECM & Adhesion,-0.9781,-0.0439
COL4A1,Concordant Down,Tr.(Y),ECM & Adhesion,-1.3958,-0.0792
ANXA3,Concordant Down,Tr.(O),Immune & Inflammation,-0.3847,-0.5738
GNAS,Concordant Down,Tr.(Y),Immune & Inflammation,-0.4814,-0.3098
CD81,Concordant Down,Tr.(Y),Immune & Inflammation,-0.8201,-0.1571
PCYT2,Concordant Down,Tr.(O),Lipid Metabolism,-0.0874,-0.4806
ADH1B,Concordant Down,Both,Lipid Metabolism,-0.8147,-0.6936
MT-ND4,Concordant Down,Tr.(Y),Mitochondria & Energy,-0.5106,-0.2177
NDUFA3,Concordant Down,Tr.(Y),Mitochondria & Energy,-0.6008,-0.0924
MYH3,Concordant Down,Tr.(Y),Muscle & Contractile,-1.2178,-0.4072
MAOA,Concordant Down,Tr.(Y),Other,-0.504,-0.194
PEBP4,Concordant Down,Tr.(Y),Other,-0.6083,-0.4417
ART3,Concordant Down,Tr.(Y),Other,-0.7697,-0.4314
FAM185A,Concordant Down,Tr.(Y),Other,-0.8721,-0.3234
MSRB3,Concordant Down,Tr.(Y),Other,-1.2052,-0.014
CCDC137,Concordant Down,Tr.(Y),Other,-1.6338,-0.2158
WBP2,Concordant Down,Tr.(Y),Transcription & Chromatin,-0.3825,-0.0348
SNU13,Concordant Down,Tr.(Y),Transcription & Chromatin,-0.5095,-0.1861
SYNGR2,Concordant Down,Tr.(O),Transport,-0.2705,-0.4793
UBE2I,Concordant Down,Tr.(Y),Transport,-0.4999,-0.2247
MICU2,Concordant Down,Tr.(Y),Transport,-0.5504,-0.0835
TOR1AIP1,Concordant Down,Tr.(Y),Transport,-0.6184,-0.2111
SLC20A2,Concordant Down,Tr.(Y),Transport,-1.0433,-0.0394
GPT2,Discordant,Tr.(Y),Amino Acid & Cofactor Metabolism,1.8669,-0.5921
