gene,uniprot_id,set,t_training_young,t_training_old,logFC_Training_Young,logFC_Training_Old,pi_score_Training_Young
CARNS1,A5YM72,ty_up,3.7335446313237792,2.1391450258538023,0.7762059443564908,0.45218153853566534,0.00257723117457818
HSPB6,O14558,ty_up,3.860092634498695,1.6753015745170214,0.6235212342024106,0.27705007668680537,0.00599212463939813
CALU,O43852,ty_up,3.763680671960445,2.889948824859093,0.3904910854521724,0.30697306064274343,0.04588832913901028
GLRX3,O76003,ty_up,4.981444605894191,1.9406560636081047,0.5406449651025653,0.2156339746614897,0.00141070927441386
F13A1,P00488,ty_up,2.7348262532875816,0.6899429235597678,0.7348993160844053,0.12451355283197074,0.03094044581669314
HPRT1,P00492,ty_up,3.484127212470778,4.211610968978651,0.5111410405961081,0.5561969497316426,0.02876320048548934
ANXA1,P04083,ty_up,3.0223261959778247,1.217623429071984,0.5779875863254773,0.23839762724453095,0.03895087702445353
HSPB1,P04792,ty_up,3.564949171135362,2.4336735825347864,0.5389298470756856,0.376663015654124,0.02005021387513449
S100A6,P06703,ty_up,3.7374381346282464,1.707466093314108,1.1755595419200198,0.5322806257442174,1.062291511313968e-4
UCHL1,P09936,ty_up,3.8513441467202822,0.5429118424570099,0.856069503019846,0.12354858331945096,9.107939060654356e-4
EZR,P15311,ty_up,3.4365397640046194,1.0268036667629767,0.6416862494788909,0.19648675425500173,0.01244968283393654
CBR1,P16152,ty_up,4.017857304698449,2.293008750762453,0.4026244736209641,0.2352464782271042,0.02972258362460681
CAPN2,P17655,ty_up,3.9846435664557074,2.258562043823484,0.34946032073154143,0.20279263319011065,0.04916092575115069
MSN,P26038,ty_up,5.391204318228342,2.759464283110818,0.4734259564014991,0.24808631490382993,0.00154451475019126
S100A4,P26447,ty_up,4.639999091616157,1.9502702847135975,1.017706353954921,0.4379365080114077,1.5255824033135705e-5
TARS1,P26639,ty_up,3.455828338596213,1.3808019092692336,0.44322991477174867,0.1532513670957769,0.0493595637095691
VARS1,P26640,ty_up,5.38906401894222,1.5412211455038465,0.5263279611951468,0.15410609495970462,7.525096391285676e-4
ALDH1B1,P30837,ty_up,4.784855778766765,1.6198458314211386,1.2103044408873735,0.40621689420530416,1.0551185890701922e-6
S100A11,P31949,ty_up,3.532397376202561,1.250706753254143,0.5486784531789048,0.19213973444064436,0.01996977857494893
CCT6A,P40227,ty_up,4.655610794255651,1.9364384963123948,0.3902880273057754,0.166197324133865,0.01391092669969452
AKR1C3,P42330,ty_up,3.55133054963856,0.3619811370448253,0.6502354757780431,0.06785428205650135,0.00919586578194443
SERPINH1,P50454,ty_up,2.6597489342309366,1.6924839816902124,0.9080522213170532,0.8145363529689149,0.02070625787221231
ABCE1,P61221,ty_up,3.755921729116511,1.5675255790571236,0.4521721177815507,0.19320289917584432,0.02852731989905422
RPS11,P62280,ty_up,4.98185666089401,1.9175060807997268,0.4939134657426116,0.19167117574542655,0.00252063085355997
DYNLT1,P63172,ty_up,4.636250106485617,2.8876639995936744,0.4338315943664739,0.2536959866891664,0.00936752333383146
PSME1,Q06323,ty_up,4.476954467571836,1.3552844383168163,0.37373481383123774,0.11583054131338244,0.02115772750995782
MYBPH,Q13203,ty_up,2.5970484082811858,3.430723706145804,1.106529554029379,1.718838301443558,0.00758883678464171
DYNC1I2,Q13409,ty_up,4.369235836254144,1.0410980140353745,0.36419026618978023,0.08884361511854166,0.02680046215419207
DYNC1H1,Q14204,ty_up,5.359028836783673,1.5279215790990297,0.4089294621601311,0.11936448506286368,0.00392096600766062
FSCN1,Q16658,ty_up,4.057905610932936,4.0918689615964885,0.7069156688075111,0.6477151572727102,0.00213423371892577
USP9X,Q93008,ty_up,4.375132742656236,1.629892692117904,0.4157075664724701,0.11887634622768316,0.01817809774148177
S100A13,Q99584,ty_up,4.621110715841917,2.679281954050266,1.1135779265197847,0.6610044996170323,5.786981217166938e-6
TUBB6,Q9BUF5,ty_up,3.386027853180374,1.6679381204618915,0.47595451811791634,0.23638247756206,0.04144044475563358
JPT2,Q9H910,ty_up,3.2535601972276216,2.3228699990951496,0.9004042549304074,0.41370900340698746,0.00466372750748472
FARSB,Q9NSD9,ty_up,4.745465740414989,0.937464908130104,0.6082144568029122,0.12301120511875752,0.00104962179547139
HSPB7,Q9UBY9,ty_up,3.437330500533357,1.4636527967946418,0.4607569706810608,0.2008632320011401,0.04249006364257558
PSME2,Q9UL46,ty_up,3.907891423287688,2.025855471107591,0.6112620579135921,0.2850390231497535,0.00639334703824239
FARSA,Q9Y285,ty_up,3.524165441089788,0.3513152838719748,0.4425448375868548,0.04447935215495136,0.04287932571524121
DYNC1LI1,Q9Y6G9,ty_up,4.5412434734612255,0.7903702502911281,0.6378581742123259,0.10308550310241672,0.00132813918948614
MGST3,O14880,ty_down,-3.646236937320608,-1.3199014020049098,-0.40663823957073575,-0.15070115380370197,0.04712626464787505
NDUFA3,O95167,ty_down,-3.856779691664891,-0.5791251368158605,-0.6008233643418315,-0.09236472763583949,0.00726659536555468
ADH1B,P00325,ty_down,-3.205647324722268,-2.707127867733235,-0.8146531056277873,-0.6936272782708954,0.00669950361204997
MT-CO3,P00414,ty_down,-3.1900357062681173,-0.47110487458152733,-0.5271888330990677,-0.0730972223111479,0.04077179014914103
COL4A1,P02462,ty_down,-3.841504859271895,-0.23126203402702605,-1.395753316530662,-0.07924528349344229,1.2638750776299675e-5
MT-ND4,P03905,ty_down,-3.1539697189260836,-1.3136996928159737,-0.5106112548605743,-0.21774125372106568,0.04675571040555798
H1-0,P07305,ty_down,-4.268825655995988,-1.464895019396347,-0.6720769623454039,-0.23611786633372844,0.00158949046884563
COL1A2,P08123,ty_down,-2.685780814113967,-0.18301160933037167,-1.2319160509389704,-0.08319689894053184,0.00316086920750498
COL4A2,P08572,ty_down,-3.2446760773068,-0.1446362011646171,-0.9780646388264564,-0.04386190303766213,0.00219067758434536
NFIC,P08651,ty_down,-3.2299727337970623,-0.9431821594317984,-0.505287898002841,-0.12953542877342983,0.04485647961963115
MYH3,P11055,ty_down,-2.671906430822134,-0.8860715453883052,-1.2178380757618683,-0.407190382025334,0.00351463833624254
MAOA,P21397,ty_down,-3.789247395892861,-1.4250033379059144,-0.5039533603502981,-0.1940282752457172,0.01797258262865831
COX7B,P24311,ty_down,-3.090947520881487,-0.1630941068479387,-0.5737570757297483,-0.03045712773361941,0.03571533751228336
MAOB,P27338,ty_down,-3.9123733855388663,-1.717502114446311,-0.40660639988891134,-0.1827439262552204,0.0331286672418969
FBN1,P35555,ty_down,-3.3969267262354603,-1.590304266331961,-0.8325097288349674,-0.38085978577822743,0.00376547712611364
SNU13,P55769,ty_down,-4.262970371370814,-1.6541130681955774,-0.5094924148674238,-0.18606578653547243,0.00799694562529694
CD81,P60033,ty_down,-3.348328024747434,-0.8083249260464629,-0.8201487388221622,-0.1571205798236157,0.00548192661774313
UBE2I,P63279,ty_down,-3.4589286961176975,-1.5187668086840684,-0.49987970727312,-0.22471225185740096,0.03142467008153531
SLC20A2,Q08357,ty_down,-2.402618408232746,-0.09652262711646094,-1.0432839692102505,-0.03937149201185264,0.01660026916679799
ART3,Q13508,ty_down,-4.182499541754402,-2.3702650771435763,-0.7696674063994777,-0.4314024559487919,8.039198177955975e-4
MYLK,Q15746,ty_down,-3.488172200341792,-3.4542904105531416,-0.7641425647251339,-0.7394640726594659,0.00480638078840942
TOR1AIP1,Q5JTV8,ty_down,-2.947523931401659,-1.3888761854388172,-0.618379203586187,-0.21108629395361336,0.04045481138184835
GNAS,Q5JWF2,ty_down,-4.643100622642969,-2.918017583230007,-0.4814241941984107,-0.30975582212989394,0.00523848038285581
CCDC137,Q6PK04,ty_down,-3.978825823138532,-0.4972552762898983,-1.6337606444271875,-0.215820109973226,8.257302846861408e-7
MSRB3,Q8IXL7,ty_down,-2.7397871253403663,-0.08380789088684401,-1.2052154780928035,-0.01396694165072176,0.00424129536733469
