gene,pathway_label,pathway_padj,pathway_db,primary_contrast,display_logFC
COL1A1,ECM Degradation,2.8571797808013175e-4,Reactome,Training_Young,-1.0774363328290768
COL1A2,ECM Degradation,2.8571797808013175e-4,Reactome,Training_Young,-1.2319160509389704
COL4A1,ECM Degradation,2.8571797808013175e-4,Reactome,Training_Young,-1.395753316530662
COL4A2,ECM Degradation,2.8571797808013175e-4,Reactome,Training_Young,-0.9780646388264564
COL6A1,ECM Degradation,2.8571797808013175e-4,Reactome,Training_Young,-0.7334961062141865
FBN1,ECM Degradation,2.8571797808013175e-4,Reactome,Training_Young,-0.8325097288349674
LAMC1,ECM Degradation,2.8571797808013175e-4,Reactome,Training_Young,-0.8147277166809239
NID1,ECM Degradation,2.8571797808013175e-4,Reactome,Training_Young,-0.7481577161529884
COL1A1,Integrin Interactions,0.0019945002208412387,Reactome,Training_Young,-1.0774363328290768
COL1A2,Integrin Interactions,0.0019945002208412387,Reactome,Training_Young,-1.2319160509389704
COL4A1,Integrin Interactions,0.0019945002208412387,Reactome,Training_Young,-1.395753316530662
COL4A2,Integrin Interactions,0.0019945002208412387,Reactome,Training_Young,-0.9780646388264564
COL6A1,Integrin Interactions,0.0019945002208412387,Reactome,Training_Young,-0.7334961062141865
FBN1,Integrin Interactions,0.0019945002208412387,Reactome,Training_Young,-0.8325097288349674
COL1A1,Scavenger Receptor Uptake,0.002798503078635572,Reactome,Training_Young,-1.0774363328290768
COL1A2,Scavenger Receptor Uptake,0.002798503078635572,Reactome,Training_Young,-1.2319160509389704
COL4A1,Scavenger Receptor Uptake,0.002798503078635572,Reactome,Training_Young,-1.395753316530662
COL4A2,Scavenger Receptor Uptake,0.002798503078635572,Reactome,Training_Young,-0.9780646388264564
FTH1,Scavenger Receptor Uptake,0.002798503078635572,Reactome,Training_Young,-0.6745695807175416
COL1A1,Collagen Biosynthesis,0.002798503078635572,Reactome,Training_Young,-1.0774363328290768
COL1A2,Collagen Biosynthesis,0.002798503078635572,Reactome,Training_Young,-1.2319160509389704
COL4A1,Collagen Biosynthesis,0.002798503078635572,Reactome,Training_Young,-1.395753316530662
COL4A2,Collagen Biosynthesis,0.002798503078635572,Reactome,Training_Young,-0.9780646388264564
COL6A1,Collagen Biosynthesis,0.002798503078635572,Reactome,Training_Young,-0.7334961062141865
DYNC1H1,Rab7 MT Transport,0.003497017859803376,KEGG,Training_Young,0.4089294621601311
DYNC1I2,Rab7 MT Transport,0.003497017859803376,KEGG,Training_Young,0.36419026618978023
DYNC1LI1,Rab7 MT Transport,0.003497017859803376,KEGG,Training_Young,0.6378581742123259
DYNLT1,Rab7 MT Transport,0.003497017859803376,KEGG,Training_Young,0.4338315943664739
TUBB6,Rab7 MT Transport,0.003497017859803376,KEGG,Training_Young,0.47595451811791634
COL1A1,EMT,0.013670777488151462,Hallmark,Training_Young,-1.0774363328290768
COL1A2,EMT,0.013670777488151462,Hallmark,Training_Young,-1.2319160509389704
COL4A1,EMT,0.013670777488151462,Hallmark,Training_Young,-1.395753316530662
COL4A2,EMT,0.013670777488151462,Hallmark,Training_Young,-0.9780646388264564
FBN1,EMT,0.013670777488151462,Hallmark,Training_Young,-0.8325097288349674
LAMC1,EMT,0.013670777488151462,Hallmark,Training_Young,-0.8147277166809239
MYLK,EMT,0.013670777488151462,Hallmark,Training_Young,-0.7641425647251339
COL1A1,Non Integrin Membrane Ecm ..,0.03357388920554856,Reactome,Training_Young,-1.0774363328290768
COL1A2,Non Integrin Membrane Ecm ..,0.03357388920554856,Reactome,Training_Young,-1.2319160509389704
COL4A1,Non Integrin Membrane Ecm ..,0.03357388920554856,Reactome,Training_Young,-1.395753316530662
COL4A2,Non Integrin Membrane Ecm ..,0.03357388920554856,Reactome,Training_Young,-0.9780646388264564
LAMC1,Non Integrin Membrane Ecm ..,0.03357388920554856,Reactome,Training_Young,-0.8147277166809239
