gene,uniprot_id,set,t_training_young,t_training_old,logFC_Training_Young,logFC_Training_Old,pi_score_Training_Young
CARNS1,A5YM72,ty_up,3.729752303060034,2.1418334097773233,0.7758931287507416,0.4530052054938096,0.00260902127134882
HSPB6,O14558,ty_up,3.830188030379135,1.6942962832799966,0.6189676242669329,0.28030178826998764,0.00661343187361677
CALU,O43852,ty_up,3.7562508845586966,2.895253923006678,0.3893850993608261,0.3072557840101666,0.04673930244848735
GLRX3,O76003,ty_up,4.987532938658366,1.9439969939735735,0.541305722096741,0.2159937088549242,0.00138367127740574
F13A1,P00488,ty_up,2.739531606254818,0.6927001415179458,0.7356375671431863,0.12492414688752972,0.03056417161929325
HPRT1,P00492,ty_up,3.4900647171541546,4.216826280171444,0.5117589520269981,0.5566109681567539,0.02838289880373217
ANXA1,P04083,ty_up,3.0189481986286695,1.2199717843377371,0.5766872774570047,0.23857403029534652,0.03946344061941476
HSPB1,P04792,ty_up,3.5061246404775033,2.553889665423892,0.5239771006845189,0.39072910172425424,0.0246287731635338
S100A6,P06703,ty_up,3.7336523366314744,1.70616342570614,1.174026958300292,0.5317057415396924,1.0913616619004247e-4
UCHL1,P09936,ty_up,3.848134228114116,0.5435746229077252,0.8543381143073745,0.12354563739888393,9.326923815112996e-4
EZR,P15311,ty_up,3.4359644047476583,1.0300719765931317,0.6413609981724164,0.1970344042085621,0.01249552223447699
CBR1,P16152,ty_up,4.003414981084439,2.296133265513423,0.4004464022275869,0.23512540051097375,0.0308970486623869
MSN,P26038,ty_up,5.358285073643575,2.7565645933580045,0.47053961616698814,0.24781479085288183,0.00170518683780245
S100A4,P26447,ty_up,4.638502754507511,1.954145266869332,1.0149570344038246,0.4377391152815022,1.5825330718344283e-5
TARS1,P26639,ty_up,3.459809166252051,1.3821101630916146,0.4434563077742517,0.1532953546694813,0.0490394322791539
VARS1,P26640,ty_up,5.379341694304535,1.5440739934441716,0.5249575602913836,0.1542594729620319,7.824819891632188e-4
ALDH1B1,P30837,ty_up,4.778387982472236,1.619789921629275,1.208789770398969,0.406222748260749,1.1059757087683282e-6
S100A11,P31949,ty_up,3.537577676612993,1.2533598824457846,0.5494234397314024,0.19251090364488024,0.01969377792140248
CCT6A,P40227,ty_up,4.643136685276802,1.936500941680067,0.38784219759650895,0.165596050468924,0.01454600963248271
AKR1C3,P42330,ty_up,3.5533743821653547,0.3645278612398341,0.6494446040758781,0.06820568029070628,0.00921293121859999
SERPINH1,P50454,ty_up,2.654213454020979,1.6971147434831488,0.906956711187732,0.8176000876913108,0.02106277401534994
ABCE1,P61221,ty_up,3.756586392767028,1.568368079625811,0.45284020021817994,0.19354780885569411,0.02835803892332539
RPS11,P62280,ty_up,4.979222984527092,1.9242908389820528,0.4915746411310451,0.19153221892192815,0.0026074229975637
DYNLT1,P63172,ty_up,4.648663664540748,2.8982000039303073,0.43387041328454856,0.2539481844189524,0.00919390119807623
PSME1,Q06323,ty_up,4.473243647279281,1.361440581280819,0.37262535355089454,0.11610133423787872,0.02151487304388104
MYBPH,Q13203,ty_up,2.5951814019029182,3.4343843905601146,1.1058528300063415,1.7206693488542122,0.00765418761506893
DYNC1I2,Q13409,ty_up,4.360355402200957,1.04399762471232,0.364317826091078,0.08929902457076011,0.02708086460494505
DYNC1H1,Q14204,ty_up,5.349669380365674,1.5331228071125456,0.4080423971521441,0.1197137302947482,0.00402918296623538
FSCN1,Q16658,ty_up,4.065751539671324,4.097896005299984,0.7074457943290895,0.6478874735076943,0.0020880546185176
USP9X,Q93008,ty_up,4.38504563337783,1.6371276130150707,0.416044602607247,0.11923367967222376,0.01788768438170515
S100A13,Q99584,ty_up,4.616889375899782,2.68134074140449,1.1115144797130618,0.6608552351571433,6.026114199105721e-6
TUBB6,Q9BUF5,ty_up,3.3894848051843205,1.6705681523260751,0.47638154708952385,0.23671657557564885,0.04112324985336922
JPT2,Q9H910,ty_up,3.2531321847808368,2.3217557405727396,0.9003952488943003,0.4135504934421519,0.00467346384100002
FARSB,Q9NSD9,ty_up,4.718695413229629,0.934527836433854,0.6057932394210432,0.12282404360734488,0.00114474015287752
HSPB7,Q9UBY9,ty_up,3.419100275742226,1.4766572195379446,0.4576562538686133,0.2023466077695666,0.04454641910940248
PSME2,Q9UL46,ty_up,3.9129814401529224,2.0304792527465887,0.611678457687578,0.2855033892919572,0.00631089480606011
FARSA,Q9Y285,ty_up,3.5251420007041774,0.35383890502354076,0.44290920436510106,0.04482155347349348,0.04272023181938251
DYNC1LI1,Q9Y6G9,ty_up,4.544091696897176,0.7921282642577853,0.6381221571508213,0.10328910666608591,0.00131740344811149
MGST3,O14880,ty_down,-3.651343474407018,-1.3168862045258067,-0.4093511291089307,-0.1511402806605986,0.04587835025344689
NDUFA3,O95167,ty_down,-3.865641034900424,-0.5796524165554982,-0.6028401756103641,-0.0925415964540086,0.00702561714333368
ADH1B,P00325,ty_down,-3.2143803705451583,-2.709449412012892,-0.8157999845156603,-0.6932832455569589,0.00651516042901655
MT-CO3,P00414,ty_down,-3.188323417960671,-0.4716125238232103,-0.527835110523629,-0.07330035623754583,0.04072894907191277
COL4A1,P02462,ty_down,-3.8459024932149943,-0.2303717744815298,-1.3967771185262343,-0.0789070708057622,1.2301475494650831e-5
MT-ND4,P03905,ty_down,-3.158581512876672,-1.311144103070206,-0.5115789586545567,-0.21740007128015293,0.04617110511027726
H1-0,P07305,ty_down,-4.290241949528052,-1.4686862817035218,-0.6743053923699058,-0.23631569024713883,0.00148090873540649
COL1A2,P08123,ty_down,-2.687285888271352,-0.18232549432272288,-1.2317481630841307,-0.0828251020723414,0.0031486022995226
COL4A2,P08572,ty_down,-3.248412771706138,-0.14353818408133803,-0.9790583141666538,-0.04352014968452877,0.00215423984759989
NFIC,P08651,ty_down,-3.228454145920073,-0.9393911568711772,-0.5048975541442253,-0.12897365270586292,0.04507631424986395
MYH3,P11055,ty_down,-2.678673635310849,-0.8887302494881706,-1.2199419834371952,-0.4080680280513569,0.00340565584171347
MAOA,P21397,ty_down,-3.8031979474754953,-1.4258344833257068,-0.5057275895668809,-0.19409998521827632,0.01732197214200794
COX7B,P24311,ty_down,-3.0925023689130007,-0.16075071694914,-0.5736247369736525,-0.02999551559594948,0.03565715634347063
MAOB,P27338,ty_down,-3.93876383388752,-1.720653968587419,-0.408929716819987,-0.1828819915299036,0.03135453697294428
FBN1,P35555,ty_down,-3.402932087326673,-1.5887467691832735,-0.8338399651608341,-0.38041720590778993,0.00367692600528655
SNU13,P55769,ty_down,-4.258682102063912,-1.6513477854573495,-0.5089473593825318,-0.18573650271947884,0.00810248752849932
CD81,P60033,ty_down,-3.3515374805515004,-0.8057187623030261,-0.8205180488924704,-0.15652902881522124,0.00543245983618049
UBE2I,P63279,ty_down,-3.457826031440102,-1.5145905688213313,-0.5000988570744767,-0.22425216390238137,0.03143829540585484
SLC20A2,Q08357,ty_down,-2.405657994600375,-0.09538814072160325,-1.0441120049044097,-0.03888995055170596,0.01642029711196498
ART3,Q13508,ty_down,-4.186600041901606,-2.3684327856826424,-0.7702572832742511,-0.430954608589154,7.915610436075891e-4
MYLK,Q15746,ty_down,-3.500762300591246,-3.456552826892179,-0.7665409445645537,-0.7395916154743034,0.00458915792565726
TOR1AIP1,Q5JTV8,ty_down,-2.941918867537876,-1.3839797060454733,-0.6166759752723578,-0.2101512065870459,0.04120047350177321
GNAS,Q5JWF2,ty_down,-4.6421506812193964,-2.916918141176387,-0.48094787260797034,-0.3093796102043349,0.00527752051244101
CCDC137,Q6PK04,ty_down,-3.983450004305224,-0.496910423230488,-1.6348722748781803,-0.21554849477757543,7.986375759447328e-7
MSRB3,Q8IXL7,ty_down,-2.7409300548503204,-0.08204686737948279,-1.2055197111918474,-0.01367011163656073,0.0042266238813133
MICU2,Q8IYU8,ty_down,-3.217458951321766,-0.6808650791220726,-0.550472007872493,-0.0831221159940938,0.03636781773943671
FAM185A,Q8N0U4,ty_down,-2.4888091766876355,-1.6582143773468556,-0.8718770541208247,-0.3236173951863872,0.03042439533116665
IFT81,Q8WYA0,ty_down,-5.129297804759325,-0.22416425679571775,-1.4638058826899505,-0.08783095555542886,2.019454529837058e-7
WBP2,Q969T9,ty_down,-4.087368862352576,-0.40030905528769806,-0.38204124133635986,-0.03443403751137453,0.03376358616289473
PEBP4,Q96S96,ty_down,-2.909333573776481,-2.4629180744335772,-0.6076544522266403,-0.44106901993634295,0.04287324392703862
SORBS1,Q9BX66,ty_down,-2.3887422233861435,-1.4280565474939246,-0.8092126042151264,-0.30007629557491455,0.04870896950535688
