pathway,pathway_label,database,NES_Training_Young,NES_Training_Old,padj_Training_Young,padj_Training_Old,significance,set_size,independent_in_TY,independent_in_TO
REACTOME_CILIUM_ASSEMBLY,Cilium Assembly,Reactome,2.245,2.259,8.591e-5,1.954e-4,Sig Both,35,TRUE,TRUE
KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT,Reference Rab7 Regulated Microtubule Minus End Directed Transport,KEGG,2.419,2.029,8.569e-6,0.01107,Sig Both,24,TRUE,FALSE
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,Eukaryotic Translation Elongation,Reactome,1.625,2.819,0.02264,7.575e-13,Sig Both,78,FALSE,TRUE
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,Non Integrin Membrane Ecm Interactions,Reactome,-2.381,-2.011,1.178e-5,0.01107,Sig Both,28,TRUE,FALSE
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,Mhc Class Ii Antigen Presentation,Reactome,2.418,1.898,1.653e-6,0.01107,Sig Both,44,TRUE,TRUE
REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC,Formation Of The Dystrophin Glycoprotein Complex Dgc,Reactome,-2.117,-2.017,9.39e-4,0.014880000000000001,Sig Both,18,FALSE,TRUE
REACTOME_TRANSLATION,Translation,Reactome,1.707,2.402,8.825e-4,8.938e-11,Sig Both,177,TRUE,TRUE
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,Cooperation Of Prefoldin And Tric Cct In Actin And Tubulin Folding,Reactome,2.196,1.876,3.659e-4,0.03436,Sig Both,21,TRUE,TRUE
GOBP_PROTEIN_FOLDING,Protein Folding,GO:BP,2.345,1.723,8.329e-8,0.0157,Sig Both,92,TRUE,FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Hallmark,1.904,2.018,0.008755,0.004837,Sig Both,32,TRUE,TRUE
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,Chaperone Mediated Protein Folding,GO:BP,2.058,1.85,4.931e-4,0.0255,Sig Both,40,FALSE,TRUE
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,Activation Of Nmda Receptors And Postsynaptic Events,Reactome,1.944,1.935,0.007808,0.02359,Sig Both,24,TRUE,TRUE
REACTOME_RECYCLING_PATHWAY_OF_L1,Recycling Pathway Of L1,Reactome,1.996,1.866,0.006345,0.04629,Sig Both,18,TRUE,FALSE
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,1.874,1.964,0.01137,0.0104,Sig Both,35,TRUE,TRUE
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,Hsf1 Dependent Transactivation,Reactome,1.874,1.838,0.01715,0.0429,Sig Both,17,TRUE,FALSE
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,Cellular Response To Heat Stress,Reactome,1.703,1.833,0.04183,0.03563,Sig Both,36,FALSE,TRUE
HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,1.736,1.691,0.001597,0.01107,Sig Both,128,TRUE,TRUE
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,Sars Cov 2 Modulates Host Translation Machinery,Reactome,1.522,2.703,0.1309,1.482e-9,Sig Old only,32,FALSE,TRUE
GOBP_CYTOPLASMIC_TRANSLATION,Cytoplasmic Translation,GO:BP,1.406,2.612,0.08884,4.671e-12,Sig Old only,117,FALSE,TRUE
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,Membraneless Organelle Assembly,GO:BP,1.457,2.058,0.0609,1.765e-5,Sig Old only,114,FALSE,TRUE
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,Establishment Or Maintenance Of Cell Polarity,GO:BP,1.56,1.811,0.08805,0.02749,Sig Old only,43,FALSE,TRUE
GOBP_ACTIN_FILAMENT_ORGANIZATION,Actin Filament Organization,GO:BP,1.447,1.766,0.07925,0.01107,Sig Old only,97,FALSE,TRUE
GOBP_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Protein Localization To Plasma Membrane,GO:BP,1.415,1.729,0.14,0.03563,Sig Old only,68,FALSE,TRUE
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,Modified Amino Acid Metabolic Process,GO:BP,-1.216,-1.904,0.3976,0.01196,Sig Old only,52,FALSE,TRUE
GOBP_PROTEIN_POLYUBIQUITINATION,Protein Polyubiquitination,GO:BP,-1.158,-1.908,0.5047,0.01836,Sig Old only,35,FALSE,TRUE
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,-1.338,-1.713,0.1499,0.01677,Sig Old only,108,FALSE,TRUE
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,Organic Acid Catabolic Process,GO:BP,-1.017,-1.968,0.6899,7.517e-4,Sig Old only,86,FALSE,TRUE
GOBP_GLYCEROLIPID_METABOLIC_PROCESS,Glycerolipid Metabolic Process,GO:BP,-1.062,-1.909,0.6327,0.01881,Sig Old only,41,FALSE,TRUE
REACTOME_BIOLOGICAL_OXIDATIONS,Biological Oxidations,Reactome,-1.091,-1.823,0.5977,0.02739,Sig Old only,48,FALSE,TRUE
GOBP_SYNAPSE_ASSEMBLY,Synapse Assembly,GO:BP,0.941,-1.934,0.7759,0.01918,Sig Old only,19,FALSE,TRUE
GOBP_LIPID_OXIDATION,Lipid Oxidation,GO:BP,-0.946,-1.905,0.7779,0.01699,Sig Old only,37,FALSE,TRUE
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,Sulfur Compound Metabolic Process,GO:BP,-0.884,-1.882,0.8588,0.004268,Sig Old only,79,FALSE,TRUE
GOBP_KETONE_METABOLIC_PROCESS,Ketone Metabolic Process,GO:BP,-0.923,-1.771,0.805,0.03358,Sig Old only,51,FALSE,TRUE
GOBP_RESPONSE_TO_CARBOHYDRATE,Response To Carbohydrate,GO:BP,-0.865,-1.791,0.8577,0.03268,Sig Old only,45,FALSE,TRUE
GOBP_ORGAN_GROWTH,Organ Growth,GO:BP,0.682,-1.956,0.9725,0.03432,Sig Old only,15,FALSE,TRUE
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,Regulation Of Cellular Response To Insulin Stimulus,GO:BP,-0.737,-1.9,0.9524,0.04642,Sig Old only,20,FALSE,TRUE
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,Metabolism Of Vitamins And Cofactors,Reactome,0.74,-1.881,0.9738,0.01918,Sig Old only,49,FALSE,TRUE
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS,Response To Xenobiotic Stimulus,GO:BP,-0.859,-1.698,0.8927,0.04642,Sig Old only,66,FALSE,TRUE
GOBP_LIPID_CATABOLIC_PROCESS,Lipid Catabolic Process,GO:BP,-0.499,-1.865,0.9994,0.01537,Sig Old only,59,FALSE,TRUE
REACTOME_MITOTIC_G2_G2_M_PHASES,Mitotic G2 G2 M Phases,Reactome,2.644,1.667,5.736e-10,0.06089,Sig Young only,64,TRUE,FALSE
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,ATP Synthesis Coupled Electron Transport,GO:BP,-3.243,0.89,7.645e-21,0.8746,Sig Young only,76,TRUE,FALSE
GOBP_CELL_RECOGNITION,Cell Recognition,GO:BP,2.152,1.863,6.712e-4,0.06019,Sig Young only,22,TRUE,FALSE
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,2.447,1.542,5.629e-7,0.1618,Sig Young only,49,TRUE,FALSE
REACTOME_COMPLEX_I_BIOGENESIS,Complex I Biogenesis,Reactome,-3.057,0.921,7.993e-16,0.8287,Sig Young only,49,TRUE,FALSE
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,Regulation Of Telomere Maintenance Via Telomere Lengthening,GO:BP,2.092,1.875,0.001199,0.06089,Sig Young only,15,TRUE,FALSE
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,Reference Electron Transfer In Complex I,KEGG,-3.23,-0.715,2.3210000000000002e-20,0.9793,Sig Young only,41,TRUE,FALSE
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,Respiratory Electron Transport,Reactome,-3.032,0.907,2.525e-19,0.87,Sig Young only,104,TRUE,FALSE
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,Positive Regulation Of Protein Localization To Nucleus,GO:BP,2.182,1.734,3.981e-4,0.1226,Sig Young only,24,TRUE,FALSE
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,2.37,1.45,8.569e-6,0.2817,Sig Young only,34,TRUE,FALSE
GOBP_PROTEIN_REFOLDING,Protein Refolding,GO:BP,2.055,1.734,0.00319,0.1153,Sig Young only,18,TRUE,FALSE
REACTOME_ECM_PROTEOGLYCANS,Ecm Proteoglycans,Reactome,-2.42,-1.362,8.569e-6,0.3968,Sig Young only,21,TRUE,FALSE
