pathway,quadrant,n_seg,xmin,xmax
Amino Acid & Cofactor Metabolism,Reversed Up,16,3.3,6.5
Amino Acid & Cofactor Metabolism,Non-reversed,4,6.5,7.3
Amino Acid & Cofactor Metabolism,Reversed Down,3,7.3,7.9
Carbohydrate & Energy Metabolism,Non-reversed,6,3.3,4.5
Carbohydrate & Energy Metabolism,Reversed Up,4,4.5,5.3
Carbohydrate & Energy Metabolism,Reversed Down,4,5.3,6.1
Cytoskeleton & Motility,Reversed Down,9,3.3,5.1
Cytoskeleton & Motility,Non-reversed,4,5.1,5.9
Cytoskeleton & Motility,Reversed Up,3,5.9,6.5
DNA & Cell Cycle,Reversed Down,6,3.3,4.5
DNA & Cell Cycle,Reversed Up,4,4.5,5.3
DNA & Cell Cycle,Non-reversed,2,5.3,5.7
Development,Non-reversed,3,3.3,3.9
Development,Reversed Down,2,3.9,4.3
Development,Reversed Up,1,4.3,4.5
ECM & Adhesion,Reversed Down,10,3.3,5.3
ECM & Adhesion,Non-reversed,5,5.3,6.3
ECM & Adhesion,Reversed Up,2,6.3,6.7
Immune & Inflammation,Reversed Up,4,3.3,4.1
Immune & Inflammation,Reversed Down,2,4.1,4.5
Immune & Inflammation,Non-reversed,2,4.5,4.9
Lipid Metabolism,Reversed Up,10,3.3,5.3
Lipid Metabolism,Non-reversed,1,5.3,5.5
Mitochondria & Energy,Reversed Down,2,3.3,3.6999999999999997
Mitochondria & Energy,Reversed Up,1,3.6999999999999997,3.9
Muscle & Contractile,Reversed Down,6,3.3,4.5
Muscle & Contractile,Non-reversed,4,4.5,5.3
Protein Homeostasis,Reversed Up,10,3.3,5.3
Protein Homeostasis,Reversed Down,4,5.3,6.1
Protein Homeostasis,Non-reversed,4,6.1,6.9
Transcription & Chromatin,Reversed Down,8,3.3,4.9
Transcription & Chromatin,Non-reversed,3,4.9,5.5
Transcription & Chromatin,Reversed Up,1,5.5,5.7
Translation & Ribosome,Reversed Down,13,3.3,5.9
Translation & Ribosome,Non-reversed,4,5.9,6.7
Transport,Reversed Down,14,3.3,6.1
Transport,Reversed Up,5,6.1,7.1
Transport,Non-reversed,5,7.1,8.100000000000001
