gene,pathway,go_slim_id,pattern,logFC_Aging,logFC_Training_Old
ALDH4A1,Amino Acid & Cofactor Metabolism,GO:0006520,Aging Up,0.4169,-0.0536
CP,Amino Acid & Cofactor Metabolism,GO:0098754,Aging Up,0.637,-0.0287
ECHS1,Amino Acid & Cofactor Metabolism,GO:0006520,Aging Up,0.4649,0.0093
ETFB,Amino Acid & Cofactor Metabolism,GO:0006520,Aging Up,0.542,-0.0438
PCCB,Amino Acid & Cofactor Metabolism,GO:0006520,Aging Up,0.5007,0.0236
ACADM,Carbohydrate & Energy Metabolism,GO:0005975,Aging Up,0.6002,0.0958
IDH2,Carbohydrate & Energy Metabolism,GO:0005975,Aging Up,0.3987,0.0163
CAP1,Cytoskeleton & Motility,GO:0007163,Aging Up,0.6111,0.2859
CDC42,DNA & Cell Cycle,GO:0006260,Aging Up,0.4284,-0.0849
DDAH2,Development,GO:0012501,Aging Up,0.4741,0.0044
YWHAZ,ECM & Adhesion,GO:0034330,Aging Up,0.3888,-0.0364
IGHA1,Immune & Inflammation,GO:0098542,Aging Up,0.6528,0.0824
IGHG2,Immune & Inflammation,GO:0098542,Aging Up,0.6581,0.1777
ABHD11,Lipid Metabolism,GO:0006629,Aging Up,0.6834,0.0798
AKR7A2,Lipid Metabolism,GO:0042180,Aging Up,0.4496,-0.0048
CRAT,Lipid Metabolism,GO:0006629,Aging Up,0.4474,-0.0444
LONP1,Mitochondria & Energy,GO:0007005,Aging Up,0.4701,-0.0034
TPM4,Muscle & Contractile,GO:0003012,Aging Up,0.6743,0.201
IBA57,Other,OTHER,Aging Up,0.6595,-0.1037
JPT2,Other,OTHER,Aging Up,0.7354,0.4136
PDP1,Other,OTHER,Aging Up,0.5357,0.1384
TPSB2,Other,OTHER,Aging Up,0.8185,0.1102
CLEC3B,Protein Homeostasis,GO:0051604,Aging Up,0.69,-0.0729
CLU,Protein Homeostasis,GO:0006457,Aging Up,0.626,-0.0913
CTSB,Protein Homeostasis,GO:0030163,Aging Up,0.4778,0.157
HP,Protein Homeostasis,GO:0051604,Aging Up,0.9064,-0.0605
PPIA,Protein Homeostasis,GO:0006457,Aging Up,0.4834,0.0436
NCL,Transcription & Chromatin,GO:0016071,Aging Up,0.4773,0.0189
TGM2,Transcription & Chromatin,GO:0006325,Aging Up,0.6285,0.3831
C3,Transport,GO:0061024,Aging Up,0.6105,-0.0292
DPYSL2,Transport,GO:0016192,Aging Up,0.3847,0.0368
LAMTOR1,Transport,GO:0016192,Aging Up,0.5548,-7e-4
LRPAP1,Transport,GO:0016192,Aging Up,0.6259,-0.0035
MICU1,Transport,GO:0061024,Aging Up,0.7028,-0.0829
MGST2,Amino Acid & Cofactor Metabolism,GO:0098754,Aging Down,-0.6501,0.0953
ABHD6,Carbohydrate & Energy Metabolism,GO:1901135,Aging Down,-0.7128,-0.0363
MYH3,Carbohydrate & Energy Metabolism,GO:1901135,Aging Down,-1.4228,-0.4081
MYOM1,Cytoskeleton & Motility,GO:0007010,Aging Down,-0.7139,-0.0976
PSMD14,DNA & Cell Cycle,GO:0006310,Aging Down,-0.3411,0.0501
CRYBG3,Development,GO:0048856,Aging Down,-1.193,-0.2362
LRMDA,Development,GO:0030154,Aging Down,-0.5985,0.0066
TMX2,Development,GO:0048856,Aging Down,-0.7639,-0.093
CD151,ECM & Adhesion,GO:0042060,Aging Down,-0.6436,-0.0861
MYBPC2,ECM & Adhesion,GO:0007155,Aging Down,-0.9775,0.111
PDLIM5,ECM & Adhesion,GO:0034330,Aging Down,-0.5684,-0.2512
DHRS7B,Immune & Inflammation,GO:0006954,Aging Down,-0.7769,-0.1263
MT-ND4,Mitochondria & Energy,GO:0007005,Aging Down,-0.8255,-0.2174
NDUFA11,Mitochondria & Energy,GO:0007005,Aging Down,-0.7821,-0.222
MYH1,Muscle & Contractile,GO:0003012,Aging Down,-0.979,-0.1137
MYOM2,Muscle & Contractile,GO:0003012,Aging Down,-0.6994,-0.1794
SYNM,Muscle & Contractile,GO:0003012,Aging Down,-1.064,-0.1655
CCDC137,Other,OTHER,Aging Down,-0.9948,-0.2155
PVALB,Other,OTHER,Aging Down,-1.3321,-0.6518
