pathway,quadrant,n_slice,total,frac
Amino Acid & Cofactor Metabolism,Reversed Up,16,23,0.6956521739130435
Amino Acid & Cofactor Metabolism,Reversed Down,3,23,0.13043478260869565
Amino Acid & Cofactor Metabolism,Exacerbated Up,3,23,0.13043478260869565
Amino Acid & Cofactor Metabolism,Exacerbated Down,1,23,0.043478260869565216
Carbohydrate & Energy Metabolism,Reversed Up,4,14,0.2857142857142857
Carbohydrate & Energy Metabolism,Reversed Down,4,14,0.2857142857142857
Carbohydrate & Energy Metabolism,Exacerbated Up,2,14,0.14285714285714285
Carbohydrate & Energy Metabolism,Exacerbated Down,4,14,0.2857142857142857
Cytoskeleton & Motility,Reversed Up,3,16,0.1875
Cytoskeleton & Motility,Reversed Down,9,16,0.5625
Cytoskeleton & Motility,Exacerbated Up,1,16,0.0625
Cytoskeleton & Motility,Exacerbated Down,3,16,0.1875
DNA & Cell Cycle,Reversed Up,4,12,0.3333333333333333
DNA & Cell Cycle,Reversed Down,6,12,0.5
DNA & Cell Cycle,Exacerbated Up,1,12,0.08333333333333333
DNA & Cell Cycle,Exacerbated Down,1,12,0.08333333333333333
Development,Reversed Up,1,6,0.16666666666666666
Development,Reversed Down,2,6,0.3333333333333333
Development,Exacerbated Up,1,6,0.16666666666666666
Development,Exacerbated Down,2,6,0.3333333333333333
ECM & Adhesion,Reversed Up,2,17,0.11764705882352941
ECM & Adhesion,Reversed Down,10,17,0.5882352941176471
ECM & Adhesion,Exacerbated Up,1,17,0.058823529411764705
ECM & Adhesion,Exacerbated Down,4,17,0.23529411764705882
Immune & Inflammation,Reversed Up,4,8,0.5
Immune & Inflammation,Reversed Down,2,8,0.25
Immune & Inflammation,Exacerbated Down,2,8,0.25
Lipid Metabolism,Reversed Up,10,11,0.9090909090909091
Lipid Metabolism,Exacerbated Up,1,11,0.09090909090909091
Mitochondria & Energy,Reversed Up,1,3,0.3333333333333333
Mitochondria & Energy,Reversed Down,2,3,0.6666666666666666
Muscle & Contractile,Reversed Down,6,10,0.6
Muscle & Contractile,Exacerbated Up,1,10,0.1
Muscle & Contractile,Exacerbated Down,3,10,0.3
Protein Homeostasis,Reversed Up,10,18,0.5555555555555556
Protein Homeostasis,Reversed Down,4,18,0.2222222222222222
Protein Homeostasis,Exacerbated Up,2,18,0.1111111111111111
Protein Homeostasis,Exacerbated Down,2,18,0.1111111111111111
Transcription & Chromatin,Reversed Up,1,12,0.08333333333333333
Transcription & Chromatin,Reversed Down,8,12,0.6666666666666666
Transcription & Chromatin,Exacerbated Up,2,12,0.16666666666666666
Transcription & Chromatin,Exacerbated Down,1,12,0.08333333333333333
Translation & Ribosome,Reversed Down,13,17,0.7647058823529411
Translation & Ribosome,Exacerbated Down,4,17,0.23529411764705882
Transport,Reversed Up,5,24,0.20833333333333334
Transport,Reversed Down,14,24,0.5833333333333334
Transport,Exacerbated Up,1,24,0.041666666666666664
Transport,Exacerbated Down,4,24,0.16666666666666666
