quadrant,gene
Exacerbated_Up,TAGLN2
Reversed_AgingUp_TrainingDown,OTUB1
Reversed_AgingUp_TrainingDown,CTSZ
Reversed_AgingUp_TrainingDown,IDI1
Reversed_AgingUp_TrainingDown,HMGB2
Reversed_AgingUp_TrainingDown,CA3
Reversed_AgingUp_TrainingDown,HADHA
Reversed_AgingUp_TrainingDown,PSAP
Reversed_AgingUp_TrainingDown,NXN
Reversed_AgingUp_TrainingDown,GPD1L
Reversed_AgingUp_TrainingDown,MAOA
Reversed_AgingUp_TrainingDown,NAXD
Reversed_AgingUp_TrainingDown,PDLIM1
Reversed_AgingUp_TrainingDown,DCXR
Reversed_AgingUp_TrainingDown,HADHB
Reversed_AgingUp_TrainingDown,PLIN4
Reversed_AgingUp_TrainingDown,AKR7A2
Reversed_AgingUp_TrainingDown,SELENBP1
Reversed_AgingUp_TrainingDown,SOD2
Reversed_AgingUp_TrainingDown,EPDR1
Reversed_AgingUp_TrainingDown,CTSD
Reversed_AgingUp_TrainingDown,FXN
Reversed_AgingUp_TrainingDown,MAOB
Reversed_AgingUp_TrainingDown,ACAT1
Reversed_AgingUp_TrainingDown,PHPT1
Reversed_AgingUp_TrainingDown,COQ7
Reversed_AgingUp_TrainingDown,ARHGDIB
Reversed_AgingUp_TrainingDown,ALDH5A1
Reversed_AgingUp_TrainingDown,YWHAZ
Reversed_AgingUp_TrainingDown,CRAT
Reversed_AgingUp_TrainingDown,SLC25A46
Reversed_AgingUp_TrainingDown,RNF114
Reversed_AgingUp_TrainingDown,LRG1
Reversed_AgingUp_TrainingDown,HMGB1
Reversed_AgingUp_TrainingDown,ALDH6A1
Reversed_AgingUp_TrainingDown,SUOX
Reversed_AgingUp_TrainingDown,LONP1
Reversed_AgingUp_TrainingDown,PLIN2
Reversed_AgingUp_TrainingDown,COQ5
Reversed_AgingUp_TrainingDown,ETFB
Reversed_AgingUp_TrainingDown,CDC37
Reversed_AgingUp_TrainingDown,MPST
Reversed_AgingUp_TrainingDown,ECI1
Reversed_AgingUp_TrainingDown,ALDH4A1
Reversed_AgingUp_TrainingDown,ETFA
Reversed_AgingUp_TrainingDown,MAVS
Reversed_AgingUp_TrainingDown,LAMTOR1
Reversed_AgingUp_TrainingDown,CDC42
Reversed_AgingUp_TrainingDown,LRPAP1
Reversed_AgingUp_TrainingDown,CKB
Reversed_AgingUp_TrainingDown,HADH
Reversed_AgingUp_TrainingDown,PNPO
Reversed_AgingUp_TrainingDown,MCCC1
Reversed_AgingUp_TrainingDown,PRDX6
Reversed_AgingUp_TrainingDown,CP
Reversed_AgingUp_TrainingDown,PPP5C
Reversed_AgingUp_TrainingDown,UBE2K
Reversed_AgingUp_TrainingDown,MDP1
Reversed_AgingUp_TrainingDown,CPT2
Reversed_AgingUp_TrainingDown,SEC24C
Reversed_AgingUp_TrainingDown,TST
Reversed_AgingUp_TrainingDown,RDX
Reversed_AgingUp_TrainingDown,DYNLL1
Reversed_AgingUp_TrainingDown,ACO2
Reversed_AgingUp_TrainingDown,HDGF
Reversed_AgingUp_TrainingDown,ECH1
Reversed_AgingUp_TrainingDown,MB
Reversed_AgingUp_TrainingDown,ASAH1
Reversed_AgingUp_TrainingDown,ACAA2
Reversed_AgingUp_TrainingDown,RAD23B
Reversed_AgingUp_TrainingDown,METAP2
Reversed_AgingUp_TrainingDown,FAH
Reversed_AgingUp_TrainingDown,MT2A
Reversed_AgingUp_TrainingDown,TIMM10
Reversed_AgingUp_TrainingDown,FKBP4
Reversed_AgingUp_TrainingDown,OPLAH
Reversed_AgingUp_TrainingDown,MAT2B
Reversed_AgingUp_TrainingDown,GALK1
Reversed_AgingUp_TrainingDown,PCBD2
Reversed_AgingUp_TrainingDown,MICU1
Reversed_AgingUp_TrainingDown,LUC7L2
Reversed_AgingUp_TrainingDown,IBA57
Reversed_AgingUp_TrainingDown,CYB5R1
Reversed_AgingUp_TrainingDown,IVD
Reversed_AgingUp_TrainingDown,PCCA
Reversed_AgingUp_TrainingDown,CLEC3B
Reversed_AgingUp_TrainingDown,TFAM
Reversed_AgingUp_TrainingDown,CAPN1
Reversed_AgingUp_TrainingDown,EWSR1
Reversed_AgingUp_TrainingDown,SGTA
Reversed_AgingUp_TrainingDown,SH3GLB1
Reversed_AgingUp_TrainingDown,PGM5
Reversed_AgingUp_TrainingDown,GSTO1
Reversed_AgingUp_TrainingDown,CBR4
Reversed_AgingUp_TrainingDown,CSE1L
Reversed_AgingUp_TrainingDown,GAA
Reversed_AgingUp_TrainingDown,SCFD1
Reversed_AgingUp_TrainingDown,SH3BGR
Reversed_AgingUp_TrainingDown,FABP4
Reversed_AgingUp_TrainingDown,TACO1
Reversed_AgingUp_TrainingDown,CLU
Reversed_AgingUp_TrainingDown,NAE1
Reversed_AgingUp_TrainingDown,COQ8A
Reversed_AgingUp_TrainingDown,ALDH2
Reversed_AgingUp_TrainingDown,ECI2
Reversed_AgingUp_TrainingDown,TRIP10
Reversed_AgingUp_TrainingDown,CA2
Reversed_AgingUp_TrainingDown,RAD23A
Reversed_AgingUp_TrainingDown,GARS1
Reversed_AgingUp_TrainingDown,VDAC1
Reversed_AgingUp_TrainingDown,HSDL2
Reversed_AgingUp_TrainingDown,SDHA
Reversed_AgingUp_TrainingDown,MAPK13
Reversed_AgingUp_TrainingDown,RNPEP
Reversed_AgingUp_TrainingDown,LSS
Reversed_AgingUp_TrainingDown,TALDO1
Reversed_AgingUp_TrainingDown,THOP1
Reversed_AgingUp_TrainingDown,SEPTIN2
Reversed_AgingUp_TrainingDown,COPS7B
Reversed_AgingUp_TrainingDown,MCEE
Reversed_AgingUp_TrainingDown,MDH1
Reversed_AgingUp_TrainingDown,CDS2
Reversed_AgingUp_TrainingDown,MRPS36
Reversed_AgingUp_TrainingDown,GPT2
Reversed_AgingUp_TrainingDown,CUL1
Reversed_AgingUp_TrainingDown,ADIPOQ
Reversed_AgingUp_TrainingDown,GANAB
Reversed_AgingUp_TrainingDown,ACADS
Reversed_AgingUp_TrainingDown,NHLRC2
Reversed_AgingUp_TrainingDown,ACADVL
Reversed_AgingUp_TrainingDown,FN3K
Reversed_AgingUp_TrainingDown,DPYSL3
Reversed_AgingUp_TrainingDown,ACSF2
Reversed_AgingUp_TrainingDown,GAMT
Reversed_AgingUp_TrainingDown,HDDC2
Reversed_AgingUp_TrainingDown,PBXIP1
Reversed_AgingUp_TrainingDown,RSU1
Reversed_AgingUp_TrainingDown,PYGL
Reversed_AgingUp_TrainingDown,BPNT1
Reversed_AgingUp_TrainingDown,ACADSB
Reversed_AgingUp_TrainingDown,RIDA
Reversed_AgingUp_TrainingDown,DCAF6
Reversed_AgingUp_TrainingDown,TMPO
Reversed_AgingUp_TrainingDown,MLYCD
Reversed_AgingUp_TrainingDown,LAMP2
Reversed_AgingUp_TrainingDown,TACC2
Reversed_AgingUp_TrainingDown,PLN
Reversed_AgingUp_TrainingDown,CYB5R3
Reversed_AgingUp_TrainingDown,HDGFL2
Reversed_AgingUp_TrainingDown,GDI1
Reversed_AgingUp_TrainingDown,SLC27A1
Reversed_AgingUp_TrainingDown,ACSS2
Reversed_AgingUp_TrainingDown,COPS4
Reversed_AgingUp_TrainingDown,ARHGDIA
Reversed_AgingUp_TrainingDown,OPTN
Reversed_AgingUp_TrainingDown,VWA8
Reversed_AgingUp_TrainingDown,DCTN5
Reversed_AgingUp_TrainingDown,PPP2R2A
Reversed_AgingUp_TrainingDown,NUDT3
Reversed_AgingUp_TrainingDown,GCDH
Reversed_AgingUp_TrainingDown,RTCA
Reversed_AgingUp_TrainingDown,CALR
Reversed_AgingUp_TrainingDown,DBT
Reversed_AgingUp_TrainingDown,HARS1
Reversed_AgingUp_TrainingDown,PPA1
Reversed_AgingUp_TrainingDown,GRPEL1
Reversed_AgingUp_TrainingDown,MAP2K6
Reversed_AgingUp_TrainingDown,FABP3
Reversed_AgingUp_TrainingDown,COA3
Reversed_AgingUp_TrainingDown,LPP
Reversed_AgingUp_TrainingDown,SAR1A
Reversed_AgingUp_TrainingDown,CYB5A
Reversed_AgingUp_TrainingDown,NADK2
Reversed_AgingUp_TrainingDown,CHMP2A
Reversed_AgingUp_TrainingDown,NAXE
Reversed_AgingUp_TrainingDown,HAGH
Reversed_AgingUp_TrainingDown,TBCA
Reversed_AgingUp_TrainingDown,TOM1L2
Reversed_AgingUp_TrainingDown,CS
Reversed_AgingUp_TrainingDown,GPX3
Reversed_AgingUp_TrainingDown,PFDN2
Reversed_AgingUp_TrainingDown,UBQLN2
Reversed_AgingUp_TrainingDown,AAMDC
Reversed_AgingUp_TrainingDown,LRRC47
Reversed_AgingUp_TrainingDown,PLIN5
Reversed_AgingUp_TrainingDown,NPC2
Reversed_AgingUp_TrainingDown,PEBP1
Reversed_AgingUp_TrainingDown,YWHAG
Reversed_AgingUp_TrainingDown,FKBP5
Reversed_AgingUp_TrainingDown,RASA4
Reversed_AgingUp_TrainingDown,ATP2A2
Reversed_AgingUp_TrainingDown,RAB5B
Reversed_AgingUp_TrainingDown,HNRNPD
Reversed_AgingUp_TrainingDown,CKM
Reversed_AgingUp_TrainingDown,GSK3A
Reversed_AgingUp_TrainingDown,SDR39U1
Reversed_AgingUp_TrainingDown,ACSL1
Reversed_AgingUp_TrainingDown,AZGP1
Reversed_AgingUp_TrainingDown,FBN1
Reversed_AgingUp_TrainingDown,NLRX1
Reversed_AgingUp_TrainingDown,FAHD2A
Reversed_AgingUp_TrainingDown,DDX19A
Reversed_AgingUp_TrainingDown,PRUNE1
Reversed_AgingUp_TrainingDown,LACTB2
Reversed_AgingUp_TrainingDown,COQ3
Reversed_AgingUp_TrainingDown,GLOD4
Reversed_AgingUp_TrainingDown,PGLS
Reversed_AgingUp_TrainingDown,ITGB1
Reversed_AgingUp_TrainingDown,CUL4A
Reversed_AgingUp_TrainingDown,GPT
Reversed_AgingUp_TrainingDown,CPT1B
Reversed_AgingUp_TrainingDown,SDHB
Reversed_AgingUp_TrainingDown,ANXA7
Reversed_AgingUp_TrainingDown,DMAC2L
Reversed_AgingUp_TrainingDown,NUCKS1
Reversed_AgingUp_TrainingDown,SNAP29
Reversed_AgingUp_TrainingDown,ABHD16A
Reversed_AgingUp_TrainingDown,BUB3
Reversed_AgingUp_TrainingDown,UBE2I
Reversed_AgingUp_TrainingDown,STAT5B
Reversed_AgingUp_TrainingDown,ISCA2
Reversed_AgingUp_TrainingDown,ECHDC3
Reversed_AgingUp_TrainingDown,ALDH9A1
Reversed_AgingUp_TrainingDown,COX11
Reversed_AgingUp_TrainingDown,MYO1C
Reversed_AgingUp_TrainingDown,NAPA
Reversed_AgingUp_TrainingDown,GLUL
Reversed_AgingUp_TrainingDown,TLN2
Reversed_AgingUp_TrainingDown,TNS1
Reversed_AgingUp_TrainingDown,SEC22B
Reversed_AgingUp_TrainingDown,NIPSNAP3B
Reversed_AgingUp_TrainingDown,SYNE2
Reversed_AgingUp_TrainingDown,MECR
Reversed_AgingUp_TrainingDown,TSN
Reversed_AgingUp_TrainingDown,LDHB
Reversed_AgingUp_TrainingDown,LTBP3
Reversed_AgingUp_TrainingDown,L2HGDH
Reversed_AgingUp_TrainingDown,CHCHD7
Reversed_AgingUp_TrainingDown,TATDN1
Reversed_AgingUp_TrainingDown,ACAA1
Reversed_AgingUp_TrainingDown,SEPTIN9
Reversed_AgingUp_TrainingDown,H6PD
Reversed_AgingUp_TrainingDown,COPS8
Reversed_AgingUp_TrainingDown,PFDN4
Reversed_AgingUp_TrainingDown,ADH1B
Reversed_AgingUp_TrainingDown,COQ9
Reversed_AgingUp_TrainingDown,NIT1
Reversed_AgingUp_TrainingDown,XPO1
Reversed_AgingUp_TrainingDown,FABP5
Reversed_AgingUp_TrainingDown,PITHD1
Reversed_AgingUp_TrainingDown,HSD17B8
Reversed_AgingUp_TrainingDown,DCTPP1
Reversed_AgingUp_TrainingDown,BCAT2
Reversed_AgingUp_TrainingDown,RPA1
Reversed_AgingUp_TrainingDown,TMEM245
Reversed_AgingUp_TrainingDown,DIABLO
Reversed_AgingUp_TrainingDown,AARS1
Reversed_AgingUp_TrainingDown,PFDN6
Reversed_AgingUp_TrainingDown,UBE2G1
Reversed_AgingUp_TrainingDown,UBE3C
Reversed_AgingUp_TrainingDown,VBP1
Reversed_AgingUp_TrainingDown,TMX1
Reversed_AgingUp_TrainingDown,GSTP1
Reversed_AgingUp_TrainingDown,SCARB2
Reversed_AgingUp_TrainingDown,PTGES3
Reversed_AgingUp_TrainingDown,ABRAXAS2
Reversed_AgingUp_TrainingDown,GNAI2
Reversed_AgingUp_TrainingDown,COPS7A
Reversed_AgingUp_TrainingDown,UBE2Z
Reversed_AgingUp_TrainingDown,DTD1
Reversed_AgingUp_TrainingDown,ACOT2
Reversed_AgingUp_TrainingDown,NIPSNAP2
Reversed_AgingUp_TrainingDown,TRAP1
Reversed_AgingUp_TrainingDown,KHSRP
Reversed_AgingUp_TrainingDown,MRPS35
Reversed_AgingUp_TrainingDown,SPR
Reversed_AgingUp_TrainingDown,NIPSNAP3A
Reversed_AgingUp_TrainingDown,GNB1
Reversed_AgingUp_TrainingDown,ATP5F1D
Reversed_AgingUp_TrainingDown,VPS4A
Reversed_AgingUp_TrainingDown,MCU
Reversed_AgingUp_TrainingDown,BLVRB
Reversed_AgingUp_TrainingDown,PPP1R2
Reversed_AgingUp_TrainingDown,DHX15
Reversed_AgingUp_TrainingDown,PLPBP
Reversed_AgingUp_TrainingDown,UBA1
Reversed_AgingUp_TrainingDown,ATP5PD
Reversed_AgingUp_TrainingDown,MAP3K20
Reversed_AgingUp_TrainingDown,ISOC2
Reversed_AgingUp_TrainingDown,ECHDC2
Reversed_AgingUp_TrainingDown,SULT1A1
Reversed_AgingUp_TrainingDown,MYH14
Reversed_AgingUp_TrainingDown,CUL3
Reversed_AgingUp_TrainingDown,PANK4
Reversed_AgingUp_TrainingDown,OCIAD1
Reversed_AgingUp_TrainingDown,ADHFE1
Reversed_AgingUp_TrainingDown,HCFC2
Reversed_AgingUp_TrainingDown,PREB
Reversed_AgingUp_TrainingDown,BGN
Reversed_AgingUp_TrainingDown,RAP1A
Reversed_AgingUp_TrainingDown,C11orf54
Reversed_AgingUp_TrainingDown,MMP24OS
Reversed_AgingUp_TrainingDown,PGRMC2
Reversed_AgingUp_TrainingDown,DNM1L
Reversed_AgingUp_TrainingDown,LIMCH1
Reversed_AgingUp_TrainingDown,ATP6V1G1
Reversed_AgingUp_TrainingDown,UBE2F
Reversed_AgingUp_TrainingDown,PPP1R7
Reversed_AgingUp_TrainingDown,YWHAE
Reversed_AgingUp_TrainingDown,ALDH7A1
Reversed_AgingUp_TrainingDown,PGAM5
Reversed_AgingUp_TrainingDown,PDXP
Reversed_AgingUp_TrainingDown,AKR1A1
Reversed_AgingUp_TrainingDown,STOM
Reversed_AgingUp_TrainingDown,IFITM1
Reversed_AgingUp_TrainingDown,GOT1
Reversed_AgingUp_TrainingDown,AK2
Reversed_AgingUp_TrainingDown,CUL5
Reversed_AgingUp_TrainingDown,PCYT2
Reversed_AgingUp_TrainingDown,PGP
Reversed_AgingUp_TrainingDown,DNAJC11
Reversed_AgingUp_TrainingDown,MAP2K2
Reversed_AgingUp_TrainingDown,RAB12
Reversed_AgingUp_TrainingDown,ATPAF2
Reversed_AgingUp_TrainingDown,RCSD1
Reversed_AgingUp_TrainingDown,PALMD
Reversed_AgingUp_TrainingDown,AKR1B1
Reversed_AgingUp_TrainingDown,DENND5A
Reversed_AgingUp_TrainingDown,PNPT1
Reversed_AgingUp_TrainingDown,GDI2
Reversed_AgingUp_TrainingDown,MFN2
Reversed_AgingUp_TrainingDown,ITGA7
Reversed_AgingUp_TrainingDown,ASS1
Reversed_AgingUp_TrainingDown,CASQ2
Reversed_AgingUp_TrainingDown,CAVIN1
Reversed_AgingUp_TrainingDown,TMA7
Reversed_AgingUp_TrainingDown,SGCA
Reversed_AgingUp_TrainingDown,AKAP1
Reversed_AgingUp_TrainingDown,FAHD1
Reversed_AgingUp_TrainingDown,SAMM50
Reversed_AgingUp_TrainingDown,DDX17
Reversed_AgingUp_TrainingDown,ARL6IP5
Reversed_AgingUp_TrainingDown,PRKAR1A
Reversed_AgingUp_TrainingDown,USO1
Reversed_AgingUp_TrainingDown,TOMM70
