module,trait,cor,pval,stars,label,xpos
MEgreen,Aging,0.0402,0.912381873685755,,0.04,1
MEpink,Aging,8e-4,0.9950237641524968,,0.00,1
MEturquoise,Aging,0.5862,4.6158038730720455e-5,***,0.59***,1
MEred,Aging,0.0464,0.912381873685755,,0.05,1
MEyellow,Aging,-0.0677,0.8818841376888391,,-0.07,1
MEbrown,Aging,-0.4437,0.00756590185918616,**,-0.44**,1
MEblack,Aging,-0.2912,0.1323789882111957,,-0.29,1
MEpurple,Aging,-0.3043,0.12056964425500356,,-0.30,1
MEblue,Aging,-0.2705,0.14633855071319238,,-0.27,1
MEmagenta,Aging,-0.529,5.737061734279719e-4,***,-0.53***,1
MEgreen,Training_Young,-0.4524,0.05965003041253395,,-0.45,2
MEpink,Training_Young,0.2015,0.5240300632463919,,0.20,2
MEturquoise,Training_Young,-0.0763,0.8818841376888391,,-0.08,2
MEred,Training_Young,0.1958,0.5240300632463919,,0.20,2
MEyellow,Training_Young,-0.2625,0.3427270540116404,,-0.26,2
MEbrown,Training_Young,-0.3482,0.161923323546268,,-0.35,2
MEblack,Training_Young,0.1003,0.8818841376888391,,0.10,2
MEpurple,Training_Young,0.0755,0.8818841376888391,,0.08,2
MEblue,Training_Young,0.6272,0.00163504992746855,**,0.63**,2
MEmagenta,Training_Young,0.19,0.5240300632463919,,0.19,2
MEgreen,Training_Old,0.0434,0.912381873685755,,0.04,3
MEpink,Training_Old,0.0454,0.912381873685755,,0.05,3
MEturquoise,Training_Old,-0.1113,0.8730228999790619,,-0.11,3
MEred,Training_Old,0.0125,0.9709289994852796,,0.01,3
MEyellow,Training_Old,-0.3293,0.21633434963408496,,-0.33,3
MEbrown,Training_Old,0.0409,0.912381873685755,,0.04,3
MEblack,Training_Old,0.2176,0.5240300632463919,,0.22,3
MEpurple,Training_Old,0.3572,0.161923323546268,,0.36,3
MEblue,Training_Old,0.3212,0.21633434963408496,,0.32,3
MEmagenta,Training_Old,-0.0956,0.8818841376888391,,-0.10,3
MEgreen,Interaction,0.364,0.15949982825157008,,0.36,4
MEpink,Interaction,-0.1133,0.8730228999790619,,-0.11,4
MEturquoise,Interaction,-0.0247,0.960238256407795,,-0.02,4
MEred,Interaction,-0.132,0.8164622133232503,,-0.13,4
MEyellow,Interaction,-0.052,0.912381873685755,,-0.05,4
MEbrown,Interaction,0.281,0.30676814746471,,0.28,4
MEblack,Interaction,0.0852,0.8818841376888391,,0.09,4
MEpurple,Interaction,0.2107,0.5240300632463919,,0.21,4
MEblue,Interaction,-0.3138,0.21633434963408496,,-0.31,4
MEmagenta,Interaction,-0.2009,0.5240300632463919,,-0.20,4
MEgreen,Strat_Trn_Y,-0.5878,0.04582590186625817,*,-0.59*,5.3
MEpink,Strat_Trn_Y,0.3513,0.2962028494011897,,0.35,5.3
MEturquoise,Strat_Trn_Y,-0.12,0.6498661105832518,,-0.12,5.3
MEred,Strat_Trn_Y,0.2791,0.3964046047857082,,0.28,5.3
MEyellow,Strat_Trn_Y,-0.4958,0.1096248485766313,,-0.50,5.3
MEbrown,Strat_Trn_Y,-0.4359,0.1740365479930274,,-0.44,5.3
MEblack,Strat_Trn_Y,0.1581,0.6498661105832518,,0.16,5.3
MEpurple,Strat_Trn_Y,0.117,0.6498661105832518,,0.12,5.3
MEblue,Strat_Trn_Y,0.738,0.00698512273723177,**,0.74**,5.3
MEmagenta,Strat_Trn_Y,0.2718,0.3964046047857082,,0.27,5.3
MEgreen,Strat_Trn_O,0.0606,0.926962588919181,,0.06,6.3
MEpink,Strat_Trn_O,0.054,0.926962588919181,,0.05,6.3
MEturquoise,Strat_Trn_O,-0.1423,0.926962588919181,,-0.14,6.3
MEred,Strat_Trn_O,0.0191,0.9441731185943134,,0.02,6.3
MEyellow,Strat_Trn_O,-0.3758,0.4164703949072248,,-0.38,6.3
MEbrown,Strat_Trn_O,0.0622,0.926962588919181,,0.06,6.3
MEblack,Strat_Trn_O,0.2879,0.6150360498456792,,0.29,6.3
MEpurple,Strat_Trn_O,0.4134,0.40863911990127294,,0.41,6.3
MEblue,Strat_Trn_O,0.4882,0.302739332813473,,0.49,6.3
MEmagenta,Strat_Trn_O,-0.1298,0.926962588919181,,-0.13,6.3
MEgreen,Aging_Pre,0.0841,0.889337681127918,,0.08,7.6
MEpink,Aging_Pre,0.0089,0.9668699687302006,,0.01,7.6
MEturquoise,Aging_Pre,0.7094,4.114029974399291e-4,***,0.71***,7.6
MEred,Aging_Pre,-0.015,0.9668699687302006,,-0.01,7.6
MEyellow,Aging_Pre,-0.1207,0.8720367746627227,,-0.12,7.6
MEbrown,Aging_Pre,-0.5829,0.004676403852782581,**,-0.58**,7.6
MEblack,Aging_Pre,-0.4876,0.03605900150358253,*,-0.49*,7.6
MEpurple,Aging_Pre,-0.4288,0.11780174967308255,,-0.43,7.6
MEblue,Aging_Pre,-0.4795,0.015907832717280992,*,-0.48*,7.6
MEmagenta,Aging_Pre,-0.6574,4.114029974399291e-4,***,-0.66***,7.6
MEgreen,Aging_Post,0.4803,0.025948334604726096,*,0.48*,8.6
MEpink,Aging_Post,-0.1669,0.47560759267572394,,-0.17,8.6
MEturquoise,Aging_Post,0.7424,1.4284178605897583e-5,***,0.74***,8.6
MEred,Aging_Post,-0.1031,0.6448521783795559,,-0.10,8.6
MEyellow,Aging_Post,-0.1843,0.47560759267572394,,-0.18,8.6
MEbrown,Aging_Post,-0.3329,0.1774841616380463,,-0.33,8.6
MEblack,Aging_Post,-0.272,0.2381516512752594,,-0.27,8.6
MEpurple,Aging_Post,-0.2323,0.30022418509303184,,-0.23,8.6
MEblue,Aging_Post,-0.5973,0.0019584205992896923,**,-0.60**,8.6
MEmagenta,Aging_Post,-0.7461,1.4284178605897583e-5,***,-0.75***,8.6
