module,trait,section,n,r,ci_lo,ci_hi,p_raw,p_bh
MEgreen,Aging,lmm_contrast,62,0.0402,-0.0733,0.0992,0.7648885017361561,NA
MEgreen,Training_Young,lmm_contrast,62,-0.4524,-0.1834,-0.0282,0.0092071526596509,NA
MEgreen,Training_Old,lmm_contrast,62,0.0434,-0.0707,0.0887,0.8186883634681318,NA
MEgreen,Interaction,lmm_contrast,62,0.364,0.0036,0.226,0.04349995315951911,NA
MEpink,Aging,lmm_contrast,62,8e-4,-0.0932,0.0938,0.9950237641524968,NA
MEpink,Training_Young,lmm_contrast,62,0.2015,-0.0377,0.131,0.26779202941055946,NA
MEpink,Training_Old,lmm_contrast,62,0.0454,-0.0764,0.0968,0.8107715626194312,NA
MEpink,Interaction,lmm_contrast,62,-0.1133,-0.1574,0.0845,0.5426222896791708,NA
MEturquoise,Aging,lmm_contrast,62,0.5862,0.1154,0.2488,1.0490463347891012e-6,NA
MEturquoise,Training_Young,lmm_contrast,62,-0.0763,-0.0754,0.0497,0.6768438703857218,NA
MEturquoise,Training_Old,lmm_contrast,62,-0.1113,-0.0831,0.0456,0.555560027259403,NA
MEturquoise,Interaction,lmm_contrast,62,-0.0247,-0.0956,0.0839,0.8947674661981726,NA
MEred,Aging,lmm_contrast,62,0.0464,-0.0839,0.1132,0.7655427078591608,NA
MEred,Training_Young,lmm_contrast,62,0.1958,-0.0279,0.0901,0.2900267145768382,NA
MEred,Training_Old,lmm_contrast,62,0.0125,-0.0577,0.0616,0.947825387723806,NA
MEred,Interaction,lmm_contrast,62,-0.132,-0.1131,0.0547,0.48245494423646607,NA
MEyellow,Aging,lmm_contrast,62,-0.0677,-0.113,0.0689,0.6281179469793808,NA
MEyellow,Training_Young,lmm_contrast,62,-0.2625,-0.1257,0.0199,0.14799577332320837,NA
MEyellow,Training_Old,lmm_contrast,62,-0.3293,-0.1414,0.0071,0.07456133633359077,NA
MEyellow,Interaction,lmm_contrast,62,-0.052,-0.1182,0.0897,0.7814650930717316,NA
MEbrown,Aging,lmm_contrast,62,-0.4437,-0.2346,-0.0669,6.878092599260153e-4,NA
MEbrown,Training_Young,lmm_contrast,62,-0.3482,-0.1391,4e-4,0.05120275070265238,NA
MEbrown,Training_Old,lmm_contrast,62,0.0409,-0.0637,0.0789,0.8294380669870499,NA
MEbrown,Interaction,lmm_contrast,62,0.281,-0.0228,0.1767,0.12549606032647226,NA
MEblack,Aging,lmm_contrast,62,-0.2912,-0.1875,-0.0117,0.02707752031592639,NA
MEblack,Training_Young,lmm_contrast,62,0.1003,-0.0572,0.0996,0.5844574835051441,NA
MEblack,Training_Old,lmm_contrast,62,0.2176,-0.0338,0.127,0.24553148348715215,NA
MEblack,Interaction,lmm_contrast,62,0.0852,-0.0869,0.1376,0.6478052482417458,NA
MEpurple,Aging,lmm_contrast,62,-0.3043,-0.1919,-0.0156,0.02192175350090974,NA
MEpurple,Training_Young,lmm_contrast,62,0.0755,-0.0608,0.0918,0.6814559245777393,NA
MEpurple,Training_Old,lmm_contrast,62,0.3572,-6e-4,0.1557,0.05152105749199437,NA
MEpurple,Interaction,lmm_contrast,62,0.2107,-0.0471,0.1713,0.2543380898158694,NA
MEblue,Aging,lmm_contrast,62,-0.2705,-0.1462,-0.0049,0.03658463767829809,NA
MEblue,Training_Young,lmm_contrast,62,0.6272,0.0827,0.2237,1.114806768728558e-4,NA
MEblue,Training_Old,lmm_contrast,62,0.3212,-0.0084,0.1372,0.08084515366508277,NA
MEblue,Interaction,lmm_contrast,62,-0.3138,-0.1901,0.0125,0.08358372599498737,NA
MEmagenta,Aging,lmm_contrast,62,-0.529,-0.2214,-0.0869,2.607755333763508e-5,NA
MEmagenta,Training_Young,lmm_contrast,62,0.19,-0.0279,0.0879,0.29774435411726813,NA
MEmagenta,Training_Old,lmm_contrast,62,-0.0956,-0.074,0.0445,0.6138411341929866,NA
MEmagenta,Interaction,lmm_contrast,62,-0.2009,-0.1277,0.0381,0.2777943588079071,NA
MEgreen,BMI_Pre_Y,baseline_young,16,0.0667,-0.4437,0.5444,0.806265043434467,0.9274464024917092
MEgreen,VL_Pre_Y,baseline_young,16,0.1562,-0.368,0.605,0.5636000520964655,0.8185023832518747
MEgreen,LBM_Pre_Y,baseline_young,16,0.465,-0.0399,0.7808,0.06953059749217023,0.38241828620693585
MEpink,BMI_Pre_Y,baseline_young,16,0.031,-0.472,0.5187,0.9092588441307015,0.9274464024917092
MEpink,VL_Pre_Y,baseline_young,16,0.0177,-0.4823,0.5089,0.9482378945457762,0.948237894545776
MEpink,LBM_Pre_Y,baseline_young,16,0.1695,-0.3562,0.6136,0.5303840064188576,0.6824267893742292
MEturquoise,BMI_Pre_Y,baseline_young,16,0.241,-0.2892,0.6581,0.36849237063981777,0.6184590122904251
MEturquoise,VL_Pre_Y,baseline_young,16,-0.1643,-0.6103,0.3608,0.5431243526962464,0.8185023832518747
MEturquoise,LBM_Pre_Y,baseline_young,16,0.0241,-0.4773,0.5137,0.9292813783736413,0.9292813783736412
MEred,BMI_Pre_Y,baseline_young,16,0.2868,-0.2435,0.6851,0.2814472657739668,0.6184590122904251
MEred,VL_Pre_Y,baseline_young,16,-0.0905,-0.5611,0.4242,0.7387884153552717,0.8774504696355456
MEred,LBM_Pre_Y,baseline_young,16,0.1791,-0.3475,0.6198,0.5069009950271308,0.6824267893742292
MEyellow,BMI_Pre_Y,baseline_young,16,-0.1046,-0.5707,0.4125,0.6997593263143977,0.9274464024917092
MEyellow,VL_Pre_Y,baseline_young,16,0.5212,0.0344,0.8081,0.03840231348643264,0.3557578579181818
MEyellow,LBM_Pre_Y,baseline_young,16,0.172,-0.3539,0.6152,0.5242286887892826,0.6824267893742292
MEbrown,BMI_Pre_Y,baseline_young,16,0.229,-0.3008,0.6508,0.3935648260029979,0.6184590122904251
MEbrown,VL_Pre_Y,baseline_young,16,0.4293,-0.0843,0.7627,0.09702487034132225,0.3557578579181818
MEbrown,LBM_Pre_Y,baseline_young,16,0.1689,-0.3567,0.6133,0.5317929437246567,0.6824267893742292
MEblack,BMI_Pre_Y,baseline_young,16,-0.2509,-0.664,0.2795,0.3485045928942807,0.6184590122904251
MEblack,VL_Pre_Y,baseline_young,16,0.1837,-0.3433,0.6227,0.4959392928308506,0.8185023832518747
MEblack,LBM_Pre_Y,baseline_young,16,-0.1582,-0.6064,0.3662,0.5583491913061873,0.6824267893742292
MEpurple,BMI_Pre_Y,baseline_young,16,-0.2742,-0.6778,0.2564,0.3041456053137605,0.6184590122904251
MEpurple,VL_Pre_Y,baseline_young,16,-0.3943,-0.7445,0.126,0.13069139002330218,0.359401322564081
MEpurple,LBM_Pre_Y,baseline_young,16,-0.2272,-0.6498,0.3025,0.3973265621735471,0.6824267893742292
MEblue,BMI_Pre_Y,baseline_young,16,-0.5489,-0.8212,-0.0731,0.027668334991025334,0.30435168490127934
MEblue,VL_Pre_Y,baseline_young,16,-0.4582,-0.7774,0.0485,0.07426922832566622,0.3557578579181818
MEblue,LBM_Pre_Y,baseline_young,16,-0.5638,-0.8281,-0.0944,0.022941907716807177,0.25236098488487824
MEmagenta,BMI_Pre_Y,baseline_young,16,-0.0248,-0.5142,0.4768,0.9274464024917095,0.9274464024917092
MEmagenta,VL_Pre_Y,baseline_young,16,0.1438,-0.3789,0.5969,0.595274460546818,0.8185023832518747
MEmagenta,LBM_Pre_Y,baseline_young,16,0.1024,-0.4143,0.5692,0.7058009250172312,0.7763810175189544
MEgreen,BMI_Pre_O,baseline_old,15,-0.3252,-0.7179,0.2244,0.23687369267031247,0.4060515932034556
MEgreen,VL_Pre_O,baseline_old,15,0.0402,-0.482,0.5413,0.8868556471486614,0.9895368769101645
MEgreen,LBM_Pre_O,baseline_old,15,0.1545,-0.3885,0.6179,0.5824775682235237,0.9234117758016674
MEpink,BMI_Pre_O,baseline_old,15,-0.2862,-0.6964,0.2649,0.3010031625521197,0.4060515932034556
MEpink,VL_Pre_O,baseline_old,15,0.0106,-0.5044,0.52,0.9701004315108381,0.9895368769101645
MEpink,LBM_Pre_O,baseline_old,15,-0.0187,-0.5259,0.4983,0.9472260784374549,0.9472260784374548
MEturquoise,BMI_Pre_O,baseline_old,15,-0.5205,-0.8154,-0.0112,0.04668496050212328,0.2567672827616778
MEturquoise,VL_Pre_O,baseline_old,15,-0.0705,-0.5624,0.4583,0.8028614869365697,0.9895368769101645
MEturquoise,LBM_Pre_O,baseline_old,15,-0.2192,-0.6576,0.3301,0.4324691018384935,0.9234117758016674
MEred,BMI_Pre_O,baseline_old,15,0.5473,0.0487,0.8275,0.03472591687120764,0.2567672827616778
MEred,VL_Pre_O,baseline_old,15,0.089,-0.4435,0.5751,0.7523822232937355,0.9895368769101645
MEred,LBM_Pre_O,baseline_old,15,0.1371,-0.4035,0.6068,0.6260928549414833,0.9234117758016674
MEyellow,BMI_Pre_O,baseline_old,15,0.3781,-0.1664,0.7459,0.16468950017424314,0.4060515932034556
MEyellow,VL_Pre_O,baseline_old,15,-0.0569,-0.5531,0.469,0.8402853968392846,0.9895368769101645
MEyellow,LBM_Pre_O,baseline_old,15,0.0572,-0.4688,0.5533,0.8394652507287885,0.9234117758016674
MEbrown,BMI_Pre_O,baseline_old,15,0.3016,-0.2492,0.7049,0.2747001252451713,0.4060515932034556
MEbrown,VL_Pre_O,baseline_old,15,0.2203,-0.3291,0.6583,0.4302143410294571,0.9895368769101645
MEbrown,LBM_Pre_O,baseline_old,15,0.4033,-0.1374,0.7588,0.13610894070920787,0.9234117758016674
MEblack,BMI_Pre_O,baseline_old,15,0.1833,-0.3631,0.6358,0.513275213194148,0.5646027345135629
