module,trait,cor,pval,stars,label,trait_label,xpos
MEblue,age_num,-0.5352435099185808,3.324976416833515e-4,***,-0.54***,Age,1
MEblack,age_num,-0.34712366207238976,0.04280385637706759,*,-0.35*,Age,1
MEmagenta,age_num,-0.25222715495054165,0.20176407477730943,,-0.25,Age,1
MEbrown,age_num,-0.18128154756331297,0.3787769311809656,,-0.18,Age,1
MEyellow,age_num,-0.4491190004785154,0.00752146627095511,**,-0.45**,Age,1
MEred,age_num,0.381163916206956,0.02830312402560615,*,0.38*,Age,1
MEgreen,age_num,0.2800402721789806,0.15463547756579754,,0.28,Age,1
MEpink,age_num,-0.0605436203269648,0.813472606445208,,-0.06,Age,1
MEturquoise,age_num,0.6888113363691586,5.468828802932429e-8,***,0.69***,Age,1
MEblue,time_num,0.3971663553639706,0.02830312402560615,*,0.40*,Training,2
MEblack,time_num,0.13910968333126483,0.5159282517999457,,0.14,Training,2
MEmagenta,time_num,0.1890346093052739,0.3606062515507048,,0.19,Training,2
MEbrown,time_num,-0.0489226025345948,0.8298250599393149,,-0.05,Training,2
MEyellow,time_num,-0.12697538972774983,0.5742140116409118,,-0.13,Training,2
MEred,time_num,0.02335441839370801,0.9121082239557315,,0.02,Training,2
MEgreen,time_num,-0.20141410373136923,0.3289414107265571,,-0.20,Training,2
MEpink,time_num,0.10460874647023412,0.6606765654841903,,0.10,Training,2
MEturquoise,time_num,-0.05710799067686399,0.8241269520926442,,-0.06,Training,2
MEblue,interaction,-0.18760914728384911,0.3606062515507048,,-0.19,Age x Trn,3
MEblack,interaction,-0.09674625092259732,0.6704838068777833,,-0.10,Age x Trn,3
MEmagenta,interaction,0.02675798693056979,0.9121082239557315,,0.03,Age x Trn,3
MEbrown,interaction,-0.16052598197490098,0.46675315709595305,,-0.16,Age x Trn,3
MEyellow,interaction,-0.25571266858191793,0.20176407477730943,,-0.26,Age x Trn,3
MEred,interaction,0.20114758952564352,0.3289414107265571,,0.20,Age x Trn,3
MEgreen,interaction,0.18067934083752413,0.3787769311809656,,0.18,Age x Trn,3
MEpink,interaction,-0.02092460026958715,0.9121082239557315,,-0.02,Age x Trn,3
MEturquoise,interaction,0.3645738239339308,0.03219468278002772,*,0.36*,Age x Trn,3
MEblue,VL_thick_cm,0.09784803258240908,0.6704838068777833,,0.10,VL Thick.,4.15
MEblack,VL_thick_cm,0.23521074219141683,0.2275212617638076,,0.24,VL Thick.,4.15
MEmagenta,VL_thick_cm,0.07581777911691333,0.7496698815839244,,0.08,VL Thick.,4.15
MEbrown,VL_thick_cm,0.084490032282045,0.7225557661233518,,0.08,VL Thick.,4.15
MEyellow,VL_thick_cm,0.37712041861027584,0.02830312402560615,*,0.38*,VL Thick.,4.15
