gene,pathway,database,module
MSN,Unmapped,NA,blue
REEP5,Unmapped,NA,blue
DYNC1H1,Separation Of Sister Chromatids,Reactome,blue
KPNB1,M Phase,Reactome,blue
DYSF,Unmapped,NA,blue
MAPT,Unmapped,NA,blue
HSPA8,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,blue
NACA,Unmapped,NA,blue
CCT5,Unmapped,NA,blue
TUBA1B,Separation Of Sister Chromatids,Reactome,blue
VCP,Unmapped,NA,blue
TUBB,M Phase,Reactome,blue
PSMC2,Separation Of Sister Chromatids,Reactome,blue
USP5,Unmapped,NA,blue
S100A13,Unmapped,NA,blue
UCHL1,Unmapped,NA,blue
FLNC,Unmapped,NA,blue
EEF1A1,Unmapped,NA,blue
CCT7,Unmapped,NA,blue
EIF2B1,Unmapped,NA,blue
HSPB2,Unmapped,NA,blue
S100A6,Unmapped,NA,blue
CLTC,Unmapped,NA,blue
MOB4,Unmapped,NA,blue
FLNB,Unmapped,NA,blue
FLNA,Unmapped,NA,blue
TNPO1,M Phase,Reactome,blue
BIN1,Unmapped,NA,blue
CLIC4,Unmapped,NA,blue
EEF1G,Unmapped,NA,blue
ALDH1B1,Unmapped,NA,blue
CCT8,Unmapped,NA,blue
EHBP1L1,Unmapped,NA,blue
PFN2,Unmapped,NA,blue
SPAG9,Unmapped,NA,blue
HSPB7,Unmapped,NA,blue
GCN1,Unmapped,NA,blue
HSPA5,Unmapped,NA,blue
TUBB4B,Separation Of Sister Chromatids,Reactome,blue
DYNC1I2,Separation Of Sister Chromatids,Reactome,blue
KLHL40,Unmapped,NA,blue
EEF1D,Unmapped,NA,blue
NRAP,Unmapped,NA,blue
ARHGAP1,Unmapped,NA,blue
PSMD4,Unmapped,NA,blue
DCTN6,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,blue
HSP90B1,Unmapped,NA,blue
EIF2S3,Unmapped,NA,blue
TUBA4A,Separation Of Sister Chromatids,Reactome,blue
CCT4,Unmapped,NA,blue
PSMD13,Separation Of Sister Chromatids,Reactome,blue
EEA1,Unmapped,NA,blue
PSMC4,Separation Of Sister Chromatids,Reactome,blue
PSMC6,Separation Of Sister Chromatids,Reactome,blue
LRMDA,Unmapped,NA,blue
CCT6A,Unmapped,NA,blue
FARSB,Unmapped,NA,blue
TCP1,Unmapped,NA,blue
GLRX3,Unmapped,NA,blue
PSME2,Unmapped,NA,blue
CSRP3,Unmapped,NA,blue
CCT3,Unmapped,NA,blue
HSPB1,Unmapped,NA,blue
ATIC,Unmapped,NA,blue
CBR1,Unmapped,NA,blue
S100A4,Unmapped,NA,blue
ECPAS,Unmapped,NA,blue
HRC,Unmapped,NA,blue
NES,Unmapped,NA,blue
CCT2,Unmapped,NA,blue
IPO5,Unmapped,NA,blue
S100A16,Unmapped,NA,blue
DYNLT1,Unmapped,NA,blue
PDLIM3,Unmapped,NA,blue
RPS11,Unmapped,NA,blue
PSMD14,Separation Of Sister Chromatids,Reactome,blue
VARS1,Unmapped,NA,blue
TUBB6,Separation Of Sister Chromatids,Reactome,blue
MAP4,Unmapped,NA,blue
EEF1A2,Unmapped,NA,blue
ANXA2,Unmapped,NA,blue
CAPN2,Unmapped,NA,blue
SLMAP,Unmapped,NA,blue
NEK9,M Phase,Reactome,blue
DNAJA2,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,blue
MAPRE3,Unmapped,NA,blue
PSME4,Unmapped,NA,blue
ANKRD2,Unmapped,NA,blue
NAA10,Unmapped,NA,blue
UBL4A,Unmapped,NA,blue
KTN1,Unmapped,NA,blue
DYNC1LI1,Separation Of Sister Chromatids,Reactome,blue
ALPK3,Unmapped,NA,blue
EEF1B2,Unmapped,NA,blue
GYS1,Unmapped,NA,blue
NAP1L1,Unmapped,NA,blue
HSPB3,Unmapped,NA,blue
EPRS1,Unmapped,NA,blue
CRYAB,Unmapped,NA,blue
GBE1,Unmapped,NA,blue
TMEM43,Unmapped,NA,blue
MAPRE1,Separation Of Sister Chromatids,Reactome,blue
AKR1C1,Unmapped,NA,blue
BCAP31,Unmapped,NA,blue
HSP90AB1,The Role Of Gtse1 In G2 M Progression After G2 Checkpoint,Reactome,blue
CALU,Unmapped,NA,blue
DARS1,Unmapped,NA,blue
FAM120A,Unmapped,NA,blue
DDB1,Unmapped,NA,blue
DHRS7,Unmapped,NA,blue
TXNL1,Unmapped,NA,blue
PFN1,Unmapped,NA,blue
APOL2,Unmapped,NA,blue
COMMD6,Unmapped,NA,blue
APMAP,Unmapped,NA,blue
LARS1,Unmapped,NA,blue
AKR1C3,Unmapped,NA,blue
CAST,Unmapped,NA,blue
KLHL41,Unmapped,NA,blue
PSMC1,Separation Of Sister Chromatids,Reactome,blue
RPS27A,Separation Of Sister Chromatids,Reactome,blue
STBD1,Unmapped,NA,blue
HSPA4,Unmapped,NA,blue
RARS1,Unmapped,NA,blue
PSME1,Unmapped,NA,blue
ACACA,Unmapped,NA,blue
PSMD8,Separation Of Sister Chromatids,Reactome,blue
SARS1,Unmapped,NA,blue
DNAJA4,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,blue
CLTB,Unmapped,NA,blue
MTDH,Unmapped,NA,blue
KPNA4,Unmapped,NA,blue
HPRT1,Unmapped,NA,blue
AP2M1,Unmapped,NA,blue
EEF2,Unmapped,NA,blue
RDH11,Unmapped,NA,blue
TMED1,Unmapped,NA,blue
EZR,Unmapped,NA,blue
CLIP1,Separation Of Sister Chromatids,Reactome,blue
MYOF,Unmapped,NA,blue
PSMD11,Separation Of Sister Chromatids,Reactome,blue
RABEP1,Unmapped,NA,blue
CNIH4,Unmapped,NA,blue
GSR,Unmapped,NA,blue
JPT1,Unmapped,NA,blue
AHCY,Unmapped,NA,blue
BAG3,Unmapped,NA,blue
EIF3C,Unmapped,NA,blue
ACSL3,Unmapped,NA,blue
UGP2,Unmapped,NA,blue
HYOU1,Unmapped,NA,blue
OSBPL11,Unmapped,NA,blue
RPS27,Separation Of Sister Chromatids,Reactome,blue
ANXA5,Unmapped,NA,blue
GNG12,Unmapped,NA,blue
MUSTN1,Unmapped,NA,blue
HSP90AA1,The Role Of Gtse1 In G2 M Progression After G2 Checkpoint,Reactome,blue
RPS7,Unmapped,NA,blue
MARCHF5,Unmapped,NA,blue
ESYT2,Unmapped,NA,blue
PSMC3,Separation Of Sister Chromatids,Reactome,blue
PSMD7,Separation Of Sister Chromatids,Reactome,blue
PDIA3,Unmapped,NA,blue
TRIM72,Unmapped,NA,blue
IL18,Unmapped,NA,blue
RAB1B,M Phase,Reactome,blue
CD151,Unmapped,NA,blue
EIF3J,Unmapped,NA,blue
SPTAN1,Unmapped,NA,blue
CANX,Unmapped,NA,blue
CAPNS1,Unmapped,NA,blue
SMPX,Unmapped,NA,blue
HAT1,Unmapped,NA,blue
TUBB2A,Separation Of Sister Chromatids,Reactome,blue
PEA15,Unmapped,NA,blue
KPNA1,Unmapped,NA,blue
CSRP1,Unmapped,NA,blue
SEC23IP,Unmapped,NA,blue
AP1M1,Unmapped,NA,blue
PPP1R12B,Mitotic G2 G2 M Phases,Reactome,blue
GART,Unmapped,NA,blue
FARSA,Unmapped,NA,blue
RRAD,Unmapped,NA,blue
CKAP4,Unmapped,NA,blue
GYG1,Unmapped,NA,blue
PHYKPL,Unmapped,NA,blue
TARS1,Unmapped,NA,blue
VCL,Unmapped,NA,blue
USP9X,Unmapped,NA,blue
DDX1,Unmapped,NA,blue
LMCD1,Unmapped,NA,blue
GLIPR2,Unmapped,NA,blue
SLK,Unmapped,NA,blue
AP1B1,Unmapped,NA,blue
CYB5R3,Unmapped,NA,blue
PAICS,Unmapped,NA,blue
AP2A1,Unmapped,NA,blue
TMX3,Unmapped,NA,blue
RAN,M Phase,Reactome,blue
P4HB,Unmapped,NA,blue
ETF1,Unmapped,NA,blue
TXNDC5,Unmapped,NA,blue
EPHX1,Unmapped,NA,blue
RAB10,Unmapped,NA,blue
PSMC5,Separation Of Sister Chromatids,Reactome,blue
COPB2,Unmapped,NA,blue
UBE2O,Unmapped,NA,blue
SEC61A1,Unmapped,NA,blue
ERO1A,Unmapped,NA,blue
SURF4,Unmapped,NA,blue
ERAP1,Unmapped,NA,blue
CLIP2,Unmapped,NA,blue
ARPP19,M Phase,Reactome,blue
MCTS1,Unmapped,NA,blue
JSRP1,Unmapped,NA,blue
EIF2A,Unmapped,NA,blue
ABCE1,Unmapped,NA,blue
ACYP2,Unmapped,NA,blue
TMEM63A,Unmapped,NA,blue
CARNS1,Unmapped,NA,blue
PRKAG1,Unmapped,NA,blue
MEMO1,Unmapped,NA,blue
TBCB,Unmapped,NA,blue
VAT1,Unmapped,NA,blue
MARS1,Unmapped,NA,blue
COMMD7,Unmapped,NA,blue
UNC45B,Unmapped,NA,blue
TMCO1,Unmapped,NA,blue
HSPA1A,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,blue
S100A11,Unmapped,NA,blue
HSPA2,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,blue
YWHAB,Unmapped,NA,blue
LGALS3,Unmapped,NA,blue
ENDOD1,Unmapped,NA,blue
SEC31A,Unmapped,NA,blue
GSPT1,Unmapped,NA,blue
ABHD6,Unmapped,NA,blue
MRPL36,Unmapped,NA,blue
STX7,Unmapped,NA,blue
FAM98A,Unmapped,NA,blue
TIPRL,Unmapped,NA,blue
RAP1B,Unmapped,NA,blue
ARCN1,Unmapped,NA,blue
CAPG,Unmapped,NA,blue
BCAP29,Unmapped,NA,blue
ANP32A,Unmapped,NA,blue
KLC1,Unmapped,NA,blue
AHCYL1,Unmapped,NA,blue
SETD7,Unmapped,NA,blue
GANAB,Unmapped,NA,blue
ARL6IP5,Unmapped,NA,blue
SEC22B,Unmapped,NA,blue
ATP1A1,Unmapped,NA,blue
GDI2,Unmapped,NA,blue
PRKAA2,Unmapped,NA,blue
BTF3L4,Unmapped,NA,blue
ILVBL,Unmapped,NA,blue
TPD52,Unmapped,NA,blue
NUDC,Separation Of Sister Chromatids,Reactome,blue
GBP2,Unmapped,NA,blue
HSPB6,Unmapped,NA,blue
UBR4,Unmapped,NA,blue
PRMT5,Unmapped,NA,blue
DCTN5,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,blue
KIF5B,Unmapped,NA,blue
PADI2,Unmapped,NA,blue
TOLLIP,Unmapped,NA,blue
KPNA6,Unmapped,NA,blue
DPP3,Unmapped,NA,blue
CAND1,Unmapped,NA,blue
FXYD1,Unmapped,NA,blue
AHCYL2,Unmapped,NA,blue
EIF5,Unmapped,NA,blue
ADRM1,Separation Of Sister Chromatids,Reactome,blue
ARPC1B,Unmapped,NA,blue
NHLRC2,Unmapped,NA,blue
CLINT1,Unmapped,NA,blue
RAB18,Unmapped,NA,blue
DYNC1LI2,Separation Of Sister Chromatids,Reactome,blue
ANXA6,Unmapped,NA,blue
SERPINH1,Unmapped,NA,blue
HBS1L,Unmapped,NA,blue
TXLNB,Unmapped,NA,blue
MARCKS,Unmapped,NA,blue
AKR1C2,Unmapped,NA,blue
PPP2R1A,Separation Of Sister Chromatids,Reactome,blue
S100A1,Unmapped,NA,blue
CNDP2,Unmapped,NA,blue
EIF4G2,Unmapped,NA,blue
CAVIN4,Unmapped,NA,blue
GPS1,Unmapped,NA,blue
CAND2,Unmapped,NA,blue
ETFB,Organic Acid Catabolic Process,GO:BP,turquoise
IDH2,Citric Acid Cycle Tca Cycle,Reactome,turquoise
