pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,1.1806504927373435e-9,3.683629537340512e-7,3.3507081495240305,27,59,Reactome,5.775707547169811,blue,Separation Of Sister Chromatids,ADRM1/CLIP1/DYNC1H1/DYNC1I2/DYNC1LI1/DYNC1LI2/MAPRE1/NUDC/PPP2R1A/PSMC1/PSMC2/PSMC3/PSMC4/PSMC5/PSMC6/PSMD11/PSMD13/PSMD14/PSMD7/PSMD8/RPS27/RPS27A/TUBA1B/TUBA4A/TUBB2A/TUBB4B/TUBB6,27,3.683629537340512e-7,REACTOME_SEPARATION_OF_SISTER_CHROMATIDS
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,7.279888989228932e-9,7.57108454879809e-7,3.750250584697627,21,41,Reactome,7.074907749077491,blue,The Role Of Gtse1 In G2 M Progression After G2 Checkpoint,ADRM1/HSP90AA1/HSP90AB1/MAPRE1/PSMC1/PSMC2/PSMC3/PSMC4/PSMC5/PSMC6/PSMD11/PSMD13/PSMD14/PSMD7/PSMD8/RPS27A/TUBA1B/TUBA4A/TUBB2A/TUBB4B/TUBB6,21,7.57108454879809e-7,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT
REACTOME_M_PHASE,2.3178956532042098e-8,1.8079586094992831e-6,2.562671232876712,35,100,Reactome,3.7315175097276265,blue,M Phase,ADRM1/ARPP19/CLIP1/DYNC1H1/DYNC1I2/DYNC1LI1/DYNC1LI2/HSP90AA1/KPNB1/MAPRE1/NEK9/NUDC/PPP2R1A/PSMC1/PSMC2/PSMC3/PSMC4/PSMC5/PSMC6/PSMD11/PSMD13/PSMD14/PSMD7/PSMD8/RAB1B/RAN/RPS27/RPS27A/TNPO1/TUBA1B/TUBA4A/TUBB/TUBB2A/TUBB4B/TUBB6,35,1.8079586094992831e-6,REACTOME_M_PHASE
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,4.6888299473378e-8,2.7506806109125712e-6,3.876309427880741,18,34,Reactome,7.513686131386861,blue,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,DCTN5/DCTN6/DNAJA2/DNAJA4/DYNC1H1/DYNC1I2/DYNC1LI1/DYNC1LI2/HSP90AA1/HSP90AB1/HSPA1A/HSPA2/HSPA8/TUBA1B/TUBA4A/TUBB2A/TUBB4B/TUBB6,18,2.7506806109125712e-6,REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND
REACTOME_MITOTIC_G2_G2_M_PHASES,5.2897704056010987e-8,2.7506806109125712e-6,2.974529109589041,26,64,Reactome,4.650573802928373,blue,Mitotic G2 G2 M Phases,ADRM1/DYNC1H1/DYNC1I2/HSP90AA1/HSP90AB1/MAPRE1/PPP1R12B/PPP2R1A/PSMC1/PSMC2/PSMC3/PSMC4/PSMC5/PSMC6/PSMD11/PSMD13/PSMD14/PSMD7/PSMD8/RPS27A/TUBA1B/TUBA4A/TUBB/TUBB2A/TUBB4B/TUBB6,26,2.7506806109125712e-6,REACTOME_MITOTIC_G2_G2_M_PHASES
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,6.195671979430268e-27,6.23904168328628e-24,4.257449683521798,56,86,GO:BP,12.267650676506763,turquoise,Organic Acid Catabolic Process,ACAA1/ACAA2/ACAD8/ACADM/ACADS/ACADSB/ACADVL/ACAT1/ADHFE1/ADIPOQ/ALDH4A1/ALDH5A1/ALDH6A1/AUH/BCAT2/CPT1B/CPT2/CRAT/DBT/DCXR/DECR1/DLST/ECH1/ECHDC2/ECHS1/ECI1/ECI2/ETFA/ETFB/ETFDH/GCDH/GCSH/GLUD1/GLUL/GOT1/GOT2/GPT/GPT2/HADH/HADHA/HADHB/HIBADH/HIBCH/HMGCL/IVD/MCCC1/MCCC2/MCEE/MLYCD/MPST/NAGK/PCCA/PCCB/PLIN5/SLC16A1/TST,56,6.23904168328628e-24,GOBP_ORGANIC_ACID_CATABOLIC_PROCESS
GOBP_FATTY_ACID_CATABOLIC_PROCESS,3.9413364942637e-19,1.322975283241182e-16,5.301264567319614,30,37,GO:BP,26.03174603174603,turquoise,Fatty Acid Catabolic Process,ACAA1/ACAA2/ACADM/ACADS/ACADVL/ACAT1/ADIPOQ/AUH/CPT1B/CPT2/CRAT/DECR1/ECH1/ECHDC2/ECHS1/ECI1/ECI2/ETFA/ETFB/ETFDH/GCDH/HADH/HADHA/HADHB/IVD/MCEE/MLYCD/PCCA/PCCB/PLIN5,30,1.322975283241182e-16,GOBP_FATTY_ACID_CATABOLIC_PROCESS
GOBP_FATTY_ACID_METABOLIC_PROCESS,6.940743865780877e-17,1.1648881788068904e-14,3.2062455892731125,51,104,GO:BP,6.129204265791633,turquoise,Fatty Acid Metabolic Process,ACAA1/ACAA2/ACAD9/ACADM/ACADS/ACADSB/ACADVL/ACAT1/ACOT2/ACOT9/ACSF2/ACSL1/ACSS2/ADIPOQ/ASAH1/AUH/CBR4/CES2/CPT1B/CPT2/CRAT/DECR1/ECH1/ECHDC2/ECHDC3/ECHS1/ECI1/ECI2/ETFA/ETFB/ETFDH/FABP3/FABP5/GCDH/GPX1/HADH/HADHA/HADHB/HSD17B12/HSD17B8/IVD/LYPLA1/MCEE/MECR/MLYCD/MMUT/OXSM/PCCA/PCCB/PDK2/PLIN5,51,1.1648881788068904e-14,GOBP_FATTY_ACID_METABOLIC_PROCESS
GOBP_LIPID_MODIFICATION,1.384986954030731e-14,1.743352328386183e-12,4.465130155888715,28,41,GO:BP,12.951890918446102,turquoise,Lipid Modification,ACAA1/ACAA2/ACADM/ACADS/ACADVL/ACAT1/ADIPOQ/AUH/CPT1B/CPT2/CRAT/DECR1/ECH1/ECHDC2/ECHS1/ECI1/ECI2/ETFA/ETFB/ETFDH/FABP3/GCDH/HADH/HADHA/HADHB/IVD/MLYCD/PLIN5,28,1.743352328386183e-12,GOBP_LIPID_MODIFICATION
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,3.001493147987645e-14,9.364658621721452e-12,5.49211009174312,21,25,Reactome,31.00245098039216,turquoise,Citric Acid Cycle Tca Cycle,ACAT1/ACO2/CS/DLST/FH/FXN/IDH2/IDH3A/IDH3B/IDH3G/ISCA2/MDH2/NFS1/NNT/SDHA/SDHB/SIRT3/SUCLA2/SUCLG1/SUCLG2/TRAP1,21,9.364658621721452e-12,REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE
