module,uniprot_id,gene,kME,kME_ci_lo,kME_ci_hi,kME_p,GS_pheno,GS,GS_ci_lo,GS_ci_hi,GS_p,GS_n
turquoise,O75390,CS,0.7735,0.6491,0.8576,1.7222837199710717e-13,"Age (Young=0, Old=1)",0.3905,0.1559,0.5834,0.0017024000228629663,62
turquoise,P00505,GOT2,0.8363,0.7414,0.8984,2.6595871834245058e-17,"Age (Young=0, Old=1)",0.4378,0.2111,0.6198,3.736079520333382e-4,62
turquoise,P05166,PCCB,0.7755,0.652,0.8589,1.3573395253812422e-13,"Age (Young=0, Old=1)",0.4571,0.2341,0.6345,1.876105436952915e-4,62
turquoise,P07954,FH,0.8263,0.7264,0.892,1.3602817604910717e-16,"Age (Young=0, Old=1)",0.5133,0.3023,0.6764,1.9884175117635092e-5,62
turquoise,P13804,ETFA,0.8986,0.8365,0.9378,3.9317402695711795e-23,"Age (Young=0, Old=1)",0.5341,0.328,0.6916,7.808698232305125e-6,62
turquoise,P21397,MAOA,0.7406,0.6022,0.8358,5.975020478722926e-12,"Age (Young=0, Old=1)",0.6999,0.5455,0.8084,2.4474079712260904e-10,62
turquoise,P30405,PPIF,0.8124,0.7058,0.883,1.1049400919748229e-15,"Age (Young=0, Old=1)",0.4446,0.2191,0.625,2.944822364247364e-4,62
turquoise,P35914,HMGCL,0.8404,0.7476,0.901,1.3232673460859016e-17,"Age (Young=0, Old=1)",0.6866,0.5273,0.7993,7.232235414162701e-10,62
turquoise,P38117,ETFB,0.9264,0.8804,0.9552,3.877245394516433e-27,"Age (Young=0, Old=1)",0.5741,0.3787,0.7206,1.0667411041360957e-6,62
turquoise,P42765,ACAA2,0.795,0.6803,0.8717,1.2026671684432041e-14,"Age (Young=0, Old=1)",0.4448,0.2195,0.6251,2.918283993566126e-4,62
turquoise,P43155,CRAT,0.9012,0.8407,0.9395,1.8524256315093307e-23,"Age (Young=0, Old=1)",0.6701,0.5048,0.788,2.571466346930973e-9,62
turquoise,P48735,IDH2,0.91,0.8544,0.945,1.2859323978184e-24,"Age (Young=0, Old=1)",0.6422,0.4673,0.7686,1.850217359296013e-8,62
turquoise,P49748,ACADVL,0.7804,0.6591,0.8621,7.59386266110752e-14,"Age (Young=0, Old=1)",0.4278,0.1993,0.6121,5.241073320772124e-4,62
