module,contrast,estimate,SE,r_equiv,p_raw,p_bh,sig_bh,sig_nominal
MEgreen,Aging,0.01294,0.04305,0.0402,0.7648885017361561,0.9123818736857552,FALSE,FALSE
MEgreen,Training_Young,-0.1058,0.03801,-0.4524,0.0092071526596509,0.05965003041253395,FALSE,TRUE
MEgreen,Training_Old,0.009,0.03891,0.0434,0.8186883634681318,0.9123818736857552,FALSE,FALSE
MEgreen,Interaction,0.1148,0.05439,0.364,0.04349995315951911,0.15949982825157008,FALSE,TRUE
MEpink,Aging,2.9e-4,0.04666,8e-4,0.9950237641524968,0.9950237641524968,FALSE,FALSE
MEpink,Training_Young,0.04666,0.04132,0.2015,0.26779202941055946,0.5240300632463919,FALSE,FALSE
MEpink,Training_Old,0.01022,0.0423,0.0454,0.8107715626194312,0.9123818736857552,FALSE,FALSE
MEpink,Interaction,-0.03643,0.05914,-0.1133,0.5426222896791708,0.8730228999790619,FALSE,FALSE
MEturquoise,Aging,0.18208,0.0333,0.5862,1.0490463347891054e-6,4.615803873072064e-5,TRUE,TRUE
MEturquoise,Training_Young,-0.01289,0.03064,-0.0763,0.6768438703857218,0.881884137688839,FALSE,FALSE
MEturquoise,Training_Old,-0.01875,0.03144,-0.1113,0.555560027259403,0.8730228999790619,FALSE,FALSE
MEturquoise,Interaction,-0.00586,0.0439,-0.0247,0.8947674661981726,0.960238256407795,FALSE,FALSE
MEred,Aging,0.01465,0.04882,0.0464,0.7655427078591608,0.9123818736857552,FALSE,FALSE
MEred,Training_Young,0.0311,0.02886,0.1958,0.2900267145768382,0.5240300632463919,FALSE,FALSE
MEred,Training_Old,0.00192,0.02912,0.0125,0.947825387723806,0.9709289994852796,FALSE,FALSE
MEred,Interaction,-0.02918,0.041,-0.132,0.48245494423646607,0.8164622133232503,FALSE,FALSE
MEyellow,Aging,-0.02208,0.04532,-0.0677,0.6281179469793807,0.881884137688839,FALSE,FALSE
MEyellow,Training_Young,-0.05292,0.03563,-0.2625,0.14799577332320837,0.3427270540116404,FALSE,FALSE
MEyellow,Training_Old,-0.06715,0.03627,-0.3293,0.0745613363335907,0.21633434963408496,FALSE,FALSE
MEyellow,Interaction,-0.01424,0.05084,-0.052,0.7814650930717316,0.9123818736857552,FALSE,FALSE
MEbrown,Aging,-0.15073,0.0418,-0.4437,6.878092599260179e-4,0.00756590185918619,TRUE,TRUE
MEbrown,Training_Young,-0.06937,0.03415,-0.3482,0.05120275070265239,0.161923323546268,FALSE,FALSE
MEbrown,Training_Old,0.00757,0.03482,0.0409,0.82943806698705,0.9123818736857552,FALSE,FALSE
MEbrown,Interaction,0.07694,0.04877,0.281,0.12549606032647226,0.30676814746471,FALSE,FALSE
MEblack,Aging,-0.09959,0.04386,-0.2912,0.02707752031592639,0.1323789882111957,FALSE,TRUE
MEblack,Training_Young,0.02122,0.03839,0.1003,0.5844574835051441,0.881884137688839,FALSE,FALSE
MEblack,Training_Old,0.04657,0.03927,0.2176,0.24553148348715215,0.5240300632463919,FALSE,FALSE
MEblack,Interaction,0.02535,0.05491,0.0852,0.6478052482417458,0.881884137688839,FALSE,FALSE
MEpurple,Aging,-0.10376,0.04398,-0.3043,0.02192175350090972,0.12056964425500344,FALSE,TRUE
MEpurple,Training_Young,0.01548,0.03735,0.0755,0.6814559245777392,0.881884137688839,FALSE,FALSE
MEpurple,Training_Old,0.07756,0.03815,0.3572,0.05152105749199437,0.161923323546268,FALSE,FALSE
MEpurple,Interaction,0.06208,0.05339,0.2107,0.25433808981586936,0.5240300632463919,FALSE,FALSE
MEblue,Aging,-0.07556,0.03531,-0.2705,0.03658463767829809,0.14633855071319238,FALSE,TRUE
MEblue,Training_Young,0.15317,0.03453,0.6272,1.114806768728558e-4,0.00163504992746855,TRUE,TRUE
MEblue,Training_Old,0.06438,0.03557,0.3212,0.08084515366508277,0.21633434963408496,FALSE,FALSE
MEblue,Interaction,-0.08879,0.04957,-0.3138,0.08358372599498737,0.21633434963408496,FALSE,FALSE
MEmagenta,Aging,-0.15417,0.03355,-0.529,2.607755333763508e-5,5.737061734279719e-4,TRUE,TRUE
MEmagenta,Training_Young,0.03004,0.02835,0.19,0.29774435411726813,0.5240300632463919,FALSE,FALSE
MEmagenta,Training_Old,-0.01477,0.02895,-0.0956,0.6138411341929866,0.881884137688839,FALSE,FALSE
MEmagenta,Interaction,-0.04481,0.04052,-0.2009,0.2777943588079071,0.5240300632463919,FALSE,FALSE
MEgrey,Aging,0.0899,0.04125,0.304,0.03436068602816036,0.14633855071319238,FALSE,TRUE
MEgrey,Training_Young,-0.07924,0.02856,-0.4551,0.0094897775656304,0.05965003041253395,FALSE,TRUE
MEgrey,Training_Old,-0.08187,0.02893,-0.4709,0.00850410532655091,0.05965003041253395,FALSE,TRUE
MEgrey,Interaction,-0.00263,0.04065,-0.0121,0.9488624313151596,0.9709289994852796,FALSE,FALSE
