pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,cluster,Description,geneID,Count,p.adjust,ID
GOSLIM_CYTOPLASMIC_TRANSLATION,1.653110920544911e-12,4.46339948547126e-11,2.522124287749288,53,117,GO Slim,4.228191087613293,C1,Cytoplasmic Translation,RPSA/RPL10A/RPL4/RPL5/RPL6/RPL7/RPL8/RPL10/RPL12/RPL13/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL22/RPL23A/RPL24/RPL30/RPL27A/RPL28/RPL29/RPL31/RPL32/RPL34/RPL37A/RPLP0/RPLP1/RPLP2/RPS3A/RPS5/RPS12/RPS14/RPS15/RPS17/RPS18/RPS19/RPS21/RPS28/RPL14/RPL23/RACK1/RPL35/RPL13A/RPL36/DENR/EIF2S2/EIF3E/EIF3D/EIF3I/AARS1/CNBP/CSDE1,53,4.46339948547126e-11,GOSLIM_CYTOPLASMIC_TRANSLATION
GOSLIM_MUSCLE_SYSTEM_PROCESS,4.2075721596361e-9,5.680222415508735e-8,2.144598765432099,52,135,GO Slim,3.1532878501959645,C1,Muscle System Process,COL6A1/TNNC1/MYH3/MYH7/MYH8/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TCAP/TTN/ACTA1/ASPH/CALD1/DES/EMD/MYH1/MYH2/MYH4/MYL1/MYL6/TMOD1/TPM2/TPM3/MYH13/MYOM2/MYOT/TRDN/TMOD4/LMOD3/MYL6B/LMOD2/TPM1/MYL9/MYH11/CAV1/MYBPH/MYL2/MYL3/PARP1/CALM1/TMEM38A/ACTN3/CAMK2G/HMOX1/PPP3CA/SYNM/MYOZ2/MYOZ1/PDLIM5/LMNA,52,5.680222415508735e-8,GOSLIM_MUSCLE_SYSTEM_PROCESS
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,1.4483087799879827e-5,1.3034779019891846e-4,2.644661458333333,19,40,GO Slim,4.295759947814743,C1,Extracellular Matrix Organization,COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL15A1/CTSG/LAMC1/COL1A1/COL6A1/DPT/LUM/NID1/MYH11/CAV1/CAV2/NID2/LAMB2/LAMA2,19,1.3034779019891846e-4,GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION
GOSLIM_RIBOSOME_BIOGENESIS,4.952683237972702e-5,3.343061185631574e-4,2.2466191520467835,23,57,GO Slim,3.223073162783119,C1,Ribosome Biogenesis,RPLP0/RPS28/RPL5/RPL24/RPSA/RPS5/RPS14/RPS15/RPS19/EIF6/NPM1/RPS21/RPL7/RPL35/PA2G4/RPS17/RPL14/UTP15/EIF2A/DDX3X/RPS3A/RPS12/NUDT16,23,3.343061185631574e-4,GOSLIM_RIBOSOME_BIOGENESIS
GOBP_MYOFIBRIL_ASSEMBLY,5.0110164104431534e-15,7.291028877194788e-12,4.013929263565892,31,43,GO:BP,12.748347497639282,C1,Myofibril Assembly,ACTA1/ACTN2/CAPN3/CFL2/LDB3/LMOD2/LMOD3/MYBPC1/MYBPC2/MYBPH/MYH11/MYH3/MYL2/MYL9/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/MYPN/NEB/OBSCN/PGM5/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,31,7.291028877194788e-12,GOBP_MYOFIBRIL_ASSEMBLY
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,4.461457433937657e-13,2.764721163468619e-10,2.588495979532164,53,114,GO:BP,4.444009707295329,C1,Membraneless Organelle Assembly,ACTA1/ACTN2/AGO2/CAPN3/CAPRIN1/CFL2/CHMP5/CSDE1/DDX3X/EIF2A/EIF2S1/EIF6/FUS/FXR1/G3BP1/G3BP2/LDB3/LMOD2/LMOD3/MYBPC1/MYBPC2/MYBPH/MYH11/MYH3/MYL2/MYL9/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/MYPN/NEB/NPM1/OBSCN/PGM5/RPL24/RPL5/RPS14/RPS15/RPS19/RPS28/RPS5/RPSA/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN/UBAP2L,53,2.764721163468619e-10,GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY
GOBP_CYTOPLASMIC_TRANSLATION,2.5215924293527606e-12,9.172292461770667e-10,2.5007503531073447,53,118,GO:BP,4.160678596328143,C1,Cytoplasmic Translation,AARS1/CNBP/CSDE1/DENR/EIF2S2/EIF3D/EIF3E/EIF3I/RACK1/RPL10/RPL10A/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL22/RPL23/RPL23A/RPL24/RPL27A/RPL28/RPL29/RPL30/RPL31/RPL32/RPL34/RPL35/RPL36/RPL37A/RPL4/RPL5/RPL6/RPL7/RPL8/RPLP0/RPLP1/RPLP2/RPS12/RPS14/RPS15/RPS17/RPS18/RPS19/RPS21/RPS28/RPS3A/RPS5/RPSA,53,9.172292461770667e-10,GOBP_CYTOPLASMIC_TRANSLATION
GOBP_MUSCLE_CELL_DIFFERENTIATION,3.7080169026622025e-12,1.0790329186747009e-9,2.6200980392156863,48,102,GO:BP,4.497354497354498,C1,Muscle Cell Differentiation,ACTA1/ACTN1/ACTN2/ACTN3/ACTN4/CAPN3/CAV2/CFL2/COL6A1/H3-3A/HDGFL2/LAMA2/LAMB2/LAMC1/LDB3/LMNA/LMOD2/LMOD3/MYBPC1/MYBPC2/MYBPH/MYH11/MYH3/MYL2/MYL9/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/MYPN/NEB/NID1/OBSCN/PDLIM5/PGM5/PPP3CA/RPL3L/SMYD1/SPEG/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,48,1.0790329186747009e-9,GOBP_MUSCLE_CELL_DIFFERENTIATION
GOBP_MUSCLE_CELL_DEVELOPMENT,9.312146248396442e-12,2.258195465236137e-9,2.8952083333333336,39,75,GO:BP,5.394685990338164,C1,Muscle Cell Development,ACTA1/ACTN1/ACTN2/ACTN3/ACTN4/CAPN3/CAV2/CFL2/COL6A1/LDB3/LMNA/LMOD2/LMOD3/MYBPC1/MYBPC2/MYBPH/MYH11/MYH3/MYL2/MYL9/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/MYPN/NEB/OBSCN/PDLIM5/PGM5/PPP3CA/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,39,2.258195465236137e-9,GOBP_MUSCLE_CELL_DEVELOPMENT
GOBP_MUSCLE_ORGAN_DEVELOPMENT,4.6874238250649916e-11,9.74314523638509e-9,2.6308951465201464,43,91,GO:BP,4.481793743890518,C1,Muscle Organ Development,ACTA1/ACTN3/CAPN3/CAV1/CAV2/CFL2/COL3A1/COL6A1/COL6A3/DES/EMD/FHL3/FXR1/HDGFL2/ITGA7/JPH1/JPH2/LAMA2/LMNA/LMOD3/MTM1/MYH3/MYH7/MYL2/MYL3/MYL6/MYL6B/MYOM1/MYOM2/MYOZ1/MYOZ2/NEB/PPP3CA/RPL3L/SMYD1/SPEG/SVIL/TAGLN/TCAP/TNNC1/TNNI1/TPM1/TTN,43,9.74314523638509e-9,GOBP_MUSCLE_ORGAN_DEVELOPMENT
