pathway,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,LV10
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0,0,0,0,0,0,0,0,0,0
REACTOME_ABC_TRANSPORTER_DISORDERS,0,0,0,0,0,0,0,0,0,0
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,0,0,0,0,0,0,0,0,0,0
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,0,0,0,0,0,0,0,0,0,0
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,0,0,0,0,0,0,0,0,0,0
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,0,0,0,0,0,0,0,0,0,0
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,0,0,0,0,0,0,0,0,0,0
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,0,0,0,0,0,0,0,0,0,0
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,0,0,0,0,0,0,0,0,0,0
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,0,0,0,0,0,0,0,0,0,0
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,0,0,0,0,0,0,0,0,0,0
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,0,0,0,0,0,0,0,0,0,0
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,0,0,0,0,0,0,0,0,0,0
REACTOME_ADIPOGENESIS,0,0,0,0,0,0,0,0,0,0
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,0,0,0,0,0,0,0,0,0,0
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,0,0,0,0,0,0,0,0,0,0
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,0,0,0,0,0,0,0,0,0,0
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,0.1795166249726644,0,0,0,0,0,0,0,0.053692732525034044,0
REACTOME_AGGREPHAGY,0,0,0,0,0,0,0,0,0,0
REACTOME_ALK_MUTANTS_BIND_TKIS,0,0,0,0,0,0,0,0,0,0
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,0,0,0,0,0,0,0,0,0,0
REACTOME_AMYLOID_FIBER_FORMATION,0,0,0,0,0,0,0,0,0,0
REACTOME_ANCHORING_FIBRIL_FORMATION,0,0,0,0,0,0,0,0,0,0
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,0,0,0,0,0,0,0,0,0,0
