module,delta_VL,delta_LBM
MEgreen,0.34325875492724217,0.15815231951698966
MEpink,0.29933422517819097,0.08956669753007737
MEturquoise,0.2636765813859449,0.20765035885711486
MEred,-0.3149886686854787,-0.43101389916439486
MEyellow,-0.3434668701822128,-0.3566619546532248
MEbrown,-0.08201667786631656,0.20142641833497615
MEblack,0.0669556642476228,0.17506789285430183
MEpurple,0.1366555291226706,-0.40257428825321506
MEblue,-0.09298033592989054,-0.06892046360593194
MEmagenta,-0.2501566547464882,-0.3071261438006334
MEgrey,-0.5664303184596073,-0.10548982925940317
