module,delta_VL,delta_LBM
MEgreen,0.04578728596518783,0.9189715127845917
MEpink,0.976348100705682,0.8376342667781608
MEturquoise,0.976348100705682,0.8376342667781608
MEred,0.6874060991625256,0.8376342667781608
MEyellow,0.976348100705682,0.8400558774995842
MEbrown,0.976348100705682,0.1582214986702882
MEblack,0.976348100705682,0.8376342667781608
MEpurple,0.976348100705682,0.8376342667781608
MEblue,0.976348100705682,0.8376342667781608
MEmagenta,0.976348100705682,0.8376342667781608
MEgrey,0.976348100705682,0.8376342667781608
