age_group,module,estimate,SE,df,t_ratio,p_raw,r_equiv,singular,p_bh
Young,MEgreen,-0.10593,0.03741,15.19,-2.832,0.012497973236252229,-0.5878,FALSE,0.04582590186625817
Young,MEpink,0.04716,0.03206,15.36,1.4707,0.1615651905824671,0.3513,FALSE,0.2962028494011897
Young,MEturquoise,-0.01286,0.02717,15.32,-0.4732,0.6427468602997537,-0.12,FALSE,0.6498661105832518
Young,MEred,0.03295,0.02988,14.4,1.1026,0.28829425802596964,0.2791,FALSE,0.39640460478570827
Young,MEyellow,-0.05512,0.02456,15.45,-2.2441,0.0398635813005932,-0.4958,TRUE,0.1096248485766313
Young,MEbrown,-0.06865,0.03646,15.12,-1.8829,0.07910752181501245,-0.4359,FALSE,0.1740365479930274
Young,MEblack,0.02281,0.03632,15.38,0.628,0.5392057691528335,0.1581,FALSE,0.6498661105832518
Young,MEpurple,0.01328,0.02869,15.43,0.4629,0.6498661105832518,0.117,FALSE,0.6498661105832518
Young,MEblue,0.15449,0.03612,15.3,4.2769,6.350111579301616e-4,0.738,FALSE,0.006985122737231777
Young,MEmagenta,0.02992,0.02716,15.21,1.1015,0.28779497568613843,0.2718,FALSE,0.39640460478570827
Young,MEgrey,-0.07919,0.02751,14.76,-2.8791,0.011620424813131329,-0.5997,FALSE,0.04582590186625817
Old,MEgreen,0.009,0.03966,14,0.227,0.8237043528858394,0.0606,FALSE,0.926962588919181
Old,MEpink,0.01022,0.05057,14,0.2022,0.8426932626538008,0.054,FALSE,0.926962588919181
Old,MEturquoise,-0.01875,0.03485,14,-0.538,0.5990307404613543,-0.1423,FALSE,0.926962588919181
Old,MEred,0.00192,0.02697,14,0.0713,0.9441731185943134,0.0191,FALSE,0.9441731185943134
Old,MEyellow,-0.06715,0.04426,14,-1.5173,0.15144377996626357,-0.3758,FALSE,0.4164703949072248
Old,MEbrown,0.00757,0.03245,14,0.2333,0.8189161512385472,0.0622,FALSE,0.926962588919181
Old,MEblack,0.04657,0.0414,14,1.1249,0.27956184083894503,0.2879,FALSE,0.6150360498456792
Old,MEpurple,0.07756,0.04566,14,1.6989,0.11144703270034717,0.4134,FALSE,0.40863911990127294
Old,MEblue,0.06438,0.03076,14,2.093,0.05504351505699509,0.4882,TRUE,0.302739332813473
Old,MEmagenta,-0.01477,0.03015,14,-0.49,0.631722646469405,-0.1298,FALSE,0.926962588919181
Old,MEgrey,-0.08187,0.03001,14,-2.7282,0.016329301638100122,-0.5892,FALSE,0.17962231801910133
