pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,2.0591596353998105e-60,2.0468046775874116e-57,10.510750962772786,62,76,GO:BP,84.0126050420168,green,ATP Synthesis Coupled Electron Transport,CHCHD2/COA6/COX4I1/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYC1/CYCS/GHITM/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MTCH2/NDUFA1/NDUFA10/NDUFA12/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/UQCR11/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ,62,2.0468046775874116e-57,GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,5.097025342628517e-52,1.585174881557469e-49,8.098606271777005,66,105,Reactome,32.982731554160125,green,Respiratory Electron Transport,COX17/COX4I1/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYC1/CYCS/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/NDUFA1/NDUFA10/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/SLC25A12/SLC25A13/SMIM20/TIMM21/TMEM126A/UQCR11/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ,66,1.585174881557469e-49,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT
GOBP_CELLULAR_RESPIRATION,2.3178248205417204e-41,4.6078357432369404e-39,6.036628006140202,67,143,GO:BP,17.022653282691266,green,Cellular Respiration,CHCHD2/COA6/COX4I1/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYC1/CYCS/GHITM/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MTCH2/NDUFA1/NDUFA10/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/PNPT1/SLC25A13/STOML2/UQCR11/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ,67,4.6078357432369404e-39,GOBP_CELLULAR_RESPIRATION
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,1.3399583789331969e-39,2.2198643810993293e-37,7.759769955654103,53,88,GO:BP,26.11119691119691,green,Proton Transmembrane Transport,COX17/COX4I1/COX5A/COX5B/COX6B1/COX7A1/COX7A2L/COX7B/COX8A/CYC1/GHITM/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/NDUFA1/NDUFA10/NDUFA12/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/PHB2/SLC25A12/SLC25A13/UQCRC1/UQCRFS1/UQCRH,53,2.2198643810993293e-37,GOBP_PROTON_TRANSMEMBRANE_TRANSPORT
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,1.2729988462657686e-36,1.336648788579057e-35,11.312908982748365,36,41,KEGG,109.35,green,Reference Electron Transfer In Complex I,MT-ND1/MT-ND3/NDUFA1/NDUFA10/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3,36,1.336648788579057e-35,KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I
REACTOME_COMPLEX_I_BIOGENESIS,6.287522166243287e-33,6.518064645672208e-31,9.728845196615232,37,49,Reactome,47.02690288713911,green,Complex I Biogenesis,MT-ND1/MT-ND3/NDUFA1/NDUFA10/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/TMEM126A,37,6.518064645672208e-31,REACTOME_COMPLEX_I_BIOGENESIS
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS,3.2895579859691023e-29,1.1513452950891859e-28,9.018902439024389,35,50,KEGG,34.98191214470284,green,Reference Mitochondrial Complex Ucp1 In Thermogenesis,COA6/COX4I1/COX5A/COX6A2/COX6B1/COX8A/CYC1/NDUFA1/NDUFA10/NDUFA12/NDUFA13/NDUFA2/NDUFA6/NDUFA8/NDUFA9/NDUFB10/NDUFB11/NDUFB3/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/UQCRB/UQCRC2/UQCRFS1/UQCRQ,35,1.1513452950891859e-28,KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.5603346754612653e-29,5.617204831660555e-28,4.872850218886804,59,156,Hallmark,10.728325969563082,green,OXPHOS,BCKDHA/COX17/COX4I1/COX5A/COX5B/COX6B1/COX6C/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYC1/CYCS/IMMT/MGST3/MRPL11/MTX2/NDUFA1/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/PHB2/SLC25A12/SUPV3L1/TIMM8B/TOMM22/UQCR11/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ/VDAC1/VDAC2/VDAC3,59,5.617204831660555e-28,HALLMARK_OXIDATIVE_PHOSPHORYLATION
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,8.140494570122534e-30,8.990724003001998e-28,4.062568666227203,70,222,GO:BP,8.80389137737962,green,Generation Of Precursor Metabolites And Energy,CHCHD2/COA6/COX17/COX4I1/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYC1/CYCS/GHITM/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MTCH2/NDUFA1/NDUFA10/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/OXCT1/PNPT1/SLC25A13/SORBS1/STOML2/UQCR11/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ,70,8.990724003001998e-28,GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,8.068874327930716e-28,8.020461081963132e-26,7.945223577235772,37,60,GO:BP,24.396439575487847,green,Proton Motive Force Driven ATP Synthesis,MT-ND1/MT-ND3/NDUFA1/NDUFA10/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/STOML2,37,8.020461081963132e-26,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS
