"gene","cv_pre","cv_post","delta_cv","age"
"MMP24OS",21.5391402082531,44.6325000171686,23.0933598089155,"Young"
"ESYT2",22.3499025427083,33.0910295106153,10.7411269679071,"Young"
"ILVBL",25.015480714161,30.8766175689665,5.86113685480551,"Young"
"FSD2",26.6417868393512,24.4017825378946,-2.24000430145658,"Young"
"TARS3",49.232200886138,21.4684938998893,-27.7637069862487,"Young"
"VWA8",28.2852429043864,27.2732283299609,-1.01201457442547,"Young"
"CARNS1",43.2382978663782,44.6781102334408,1.43981236706261,"Young"
"MAP1LC3B2",35.334584056954,3.85611325933336,-31.4784707976207,"Young"
"PGP",19.0720183078409,12.4743515277019,-6.59766678013901,"Young"
"DHRS7C",31.5321596266974,28.7463815327164,-2.785778093981,"Young"
"SMTNL1",31.4681726405421,37.118734817626,5.65056217708396,"Young"
"NUDT19",52.706164172221,50.2307200181638,-2.47544415405712,"Young"
"NACA",13.5227546530501,18.305441078248,4.78268642519796,"Young"
"SLC35A4",26.8385552251342,38.3608444814334,11.5222892562992,"Young"
"PDLIM1",34.9571716295305,50.3875188376358,15.4303472081054,"Young"
"MYO1C",24.1858891959351,46.303529641155,22.1176404452199,"Young"
"FXYD1",33.5417418786556,43.199531420631,9.65778954197543,"Young"
"STXBP3",9.05575201144125,30.7079918178482,21.652239806407,"Young"
"NDUFS8",25.2865942249946,42.5732618814564,17.2866676564618,"Young"
"PSMD11",10.4461729811869,17.9210949179759,7.47492193678903,"Young"
"PSMD12",19.4799253619361,21.1367816884653,1.65685632652918,"Young"
"PSMD9",20.9224269516627,20.7520780466311,-0.170348905031585,"Young"
"PGRMC1",57.3754749622021,40.6619680559263,-16.7135069062758,"Young"
"CLIC1",24.1876930989971,32.7737261914255,8.58603309242844,"Young"
"EIF3F",15.9393115590788,19.5888717579188,3.64956019883998,"Young"
"PDHX",12.2123880420769,18.4287786478954,6.21639060581848,"Young"
"DCTN6",18.0839614039196,29.690298386897,11.6063369829774,"Young"
"IPO5",12.39797081422,12.4878073691173,0.0898365548973121,"Young"
"EEF2K",19.9946729570174,35.6722454381102,15.6775724810927,"Young"
"EML1",15.1442676176837,20.5309430335473,5.38667541586351,"Young"
"DNM1L",16.8127499483566,19.6173422480059,2.80459229964923,"Young"
"RTCA",21.2802209320311,23.2856981446559,2.00547721262478,"Young"
"NDUFA4",22.3993382933054,22.8606687579546,0.46133046464918,"Young"
"PSMD14",16.0105856711834,13.6390034862869,-2.37158218489649,"Young"
"BIN1",8.34345886685609,13.0677746881412,4.72431582128511,"Young"
"KPNA3",35.8145997573805,25.1830142064349,-10.6315855509457,"Young"
"DDX3X",25.7686239465695,23.188168417186,-2.58045552938355,"Young"
"KPNA4",13.4634364808483,16.3340251029941,2.8705886221458,"Young"
"CES2",27.2519288584719,43.2195724695678,15.9676436110959,"Young"
"FBP2",38.7986213207034,28.6984146730394,-10.1002066476639,"Young"
"PDXK",20.7923680866467,13.0978418493576,-7.69452623728904,"Young"
"SDHD",25.3540367616348,27.2038084908269,1.84977172919204,"Young"
"COX7A2L",19.9364543121322,37.511525261397,17.5750709492648,"Young"
"GAPDHS",75.2932784955781,73.868331046873,-1.42494744870507,"Young"
"HSPB6",40.4490031441624,37.3271268845192,-3.12187625964324,"Young"
"NDUFAB1",49.7132560620257,38.6112902486106,-11.101965813415,"Young"
"IMPA2",25.3042173960612,31.2433147788105,5.93909738274931,"Young"
"PDCD5",15.3060118708479,15.2972116238327,-0.00880024701517357,"Young"
"PRMT5",19.8216407433108,18.9886007206425,-0.833040022668289,"Young"
"PSMA7",8.34395670938548,13.6861112748331,5.34215456544758,"Young"
"OPLAH",15.2554695341047,27.9923102589087,12.736840724804,"Young"
"MGST3",20.6029157912231,28.9577114213973,8.35479563017418,"Young"
"RGS12",40.8962540081562,38.5983877948312,-2.29786621332505,"Young"
"HAT1",84.5400679457974,73.8112698433636,-10.7287981024338,"Young"
"UQCRQ",11.2290554325978,23.5270881042893,12.2980326716915,"Young"
"MYL12B",31.5180965748159,33.5106904032081,1.99259382839224,"Young"
"UQCR11",46.9038421150541,26.4616678372476,-20.4421742778064,"Young"
"CASQ2",35.5582124981342,37.0430855472501,1.48487304911584,"Young"
"HGS",26.8516473352121,26.262970809828,-0.58867652538402,"Young"
"HNRNPDL",42.2975087617423,45.9623568961648,3.6648481344225,"Young"
"XPO1",11.6735117252898,17.86098460687,6.18747288158021,"Young"
"ATP2A1",23.8405118873743,31.4360512868002,7.59553939942596,"Young"
"SYNJ2",68.6507239484113,48.8708059222345,-19.7799180261768,"Young"
"SYNM",46.8511193213917,68.5030051221119,21.6518858007202,"Young"
"ARPC1B",37.6480933821333,28.123632100613,-9.52446128152036,"Young"
"PGRMC2",29.1275448553512,30.4250626696555,1.29751781430427,"Young"
"PFDN6",20.8965878406314,20.2522174459243,-0.644370394707124,"Young"
"NDUFA1",44.2899132600212,64.5391394065696,20.2492261465484,"Young"
"SURF4",29.0593087983487,29.1757986182908,0.116489819942078,"Young"
"TCAP",54.7998820920145,87.1272747731022,32.3273926810877,"Young"
"PMM2",39.04254201462,34.7127435394842,-4.3297984751358,"Young"
"EIF3D",17.7929702202333,21.1518088835467,3.35883866331338,"Young"
"EIF3H",34.5966111703724,30.4179611570505,-4.17865001332191,"Young"
"BCAT2",29.0864833455582,19.6619000113196,-9.42458333423862,"Young"
"STX7",20.4659030353919,38.1415198401161,17.6756168047242,"Young"
"SLC16A3",40.0011388741653,45.9656291410402,5.96449026687487,"Young"
"YKT6",12.0373369341262,17.4354651378841,5.39812820375791,"Young"
"ARPC5",27.5002537067113,20.296192310898,-7.20406139581332,"Young"
"TAPBP",46.1347708145244,10.3165908472551,-35.8181799672693,"Young"
"DHX15",15.9590401328268,18.9936678084594,3.03462767563255,"Young"
"CYB5B",42.3643505196275,18.9084971981231,-23.4558533215043,"Young"
"NDUFS4",23.6359544924172,40.0137441893507,16.3777896969335,"Young"
"DYNC1LI2",27.8886958545339,21.4380437765884,-6.45065207794553,"Young"
"PSMD3",20.2102413377293,12.6348402234014,-7.57540111432789,"Young"
"RASA4",43.2236939160889,27.5513476566192,-15.6723462594697,"Young"
"HNRNPR",21.6682722617897,16.9223816337209,-4.74589062806889,"Young"
"TXNL1",16.3692272510699,12.09462562376,-4.27460162730987,"Young"
"TPD52L2",14.7803056420534,14.0976794449079,-0.682626197145423,"Young"
"ERI3",29.3742696205744,25.8145497503719,-3.55971987020252,"Young"
"AKR7A2",20.6819172403403,18.9813802429429,-1.70053699739745,"Young"
"LAT",34.4685582247249,28.6228652079012,-5.84569301682367,"Young"
"DENR",18.1124140314725,16.816283085746,-1.29613094572649,"Young"
"DNPH1",27.2462068663334,25.6568597321684,-1.58934713416497,"Young"
"TIMM44",24.4357840696564,17.7451713268678,-6.69061274278861,"Young"
"TRAPPC3",20.1702646558073,21.1011298987132,0.930865242905885,"Young"
"CHMP2A",17.4261674951171,16.3123424945931,-1.11382500052402,"Young"
"NDUFB5",16.507066393954,40.3525090405959,23.8454426466419,"Young"
"NDUFB3",25.9410954487936,39.8841725931046,13.943077144311,"Young"
"NDUFA2",22.6710395064813,33.2623978538486,10.5913583473673,"Young"
"BUB3",10.3044894228655,36.3479321317545,26.043442708889,"Young"
"ACTN4",66.388924361735,99.2262173763902,32.8372930146552,"Young"
"GSTZ1",33.5518777529427,26.1249767734647,-7.42690097947794,"Young"
"PRKAB2",14.9666929913459,21.855820867836,6.88912787649019,"Young"
"AP1G1",10.4663727913939,11.1699997208309,0.703626929437057,"Young"
"SYNGR2",22.1472935773927,19.8851772836318,-2.2621162937609,"Young"
"SGTA",14.4247457116215,23.4307998446716,9.00605413305011,"Young"
"ENSA",24.693039127221,29.9829571154008,5.28991798817979,"Young"
"SLC25A20",29.3641292056925,27.8665279470579,-1.49760125863459,"Young"
"NARS1",37.7457742852765,20.9526460425123,-16.7931282427641,"Young"
"LANCL1",27.5832827876999,16.0451500778706,-11.5381327098293,"Young"
"SLC37A4",37.7139577901867,29.0190642241877,-8.69489356599897,"Young"
"IDH3B",29.6574324498611,23.5193901275775,-6.1380423222836,"Young"
"CALU",25.9473982224405,28.4811686630521,2.53377044061164,"Young"
"AHCYL1",26.1507303586108,15.8079440325984,-10.3427863260125,"Young"
"NDUFS5",18.9679889899174,46.6041288808607,27.6361398909434,"Young"
"TIMM8A",59.385198131292,46.8731702851684,-12.5120278461235,"Young"
"PPP1R12B",32.2573617793467,36.4508211187979,4.19345933945117,"Young"
