pathway,quadrant,n_seg,xmin,xmax
Amino Acid & Cofactor Metabolism,Concordant Down,4,3.3,4.82
Amino Acid & Cofactor Metabolism,Concordant Up,3,4.82,5.96
Amino Acid & Cofactor Metabolism,Discordant,1,5.96,6.34
Carbohydrate & Energy Metabolism,Concordant Down,4,3.3,4.82
Carbohydrate & Energy Metabolism,Discordant,2,4.82,5.58
Carbohydrate & Energy Metabolism,Concordant Up,1,5.58,5.96
Circulatory System,Concordant Up,2,3.3,4.06
Circulatory System,Discordant,2,4.06,4.82
Circulatory System,Concordant Down,1,4.82,5.199999999999999
Cytoskeleton & Motility,Concordant Up,5,3.3,5.199999999999999
Cytoskeleton & Motility,Concordant Down,2,5.199999999999999,5.96
Cytoskeleton & Motility,Discordant,1,5.96,6.34
DNA & Cell Cycle,Concordant Up,5,3.3,5.199999999999999
DNA & Cell Cycle,Discordant,3,5.199999999999999,6.34
DNA & Cell Cycle,Concordant Down,2,6.34,7.1
Development,Concordant Up,1,3.3,3.6799999999999997
Development,Concordant Down,1,3.6799999999999997,4.06
Development,Discordant,1,4.06,4.4399999999999995
ECM & Adhesion,Discordant,5,3.3,5.199999999999999
ECM & Adhesion,Concordant Down,3,5.199999999999999,6.34
ECM & Adhesion,Concordant Up,1,6.34,6.72
Immune & Inflammation,Concordant Down,3,3.3,4.4399999999999995
Immune & Inflammation,Discordant,3,4.4399999999999995,5.58
Immune & Inflammation,Concordant Up,1,5.58,5.96
Lipid Metabolism,Concordant Up,2,3.3,4.06
Lipid Metabolism,Concordant Down,2,4.06,4.82
Lipid Metabolism,Discordant,1,4.82,5.199999999999999
Mitochondria & Energy,Concordant Down,2,3.3,4.06
Mitochondria & Energy,Discordant,2,4.06,4.82
Mitochondria & Energy,Concordant Up,1,4.82,5.199999999999999
Muscle & Contractile,Concordant Up,1,3.3,3.6799999999999997
Muscle & Contractile,Concordant Down,1,3.6799999999999997,4.06
Protein Homeostasis,Concordant Up,7,3.3,5.96
Protein Homeostasis,Discordant,4,5.96,7.4799999999999995
Transcription & Chromatin,Discordant,6,3.3,5.58
Transcription & Chromatin,Concordant Down,2,5.58,6.34
Translation & Ribosome,Concordant Up,5,3.3,5.199999999999999
Translation & Ribosome,Discordant,2,5.199999999999999,5.96
Transport,Concordant Down,5,3.3,5.199999999999999
Transport,Concordant Up,4,5.199999999999999,6.72
Transport,Discordant,4,6.72,8.24
