pathway,pathway_label,database,NES_Aging,NES_Training_Old,padj_Aging,padj_Training_Old,significance,set_size
GOSLIM_VITAMIN_METABOLIC_PROCESS,Vitamin Metabolic Process,GO Slim,1.272,-1.631,0.4464,0.06694,NS,15
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,Hallmark,1.704,-1.185,0.06714,0.4696,NS,15
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,Hallmark,1.453,1.429,0.1785,0.281,NS,17
HALLMARK_G2M_CHECKPOINT,G2M Checkpoint,Hallmark,1.458,-1.384,0.1613,0.281,NS,33
HALLMARK_COAGULATION,Coagulation,Hallmark,1.481,1.352,0.1467,0.3232,NS,29
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Hallmark,1.324,-1.423,0.3166,0.281,NS,21
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,Hallmark,1.505,-1.18,0.07861,0.4487,NS,58
HALLMARK_APICAL_JUNCTION,Apical Junction,Hallmark,-1.148,1.489,0.4424,0.2288,NS,41
HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,Hallmark,-1.17,1.458,0.4424,0.2654,NS,28
GOSLIM_DNA_RECOMBINATION,DNA Recombination,GO Slim,1.533,-1.028,0.122,0.6477,NS,35
HALLMARK_HYPOXIA,Hypoxia,Hallmark,-1.096,1.423,0.4902,0.2305,NS,57
GOSLIM_RENAL_SYSTEM_PROCESS,Renal System Process,GO Slim,1.274,-1.209,0.4464,0.4338,NS,17
GOSLIM_CYTOKINESIS,Cytokinesis,GO Slim,1.15,1.298,0.5048,0.2403,NS,39
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,Hallmark,1.492,-0.948,0.1367,0.7028,NS,36
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,Hallmark,1.193,-1.239,0.4421,0.4417,NS,22
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Hallmark,-1.208,1.189,0.3373,0.4362,NS,86
GOSLIM_TELOMERE_ORGANIZATION,Telomere Organization,GO Slim,0.828,1.561,0.8671,0.05637,NS,32
HALLMARK_COMPLEMENT,Complement,Hallmark,1.552,0.796,0.07861,0.8686,NS,42
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,Extracellular Matrix Organization,GO Slim,-0.97,1.353,0.7545,0.1872,NS,40
HALLMARK_IL2_STAT5_SIGNALING,IL2 Stat5 Signaling,Hallmark,1.247,1.053,0.3617,0.5961,NS,29
HALLMARK_P53_PATHWAY,p53 Pathway,Hallmark,0.895,1.339,0.7824,0.3458,NS,25
HALLMARK_ANDROGEN_RESPONSE,Androgen Response,Hallmark,0.91,-1.264,0.7824,0.4341,NS,28
HALLMARK_UV_RESPONSE_UP,UV Response Up,Hallmark,1.123,-1.037,0.4678,0.5961,NS,42
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Hallmark,-1.008,-1.129,0.6696,0.4696,NS,48
HALLMARK_MYC_TARGETS_V2,MYC Targets V2,Hallmark,1.081,0.995,0.5784,0.6675,NS,13
GOSLIM_CILIUM_ORGANIZATION,Cilium Organization,GO Slim,1.074,0.995,0.6185,0.6554,NS,29
GOSLIM_WOUND_HEALING,Wound Healing,GO Slim,-1.124,-0.907,0.5048,0.7775,NS,73
GOSLIM_GLYCOPROTEIN_METABOLIC_PROCESS,Glycoprotein Metabolic Process,GO Slim,-1.17,-0.844,0.5048,0.7775,NS,23
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,Hallmark,1.242,0.761,0.3617,0.8714,NS,31
HALLMARK_E2F_TARGETS,E2F Targets,Hallmark,1.223,-0.76,0.3745,0.8714,NS,32
GOSLIM_NUCLEOCYTOPLASMIC_TRANSPORT,Nucleocytoplasmic Transport,GO Slim,-0.822,1.089,0.8671,0.5775,NS,67
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,Hallmark,-0.729,1.171,0.9293,0.4696,NS,33
HALLMARK_PROTEIN_SECRETION,Protein Secretion,Hallmark,-0.812,-1.032,0.8826,0.5961,NS,35
HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,Hallmark,0.746,-1.096,0.8826,0.5782,NS,10
GOSLIM_MITOTIC_NUCLEAR_DIVISION,Mitotic Nuclear Division,GO Slim,-0.979,-0.854,0.7545,0.7775,NS,41
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,Hallmark,0.87,-0.963,0.7824,0.7028,NS,14
GOSLIM_DNA_REPLICATION,DNA Replication,GO Slim,0.763,1.042,0.8671,0.6477,NS,26
GOSLIM_TRNA_METABOLIC_PROCESS,Trna Metabolic Process,GO Slim,-0.805,0.998,0.8671,0.6554,NS,39
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Generation Of Precursor Metabolites And Energy,GO Slim,0.886,0.909,0.8671,0.7775,NS,223
GOSLIM_MITOCHONDRION_ORGANIZATION,Mitochondrion Organization,GO Slim,1.088,0.687,0.5048,0.995,NS,163
HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,Hallmark,-1.006,0.766,0.6696,0.8686,NS,20
GOSLIM_MICROTUBULE-BASED_MOVEMENT,Microtubule-Based Movement,GO Slim,-0.887,0.882,0.8671,0.7775,NS,48
HALLMARK_GLYCOLYSIS,Glycolysis,Hallmark,0.677,-1.088,0.98,0.5182,NS,64
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFa Signaling Via NF-kB,Hallmark,-0.89,-0.828,0.7824,0.7985,NS,16
HALLMARK_APOPTOSIS,Apoptosis,Hallmark,0.762,0.956,0.9256,0.7028,NS,38
GOSLIM_CHROMOSOME_SEGREGATION,Chromosome Segregation,GO Slim,0.684,1.031,0.9556,0.6477,NS,52
GOSLIM_DIGESTION,Digestion,GO Slim,-0.913,0.792,0.8212,0.7784,NS,14
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,Hallmark,-0.833,-0.841,0.8234,0.7985,NS,14
HALLMARK_UV_RESPONSE_DN,UV Response Dn,Hallmark,-0.766,-0.873,0.8826,0.7985,NS,17
HALLMARK_DNA_REPAIR,DNA Repair,Hallmark,-0.587,0.858,0.98,0.7985,NS,31
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Hallmark,2.151,-1.184,2.374e-5,0.4362,Sig Aging only,84
