module,contrast,estimate,SE,df,t_ratio,p_raw,r_equiv,singular,p_bh
MEgreen,Aging,0.01419,0.04292,56.02,0.3306,0.7421500546165314,0.0441,FALSE,0.8995758237776138
MEgreen,Training_Young,-0.10662,0.03802,30.11,-2.8041,0.008748442554907799,-0.455,FALSE,0.05832295036605199
MEgreen,Training_Old,0.00905,0.03892,28.31,0.2324,0.8178706675797713,0.0436,FALSE,0.924512395533941
MEgreen,Interaction,0.11567,0.05441,29.18,2.1257,0.04211255566898159,0.3662,FALSE,0.14037518556327197
MEpink,Aging,0.00733,0.04671,55.99,0.157,0.8757909900221691,0.021,FALSE,0.9468010702942369
MEpink,Training_Young,0.04683,0.04133,30.11,1.1329,0.2661966941423124,0.2022,FALSE,0.5070413221758331
MEpink,Training_Old,0.00406,0.04231,28.31,0.0959,0.9242981257736815,0.018,FALSE,0.9479980777165964
MEpink,Interaction,-0.04277,0.05915,29.17,-0.7231,0.4753814911986325,-0.1327,FALSE,0.760610385917812
MEturquoise,Aging,0.18118,0.03342,57.02,5.4215,1.2457386762210632e-6,0.5832,FALSE,2.4914773524421266e-5
MEturquoise,Training_Young,-0.01313,0.03065,30.2,-0.4284,0.6714046069119017,-0.0777,FALSE,0.8494538170155747
MEturquoise,Training_Old,-0.01845,0.03144,28.36,-0.587,0.561865219605987,-0.1096,FALSE,0.8033979325940388
MEturquoise,Interaction,-0.00532,0.0439,29.24,-0.1213,0.9043149773188548,-0.0224,FALSE,0.9479980777165964
MEbrown,Aging,0.03102,0.04817,45.02,0.644,0.5228454191955131,0.0955,FALSE,0.8033979325940388
MEbrown,Training_Young,0.0068,0.03176,29.36,0.214,0.8320611559805469,0.0395,FALSE,0.924512395533941
MEbrown,Training_Old,-0.02685,0.03214,28.09,-0.8354,0.41053514409923575,-0.1557,FALSE,0.7139741636508448
MEbrown,Interaction,-0.03365,0.04519,28.71,-0.7446,0.46258136745787926,-0.1376,FALSE,0.760610385917812
MEyellow,Aging,-0.1489,0.04186,51.78,-3.557,8.123486829156383e-4,-0.4431,FALSE,0.008123486829156383
MEyellow,Training_Young,-0.07644,0.03313,29.81,-2.3072,0.028173148561942946,-0.3892,FALSE,0.11269259424777178
MEyellow,Training_Old,0.00181,0.03373,28.19,0.0536,0.9576320868035519,0.0101,FALSE,0.9576320868035519
MEyellow,Interaction,0.07825,0.04728,28.98,1.655,0.10872355120010538,0.2939,FALSE,0.2558201204708362
MEmagenta,Aging,-0.09529,0.04421,54.26,-2.1553,0.035591243433681134,-0.2808,FALSE,0.12942270339520412
MEmagenta,Training_Young,0.02183,0.03727,29.98,0.5858,0.5623785528158272,0.1064,FALSE,0.8033979325940388
MEmagenta,Training_Old,0.07755,0.03805,28.25,2.038,0.051009681206446916,0.358,FALSE,0.1569528652506059
MEmagenta,Interaction,0.05572,0.05326,29.08,1.0461,0.3041337293249458,0.1904,FALSE,0.5529704169544469
MEred,Aging,-0.09978,0.0439,55.75,-2.2729,0.02690439131951845,-0.2912,FALSE,0.11269259424777178
MEred,Training_Young,0.02065,0.03856,30.09,0.5354,0.5963041003872201,0.0971,FALSE,0.8224884143272002
MEred,Training_Old,0.04804,0.03946,28.3,1.2175,0.2334717299359193,0.2231,FALSE,0.4669434598718386
MEred,Interaction,0.02739,0.05517,29.16,0.4965,0.6232602550479057,0.0916,FALSE,0.8310136733972076
MEblack,Aging,-0.17121,0.03032,55.37,-5.6461,5.851668656413378e-7,-0.6045,FALSE,2.340667462565351e-5
MEblack,Training_Young,0.03547,0.02635,30.06,1.3464,0.18824291260069373,0.2385,FALSE,0.4183175835570972
MEblack,Training_Old,-0.01124,0.02694,28.29,-0.4174,0.6795630536124597,-0.0782,FALSE,0.8494538170155747
MEblack,Interaction,-0.04672,0.03768,29.14,-1.2397,0.22496491975668348,-0.2238,FALSE,0.4669434598718386
MEblue,Aging,-0.08065,0.0354,57.95,-2.2781,0.02642830434233673,-0.2867,FALSE,0.11269259424777178
MEblue,Training_Young,0.14776,0.03434,30.33,4.3025,1.6226906950258255e-4,0.6156,FALSE,0.0021635875933677675
MEblue,Training_Old,0.06281,0.03536,28.46,1.7764,0.08636655373491027,0.3159,FALSE,0.24676158209974364
MEblue,Interaction,-0.08496,0.04929,29.35,-1.7235,0.09531334515283738,-0.3031,FALSE,0.25416892040756633
MEgrey,Aging,0.07034,0.04247,47.64,1.6563,0.10424182814210849,0.2333,FALSE,0.2558201204708362
MEgrey,Training_Young,-0.0792,0.03021,29.54,-2.6214,0.013699947128348306,-0.4344,FALSE,0.07828541216199032
MEgrey,Training_Old,-0.09043,0.03064,28.12,-2.9516,0.006312909910176167,-0.4863,FALSE,0.05050327928140934
MEgrey,Interaction,-0.01123,0.04303,28.81,-0.261,0.7959681857640529,-0.0486,FALSE,0.924512395533941
