module_color,module_id,n_module_proteins,cluster_number,n_proteins,fraction_of_module,cluster_name,member_genes,species,clustering_algorithm,inflation,required_score,gene_hash
turquoise,M1,340,1,166,0.48823529411764705,Organic acid catabolism; Transit peptide; Mitochondrial matrix,ACAA1;ACAA2;ACAD8;ACAD9;ACADM;ACADS;ACADSB;ACADVL;ACAT1;ACO1;ACO2;ACOT13;ACOT2;ACOT9;ACSF2;ACSL1;ACSS2;ADHFE1;AFG3L2;AK2;AK3;AKR7A2;ALDH2;ALDH4A1;ALDH5A1;ALDH6A1;ALDH7A1;ASPA;ASS1;ATP5IF1;ATPAF2;BCAT2;BDH1;CBR4;CES2;CHCHD4;CHCHD7;CHDH;CISD1;COX11;CPT1B;CPT2;CRAT;CS;DBT;DECR1;DHRS11;DHRS4;DLST;DMAC2L;ECH1;ECHDC2;ECHDC3;ECHS1;ECI1;ECI2;EGLN1;ETFA;ETFB;ETFDH;FAH;FAHD1;FAHD2A;FDX1;FECH;FGGY;FH;FXN;GCDH;GLRX5;GLUD1;GLUL;GOT1;GOT2;GPT;GPT2;HADH;HADHA;HADHB;HCCS;HDHD5;HEBP1;HIBADH;HIBCH;HMGCL;HSCB;HSD17B12;HSD17B8;HSDL2;HSPA9;HSPD1;HSPE1;IARS2;IBA57;IDH2;IDH3A;IDH3B;IDH3G;ISCA2;IVD;L2HGDH;LETM1;LONP1;LYRM7;MAOA;MAOB;MCCC1;MCCC2;MCEE;MDH2;MECR;MICU1;MLYCD;MMUT;MRPL12;MRPL19;MRPL40;MRPS35;MRPS36;MSRB2;NADK2;NFS1;NFU1;NNT;OCIAD1;OXSM;PCBD2;PCCA;PCCB;PDPR;PPA1;PPA2;SARS2;SCCPDH;SDHA;SDHB;SDR39U1;SELENBP1;SFXN1;SHMT2;SIRT3;SIRT5;SLC16A1;SLC25A20;SOD2;SUCLA2;SUCLG1;SUCLG2;SULT1A1;SUOX;TACO1;TALDO1;TARS3;TBCA;TFAM;TIMM10;TIMM13;TIMM44;TIMM50;TIMM9;TRMT10C;TSFM;TST;TUFM;UBAC1;WARS2,9606,MCL,1.8,400,fb737a2aeaf2f271e7c7a36fe463c4a3
turquoise,M1,340,2,22,0.06470588235294118,-,ACTR2;ACTR3;ARHGDIB;ATXN10;CAP1;CDC42;HCFC2;ITGB1;LAMTOR1;LIMS1;LRPAP1;LTBP3;MYL12B;NIPSNAP2;PLS3;PXN;RHOG;RSU1;SH3BGRL3;TAGLN2;TPM4;YWHAZ,9606,MCL,1.8,400,fb737a2aeaf2f271e7c7a36fe463c4a3
turquoise,M1,340,3,13,0.03823529411764706,"PPAR signaling pathway; Mixed, incl. Fatty acid metabolism, and Regulation of lipid storage",ADIPOQ;APPL1;AZGP1;CLU;FABP3;FABP4;LRG1;MSRB3;PLIN2;PLIN4;PLIN5;RBP4;TTR,9606,MCL,1.8,400,fb737a2aeaf2f271e7c7a36fe463c4a3
turquoise,M1,340,4,13,0.03823529411764706,-,ABHD10;ABHD11;ABHD16A;GALK1;HLA-A;HLA-B;IFITM1;LACTB2;LYPLA1;PCYT2;RTCA;SCFD1;SEC24C,9606,MCL,1.8,400,fb737a2aeaf2f271e7c7a36fe463c4a3
turquoise,M1,340,5,11,0.03235294117647059,"Protein peptidyl-prolyl isomerization; Rotamase; Chaperone, and RPAP3/R2TP/prefoldin-like complex",AHSA1;CDC37;FKBP4;FKBP5;PPID;PPIF;PPP5C;SGTA;SRI;SUGT1;TRAP1,9606,MCL,1.8,400,fb737a2aeaf2f271e7c7a36fe463c4a3
turquoise,M1,340,6,11,0.03235294117647059,"Lysosome; Mixed, incl. Proteinase inhibitor I25, cystatin, conserved site, and Cysteine peptidase, asparagine active site",ASAH1;CSTB;CTSB;CTSD;CTSZ;DPP7;GAA;LAMP1;LAMP2;NPC2;PSAP,9606,MCL,1.8,400,fb737a2aeaf2f271e7c7a36fe463c4a3
turquoise,M1,340,7,9,0.026470588235294117,"SUMO is transferred from E1 to E2 (UBE2I, UBC9); Small protein activating enzyme binding",BUB3;DIABLO;MPST;NAE1;SAE1;UBA2;UBE2I;UBE2K;VPS4A,9606,MCL,1.8,400,fb737a2aeaf2f271e7c7a36fe463c4a3
turquoise,M1,340,8,8,0.023529411764705882,Filamentous actin,CYB5A;CYB5R1;DPYSL2;DPYSL3;EPDR1;GSK3A;MYO1C;PDLIM1,9606,MCL,1.8,400,fb737a2aeaf2f271e7c7a36fe463c4a3
turquoise,M1,340,9,8,0.023529411764705882,Zinc finger domain,EWSR1;LUC7L2;PDIA4;SF3B2;TARDBP;TIAL1;YWHAQ;ZRANB2,9606,MCL,1.8,400,fb737a2aeaf2f271e7c7a36fe463c4a3
turquoise,M1,340,10,7,0.020588235294117647,Ubiquinone biosynthesis,COQ10A;COQ3;COQ5;COQ6;COQ7;COQ8A;COQ9,9606,MCL,1.8,400,fb737a2aeaf2f271e7c7a36fe463c4a3
turquoise,M1,340,11,5,0.014705882352941176,Non-homologous end-joining; DNA repair complex,APEX1;LPP;PRKDC;RAD23B;XRCC6,9606,MCL,1.8,400,fb737a2aeaf2f271e7c7a36fe463c4a3
turquoise,M1,340,12,5,0.014705882352941176,-,GPD1L;MAVS;OTUB1;RNF114;TKFC,9606,MCL,1.8,400,fb737a2aeaf2f271e7c7a36fe463c4a3
turquoise,M1,340,13,5,0.014705882352941176,Cholesterol biosynthesis,IDI1;LSS;MAT2B;RTN4IP1;VWA8,9606,MCL,1.8,400,fb737a2aeaf2f271e7c7a36fe463c4a3
