module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,0.8901737056462964,0.9402561090242304,0.6118487963696163
MEpink,0.8901737056462964,0.9637567624825916,0.9412132324272314
MEturquoise,0.49095076177660674,0.6875986775352535,0.9637567624825916
MEred,0.46258482429949893,0.9463333609816471,0.8161469618382021
MEyellow,0.8901737056462964,0.8161469618382021,0.9385233055662328
MEbrown,0.8161469618382021,0.30003439362984957,0.738410418854448
MEblack,0.6377431941468513,0.6549991814620774,0.9637567624825916
MEpurple,0.8934229778527611,0.952511706991557,0.8901737056462964
MEblue,0.32489118598077876,0.8161469618382021,0.32489118598077876
MEmagenta,0.42252176884054155,0.8161469618382021,0.9385233055662328
MEgrey,0.8901737056462964,0.7618835745412325,0.9012127065356333
