module,delta_VL,delta_LBM
MEgreen,-0.434433962311105,-0.03260433425415597
MEpink,0.15486202651327932,0.2348230380957415
MEturquoise,0.052545528911259874,0.1203278408194838
MEred,0.22830941141576042,-0.16857599415550023
MEyellow,-0.011285875931811849,-0.1194545275511599
MEbrown,-0.18094706976353603,-0.4306642181293112
MEblack,-0.012479656259335956,-0.11640994850694131
MEpurple,-0.06242910919761749,-0.06814725226148004
MEblue,0.28486987496691024,0.241703197153402
MEmagenta,0.06849644384053093,0.10596832133402746
MEgrey,-0.17126328504860505,0.051167767576632654
