row,module,n,n_pos,n_neg,auc,ci_lo,ci_hi,perm_p,q_bh,sig,border_color,border_lty,border_lw
Age,turquoise,30,15,15,0.9644444444444445,0.9107465358594953,1,9.99000999000999e-4,0.011988011988011988,q<.05,black,solid,2.4
Age,blue,30,15,15,0.8933333333333335,0.7781453269454986,1,9.99000999000999e-4,0.011988011988011988,q<.05,black,solid,2.4
Age,brown,30,15,15,0.7866666666666668,0.6097923739249859,0.9635409594083476,0.007992007992007992,0.07672327672327672,p<.05,black,dashed,2.4
Age,yellow,30,15,15,0.5244444444444445,0.28941013556607603,0.7594787533228128,0.8451548451548452,0.8819007079876645,ns,grey80,solid,0.3
Age,green,30,15,15,0.7333333333333333,0.5481067098151252,0.9185599568515413,0.023976023976023976,0.12787212787212787,p<.05,black,dashed,2.4
Age,red,30,15,15,0.7333333333333334,0.5370260760028565,0.9296405906638101,0.02197802197802198,0.12787212787212787,p<.05,black,dashed,2.4
Age,black,30,15,15,0.7288888888888888,0.5389239507773524,0.9188538270004254,0.03396603396603397,0.13586413586413587,p<.05,black,dashed,2.4
Age,pink,30,15,15,0.5688888888888889,0.3488619218501783,0.7889158559275995,0.5424575424575424,0.7683479311386288,ns,grey80,solid,0.3
ΔVL-responder,turquoise,30,15,15,0.6488888888888888,0.4409438463884102,0.8568339313893675,0.18081918081918083,0.433966033966034,ns,grey80,solid,0.3
ΔVL-responder,blue,30,15,15,0.471111111111111,0.25212119760851326,0.6901010246137089,0.7912087912087912,0.843956043956044,ns,grey80,solid,0.3
ΔVL-responder,brown,30,15,15,0.6622222222222222,0.45862329061077106,0.8658211538336735,0.15684315684315683,0.4209124209124209,ns,grey80,solid,0.3
ΔVL-responder,yellow,30,15,15,0.56,0.3429991369121578,0.7770008630878423,0.5774225774225774,0.7683479311386288,ns,grey80,solid,0.3
ΔVL-responder,green,30,15,15,0.5866666666666667,0.37011585770259936,0.803217475630734,0.4595404595404595,0.6893106893106893,ns,grey80,solid,0.3
ΔVL-responder,red,30,15,15,0.6311111111111112,0.41860266988352507,0.8436195523386971,0.24075924075924077,0.45643245643245645,ns,grey80,solid,0.3
ΔVL-responder,black,30,15,15,0.6711111111111111,0.4703268613991928,0.8718953608230294,0.14385614385614387,0.4209124209124209,ns,grey80,solid,0.3
ΔVL-responder,pink,30,15,15,0.6133333333333334,0.4032618490085734,0.8234048176580931,0.2907092907092907,0.48117399841537767,ns,grey80,solid,0.3
Pre vs Post,turquoise,60,30,30,0.5244444444444444,0.37527118929060505,0.6736176995982837,0.6503496503496503,0.7683479311386288,ns,grey80,solid,0.3
Pre vs Post,blue,60,30,30,0.7311111111111113,0.6041463011928664,0.8580759210293559,9.99000999000999e-4,0.011988011988011988,q<.05,black,solid,2.4
Pre vs Post,brown,60,30,30,0.5966666666666666,0.44865450751542507,0.744678825817908,0.1068931068931069,0.3420579420579421,ns,grey80,solid,0.3
Pre vs Post,yellow,60,30,30,0.6455555555555553,0.4999068246949291,0.791204286416182,0.026973026973026972,0.12947052947052945,p<.05,black,dashed,2.4
Pre vs Post,green,60,30,30,0.5711111111111111,0.42297415294364815,0.7192480692785741,0.25374625374625376,0.45643245643245645,ns,grey80,solid,0.3
Pre vs Post,red,60,30,30,0.5533333333333332,0.40543723225938016,0.7012294344072866,0.3676323676323676,0.5692372143985047,ns,grey80,solid,0.3
Pre vs Post,black,60,30,30,0.5677777777777777,0.4179121828897567,0.7176433726657989,0.33466533466533466,0.5354645354645354,ns,grey80,solid,0.3
