pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast,dedup_status,merged_into,overlap_jaccard
GOSLIM_CYTOPLASMIC_TRANSLATION,8.569818561076778e-22,2.3138510114907302e-20,1.2039752407526414,-0.6340569813893804,-2.9328843145317607,131,RPS7;RPL24;RPS10;EIF3C;RPS27A;RPL23A;RPS23;RPL22;RPL38;RPS3A;YBX3;RPL27A;RPL27;RPL34;RPL17;EIF3G;RPS19;RPS27;RPL23;RPS24;RPL10;RPL35;RPL31;EIF2B1;RPS5;RPS25;NPLOC4;EIF2S3;EIF3M;EEF2;VCP;RPL36AL;RPL35A;RPL19;RPL37A;RPL30;RPS15;RPS20;RPL28;EIF5;EIF3D;EIF4A1;RPS3;RPS14;RPS2;RPL32;RPS21;RPS17;RPLP1;RPL5;RPL6;RPL26;RPL36;RPL7A;EIF3A;RPS13;CUL2;RPLP0;RPL29;RPS12;RPS18;HBS1L;EIF3K;EIF3I;DRG2;EIF3J;GAPDH;RPLP2;RACK1;DDRGK1;RPL11;RPS26;RPL18A;RPS16;RPL14;RPL13A;AKT2;RPL13;EIF3L;EEF1D;EIF3B;YBX1;RPL3;RPS8;RPL12;PELO;RPL10A;CSDE1;RPSA;RPL4;GCN1;RPS4X;DENR,GO Slim,Aging,kept,NA,NA
GOSLIM_MUSCLE_SYSTEM_PROCESS,3.132855231666275e-13,4.2293545627494714e-12,0.932595211336209,-0.5091265933281318,-2.4468321813062928,172,TTN;MYOF;DES;LMOD2;RPL24;MYOM2;MYBPH;SNTA1;SYNM;RPL23A;PDLIM5;TNNI2;RPL38;TPM1;HMOX1;RPL27A;RPL27;RPL34;FLNA;RPL17;TNNT3;ACTN3;MYOZ1;HRC;RPL23;CAMK2D;SMTN;TPM2;RPL10;RPL35;MYH2;TMOD4;RPL31;MYL1;EEF2;FXYD1;RPL35A;RPL19;RPL37A;MYH3;RPL30;RPL28;JPH2;MYH1;TNNC2;GLRX3;TCAP;LMNA;TRDN;MYH13;RPL32;JPH1;RPLP1;TPM3;RPL5;PVALB;CACNA1S;RPL6;RPL36;ACTA1;UTRN;RPL7A;CALM1;CAMK2G;RPLP0;RPL29;STAC3;MYH4;STUB1;TMOD1;LMOD3;MAP2K1;CSRP3;KLHL41;SMPX;SSPN;TNNT1;RPLP2;MYOT;MYH7;RPL11;RPL18A;CACNB3;MYH8;PRKG1;RYR1;RPL14;RPL13A;MYL6;RPL13;JUP;GNAS;CASQ1;MYOZ2;MYLK;RPL12,GO Slim,Aging,kept,NA,NA
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,1.082097081657182e-6,7.304155301185979e-6,0.6435518361507222,0.47440923354296277,2.0891090683228533,95,HMGCL;ECHS1;ACAT1;ALDH5A1;ALDH6A1;ETFB;MPST;ALDH4A1;ETFA;MCCC1;PCCB;FAH;IVD;PCCA;ACAD8;FH;GARS1;GPT2;HIBADH;ACADSB;RIDA;AIMP1;GCDH;DBT;HARS1;LRRC47;GOT2;GPT;GLUL;THAP4;IARS2;BCAT2;AARS1;VARS1;MMUT;SARS2;HIBCH;GLUD1;ALDH7A1;GOT1,GO Slim,Aging,kept,NA,NA
GOSLIM_RIBOSOME_BIOGENESIS,1.0300287691260541e-6,7.304155301185979e-6,0.6435518361507222,-0.5484442388031471,-2.2203625776283458,60,RPS7;RPS27A;RPS23;RPS3A;RPL27;RPS19;RPS27;RPS24;RPL35;RPS5;RPS25;RPL35A;RPS15;EIF5;RPS14;RPS21;RPS17;UTP15;RPL5;EIF2A;RPL26;TRMT112;DDX3X;RPL7A;RPS13;RPLP0;RPS12;NDUFAB1;RPL11;C1QBP;RPS16;RPL14,GO Slim,Aging,kept,NA,NA
GOSLIM_SULFUR_COMPOUND_METABOLIC_PROCESS,1.2189801565519459e-4,6.582492845380509e-4,0.5384340963099162,0.4314671845988235,1.8625573801845383,86,ACAT1;SUOX;MPST;MCCC1;TST;OPLAH;MAT2B;PDP1;PCCA;GSTO1;CBR4;ACOT9;MCEE;ACSF2;BPNT1;MLYCD;ACSS2;GCDH;DBT;HAGH;ACSL1;SUCLA2;STAT5B;SUCLG1;GSTP1;ACOT2;MMUT;NME1;SULT1A1;PANK4;ALDH7A1;AKR1A1,GO Slim,Aging,kept,NA,NA
GOSLIM_DETOXIFICATION,0.003772835583796664,0.01697776012708499,0.3350685587170139,0.4251943450939032,1.6919465592305944,56,NXN;AKR7A2;SOD2;PRDX6;CP;MB;MT2A;GSTO1;ALDH2;HAGH;GPX3;SUCLA2;NNT;SUCLG1;GSTP1;CES2;PRDX2;AKR1A1;PGP;SOD3;CD36;APOE;GSTK1;TXNRD1;PRDX1;AUH;SELENOF;PRDX3;GPX1;TXNRD2;PARK7,GO Slim,Aging,kept,NA,NA
GOSLIM_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,0.008562325766626843,0.03302611367127496,0.22082346409111278,0.41340801612397193,1.6032117200720652,50,ACADM;CRAT;ALDH4A1;CKB;CTSB;CPT2;OPLAH;GSTO1;GAMT;HAGH;CKMT2;CKM;GOT2;CPT1B;ABHD16A;ALDH9A1;GSTP1;SULT1A1;PANK4;ALDH7A1;ASS1;GSS;SHMT1;GSTK1,GO Slim,Aging,kept,NA,NA
GOSLIM_CHROMOSOME_SEGREGATION,0.8833333333333333,0.9540000000000001,0.016281069658365722,-0.19303036931018158,-0.766692756403182,55,TTN;KPNB1;DYNLT1;FLNA;RPS3;DYNC1H1;ACTB;MAPRE1;DDX3X;DYNLRB1;H3-3A;MAPRE3,GO Slim,Aging,NA,NA,NA
GOSLIM_CILIUM_ORGANIZATION,0.445859872611465,0.7539604707302353,0.026856349843076353,0.28086278146542065,1.0096980598650847,35,DYNLL1;ACTR2;SEPTIN2;CUL1;ACTR3;SNAP29;SYNE2;SEPTIN9;ARL3,GO Slim,Aging,NA,NA,NA
GOSLIM_CYTOKINESIS,0.3434991974317817,0.6624627379041504,0.03174872525030169,0.2921422325190004,1.0764428637431804,39,CDC42;SH3GLB1;SEPTIN2;CHMP2A;CUL4A;SEPTIN9;CFL1;ARL3;PDCD6IP;VPS4A;MYH14;CUL3;PDXP;SEPTIN11;VPS4B;CHMP6,GO Slim,Aging,NA,NA,NA
