module,uniprot_id,gene,kME,kME_ci_lo,kME_ci_hi,kME_p,GS_pheno,GS,GS_ci_lo,GS_ci_hi,GS_p,GS_n
turquoise,P42765,ACAA2,0.7936,0.6783,0.8708,1.4419437718057112e-14,"Age (Young=0, Old=1)",0.4448,0.2195,0.6251,2.918283993566126e-4,62
turquoise,P49748,ACADVL,0.782,0.6614,0.8632,6.213806061338927e-14,"Age (Young=0, Old=1)",0.4278,0.1993,0.6121,5.241073320772124e-4,62
turquoise,Q99798,ACO2,0.8652,0.7852,0.9169,1.202609628469305e-19,"Age (Young=0, Old=1)",0.4954,0.2803,0.6631,4.240705664659726e-5,62
turquoise,Q9Y4W6,AFG3L2,0.7438,0.6067,0.8379,4.344186373152327e-12,"Age (Young=0, Old=1)",0.2835,0.0363,0.498,0.02553389510566871,62
turquoise,P51649,ALDH5A1,0.9032,0.8438,0.9407,1.0350533959721942e-23,"Age (Young=0, Old=1)",0.6483,0.4755,0.7729,1.2208561467508587e-8,62
turquoise,Q8NI60,COQ8A,0.8019,0.6905,0.8762,4.775757040306241e-15,"Age (Young=0, Old=1)",0.499,0.2847,0.6658,3.653167933801233e-5,62
turquoise,P43155,CRAT,0.8996,0.8381,0.9385,2.941727216165526e-23,"Age (Young=0, Old=1)",0.6701,0.5048,0.788,2.571466346930973e-9,62
turquoise,O75390,CS,0.7758,0.6525,0.8591,1.3049044676195854e-13,"Age (Young=0, Old=1)",0.3905,0.1559,0.5834,0.0017024000228629663,62
turquoise,P13804,ETFA,0.8984,0.8363,0.9377,4.1175622765434196e-23,"Age (Young=0, Old=1)",0.5341,0.328,0.6916,7.808698232305125e-6,62
turquoise,P38117,ETFB,0.9261,0.8799,0.955,4.320432439534401e-27,"Age (Young=0, Old=1)",0.5741,0.3787,0.7206,1.0667411041360957e-6,62
turquoise,P07954,FH,0.8289,0.7303,0.8936,9.037448096052004e-17,"Age (Young=0, Old=1)",0.5133,0.3023,0.6764,1.9884175117635092e-5,62
turquoise,Q16595,FXN,0.8074,0.6984,0.8797,2.2565551928316038e-15,"Age (Young=0, Old=1)",0.6326,0.4547,0.762,3.464241357471031e-8,62
