module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,0.06717233309553297,0.15758564902640065,0.4599209531516397
MEpink,0.009205845996687386,0.011300666239091688,0.151358700376551
MEturquoise,0.23285269722034016,-0.16553858281131284,0.01931911896927159
MEbrown,0.24825237768366543,0.13702781002343137,0.23181912959094145
MEyellow,0.23158820744632297,0.41918193910098717,0.16328699007764302
MEmagenta,-0.2593029705613158,-0.391753474201713,-0.22521732567863242
MEred,-0.23278397938280954,0.19704272752251484,-0.1545585689246584
MEblack,-0.10405064394866999,0.16718701904307273,0.06941641642349317
MEblue,-0.542082333731198,-0.44854389235120445,-0.5438334226710051
MEgrey,-0.35442318197138,0.134879210591662,-0.17940264697968503
