module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,0.8590555466285975,0.934105826905076,0.619485777419619
MEpink,0.8445881091383349,0.9819407797522919,0.934105826905076
MEturquoise,0.49411456227342004,0.6658903591844353,0.9653691018507023
MEbrown,0.4763657690013218,0.894569181909245,0.8445881091383349
MEyellow,0.8445881091383349,0.302260360228184,0.7298403414378066
MEmagenta,0.894569181909245,0.934105826905076,0.8445881091383349
MEred,0.6378715235752008,0.6378715235752008,0.934105826905076
MEblack,0.3048516254803123,0.8445881091383349,0.934105826905076
MEblue,0.3187081232629059,0.8445881091383349,0.3482475993593472
MEgrey,0.934105826905076,0.8736377718726012,0.8445881091383349
