module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,0.23747349520678843,0.886008608021926,0.5777505081487659
MEpink,0.267435852840147,0.9704301344507322,0.9054187261276412
MEturquoise,0.04774127827848505,0.8161487234025376,0.44240348282720954
MEbrown,0.08982283847500043,0.9359342770119741,0.7820316807501927
MEyellow,0.25276540630572597,0.40875991866150596,0.12815574685615366
MEmagenta,0.2941405682730124,0.6742160891444681,0.24335716751277583
MEred,0.47764532107578517,0.5216831463465148,0.6671006143197257
MEblack,0.3474950888389404,0.4613649760467674,0.40722649752240037
MEblue,0.07525901687853889,0.9988552609602039,0.8202225564747421
MEgrey,0.9547815961148065,0.11990300146363547,0.6308115511854615
