module,delta_VL,delta_LBM
MEgreen,-0.4399495244755607,-0.03668428399760559
MEpink,0.14869063711144434,0.24331949205792108
MEturquoise,0.052300730638080835,0.12439071068890091
MEbrown,0.1206090953076905,-0.17152563622030897
MEyellow,-0.1761852825604042,-0.43202922526648135
MEmagenta,-0.05331059718421009,-0.0793336259666967
MEred,-0.014846444673277497,-0.11602172096901518
MEblack,0.05452265317131193,0.1215203532407483
MEblue,0.2839086015544862,0.23824702445979504
MEgrey,-0.18402246657129911,0.13123151764289862
