module,delta_VL,delta_LBM
MEgreen,0.34056636273454105,0.15880052449035195
MEpink,0.28340676423663674,0.12004427424232116
MEturquoise,0.2672335528299187,0.2020714626588431
MEbrown,-0.3351996070999204,-0.3897313856385815
MEyellow,-0.07259539895297872,0.19095870028795472
MEmagenta,0.13199512295974608,-0.40683085300336314
MEred,0.06744942555195077,0.18155260198930626
MEblack,-0.2520230929375964,-0.29558598999823144
MEblue,-0.10406329005139138,-0.0830249698154337
MEgrey,-0.5482530474105557,-0.08380324252782458
