pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
REACTOME_STRIATED_MUSCLE_CONTRACTION,7.967901975905076e-24,2.65331135797639e-21,9.674908424908425,25,28,Reactome,93.87254901960785,yellow,Striated Muscle Contraction,ACTA1/ACTN2/ACTN3/DES/MYBPC1/MYBPC2/MYH3/MYH8/MYL1/MYL3/NEB/TCAP/TMOD1/TMOD4/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM1/TPM2/TPM3/TTN/VIM,25,2.65331135797639e-21,REACTOME_STRIATED_MUSCLE_CONTRACTION
HALLMARK_MYOGENESIS,4.899634940927225e-18,1.763868578733801e-16,4.313318396813543,41,103,Hallmark,7.969836614997905,yellow,Myogenesis,ACTA1/ACTN2/ACTN3/AGL/COL15A1/COL1A1/COL3A1/COL4A2/COL6A2/COL6A3/DES/HSPB8/ITGA7/LAMA2/MYBPH/MYH1/MYH2/MYH3/MYH4/MYH7/MYH8/MYL1/MYL3/MYL6B/MYOM1/MYOM2/MYOZ1/PDLIM7/PVALB/SPEG/SSPN/SVIL/TCAP/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM2/TPM3,41,1.763868578733801e-16,HALLMARK_MYOGENESIS
GOBP_MYOFIBRIL_ASSEMBLY,1.293753945740339e-14,1.3041039773062616e-11,5.910489510489511,24,44,GO:BP,13.319298245614036,yellow,Myofibril Assembly,ACTA1/ACTN2/LMOD2/LMOD3/MYBPC1/MYBPC2/MYBPH/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/OBSCN/PLEC/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,24,1.3041039773062616e-11,GOBP_MYOFIBRIL_ASSEMBLY
GOBP_MUSCLE_CELL_DEVELOPMENT,2.793717006172542e-14,1.4080333711109611e-11,4.478837606837606,31,75,GO:BP,8.050720620842572,yellow,Muscle Cell Development,ACTA1/ACTN1/ACTN2/ACTN3/ACTN4/COL6A1/LMNA/LMOD2/LMOD3/MYBPC1/MYBPC2/MYBPH/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/OBSCN/PDLIM5/PLEC/PPP3CA/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,31,1.4080333711109611e-11,GOBP_MUSCLE_CELL_DEVELOPMENT
REACTOME_ECM_PROTEOGLYCANS,2.0839166690503828e-13,3.469721253968887e-11,8.255921855921855,16,21,Reactome,34.19888268156424,yellow,Ecm Proteoglycans,BGN/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/COL6A2/COL6A3/DCN/HSPG2/ITGA7/LAMA2/LAMB2/LAMC1,16,3.469721253968887e-11,REACTOME_ECM_PROTEOGLYCANS
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,8.541043114557326e-13,9.480557857158631e-11,4.571394230769231,27,64,Reactome,8.170366795366796,yellow,Extracellular Matrix Organization,ACTA1/ACTB/ACTN1/BGN/COL15A1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/COL6A2/COL6A3/DCN/FBN1/HSPG2/ITGA7/LAMA2/LAMB2/LAMC1/NID1/NID2/PLEC/SNTB2/SSPN/VWF,27,9.480557857158631e-11,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
REACTOME_MUSCLE_CONTRACTION,3.5096574504702384e-12,2.9217898275164735e-10,4.2139601139601135,28,72,Reactome,7.140990745781165,yellow,Muscle Contraction,ACTA1/ACTN2/ACTN3/CALM1/DES/MYBPC1/MYBPC2/MYH3/MYH8/MYL1/MYL3/MYL6/MYL6B/NEB/TCAP/TMOD1/TMOD4/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM1/TPM2/TPM3/TTN/VIM,28,2.9217898275164735e-10,REACTOME_MUSCLE_CONTRACTION
GOBP_MUSCLE_CELL_DIFFERENTIATION,2.7876451940412257e-12,5.619892711187111e-10,3.1637656747145795,40,137,GO:BP,4.844695710009977,yellow,Muscle Cell Differentiation,ACTA1/ACTN1/ACTN2/ACTN3/ACTN4/COL6A1/LAMA2/LAMB2/LAMC1/LMNA/LMOD2/LMOD3/MYBPC1/MYBPC2/MYBPH/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/NID1/OBSCN/PDLIM5/PLEC/PPP3CA/RPL27/RPL34/RPL38/SMYD1/SPEG/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,40,5.619892711187111e-10,GOBP_MUSCLE_CELL_DIFFERENTIATION
GOBP_MUSCLE_ORGAN_DEVELOPMENT,9.519671970388984e-12,1.5993048910253492e-9,3.732364672364672,31,90,GO:BP,5.955870194295163,yellow,Muscle Organ Development,ACTA1/ACTN3/COL3A1/COL6A1/COL6A3/DES/FHL3/ITGA7/JPH2/LAMA2/LMNA/LMOD3/MYH3/MYH7/MYL3/MYL6/MYL6B/MYOM1/MYOZ1/MYOZ2/NEB/PLEC/PPP3CA/SMYD1/SPEG/SVIL/TCAP/TNNC1/TNNI1/TPM1/TTN,31,1.5993048910253492e-9,GOBP_MUSCLE_ORGAN_DEVELOPMENT
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,1.046246722524518e-9,6.96800317201329e-8,7.043333333333333,13,20,Reactome,19.5,yellow,Integrin Cell Surface Interactions,COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/COL6A2/COL6A3/FBN1/HSPG2/ITGA7/VWF,13,6.96800317201329e-8,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS
