module,age_num,VL_thick_cm,DXA_LBM_kg,BMI,Type_I_fCSA,Type_II_fCSA,deadlift_1rm_kg
MEgreen,0.16487621918154355,0.9640921849681525,0.5224911186844993,0.8366072605747361,0.36595726668574824,0.9343216166571041,0.6996888618410718
MEpink,0.8743858450873853,0.8391406730209438,0.6724046327809771,0.8260062738419376,0.8260062738419376,0.6996888618410718,0.9023629248736746
MEturquoise,6.120369488544484e-9,0.16487621918154355,0.944040895415808,0.395920828015515,0.9640921849681525,0.12766761039358132,0.16487621918154355
MEbrown,0.9016081194696033,0.939041511401791,0.9640921849681525,0.38084169421995784,0.8366072605747361,0.9276716485082309,0.7725563902106669
MEyellow,0.007049634211396229,0.03111727694202388,0.8260062738419376,0.8260062738419376,0.7256428992524991,0.09621227764957156,0.395920828015515
MEmagenta,0.16789559123207382,0.8366072605747361,0.8366072605747361,0.8743858450873853,0.9276716485082309,0.9415725438031832,0.8260062738419376
MEred,0.06505194623042662,0.25545789414397385,0.9276716485082309,0.5315596029793288,0.8260062738419376,0.8366072605747361,0.944040895415808
MEblack,1.7027505463910061e-9,0.395920828015515,0.9415725438031832,0.25192599605664484,0.8260062738419376,0.041536617345733357,0.3450200182209791
MEblue,0.0020110420934087367,0.8366072605747361,0.9142269832091812,0.25545789414397385,0.5224911186844993,0.8743858450873853,0.5874141338341143
MEgrey,0.3450200182209791,0.25192599605664484,0.16789559123207382,0.9415725438031832,0.9276716485082309,0.6416785041174377,0.8366072605747361
